FG ID,Lpt,Apt
https://database.factgrid.de/entity/Q23518,Lisboa,BITAGAP geoid 1001
https://database.factgrid.de/entity/Q359760,Porto,BITAGAP geoid 1002
https://database.factgrid.de/entity/Q357621,Alcácer do Sal,BITAGAP geoid 1003
https://database.factgrid.de/entity/Q357636,Alcobaça,BITAGAP geoid 1004
https://database.factgrid.de/entity/Q358082,Braga,BITAGAP geoid 1005
https://database.factgrid.de/entity/Q358414,Chaves,BITAGAP geoid 1006
https://database.factgrid.de/entity/Q358436,Coimbra,BITAGAP geoid 1007
https://database.factgrid.de/entity/Q358631,Évora,BITAGAP geoid 1008
https://database.factgrid.de/entity/Q358912,Guarda,BITAGAP geoid 1009
https://database.factgrid.de/entity/Q358925,Guimarães,BITAGAP geoid 1010
https://database.factgrid.de/entity/Q360856,Vila Franca de Xira,BITAGAP geoid 1014
https://database.factgrid.de/entity/Q358008,Beja,BITAGAP geoid 1016
https://database.factgrid.de/entity/Q360144,Santarém,BITAGAP geoid 1017
https://database.factgrid.de/entity/Q359041,Leiria,BITAGAP geoid 1023
https://database.factgrid.de/entity/Q358069,Borba,BITAGAP geoid 1025
https://database.factgrid.de/entity/Q359496,Ourém,BITAGAP geoid 1026
https://database.factgrid.de/entity/Q357879,Arronches,BITAGAP geoid 1027
https://database.factgrid.de/entity/Q358311,Cascais,BITAGAP geoid 1028
https://database.factgrid.de/entity/Q359016,Lamego,BITAGAP geoid 1031
https://database.factgrid.de/entity/Q359537,Palmela,BITAGAP geoid 1032
https://database.factgrid.de/entity/Q360581,Tomar,BITAGAP geoid 1058
https://database.factgrid.de/entity/Q360478,Sintra,BITAGAP geoid 1059
https://database.factgrid.de/entity/Q359738,Portalegre,BITAGAP geoid 1061
https://database.factgrid.de/entity/Q360008,Sabugal,BITAGAP geoid 1062
https://database.factgrid.de/entity/Q360616,Trancoso,BITAGAP geoid 1064
https://database.factgrid.de/entity/Q358085,Bragança,BITAGAP geoid 1066
https://database.factgrid.de/entity/Q360916,Vila Viçosa,BITAGAP geoid 1067
https://database.factgrid.de/entity/Q357907,Aveiro,BITAGAP geoid 1069
https://database.factgrid.de/entity/Q359237,Mértola,BITAGAP geoid 1070
https://database.factgrid.de/entity/Q360453,Setúbal,BITAGAP geoid 1071
https://database.factgrid.de/entity/Q358627,Estremoz,BITAGAP geoid 1074
https://database.factgrid.de/entity/Q360435,Serpa,BITAGAP geoid 1079
https://database.factgrid.de/entity/Q360974,Viseu,BITAGAP geoid 1084
https://database.factgrid.de/entity/Q359446,Odivelas,BITAGAP geoid 1085
https://database.factgrid.de/entity/Q360843,Vila do Conde,BITAGAP geoid 1089
