FG qid,Lpt
https://database.factgrid.de/entity/Q357532,A dos Cunhados e Maceira
https://database.factgrid.de/entity/Q357533,A dos Francos
https://database.factgrid.de/entity/Q357534,A dos Negros
https://database.factgrid.de/entity/Q357535,Abação e Gémeos
https://database.factgrid.de/entity/Q357536,Abaças
https://database.factgrid.de/entity/Q357537,Abade de Neiva
https://database.factgrid.de/entity/Q357538,Abadim
https://database.factgrid.de/entity/Q357539,Abambres
https://database.factgrid.de/entity/Q357540,Abedim
https://database.factgrid.de/entity/Q357541,Abela
https://database.factgrid.de/entity/Q357542,Abitureiras
https://database.factgrid.de/entity/Q357543,Abiul
https://database.factgrid.de/entity/Q357544,"Aboadela, Sanche e Várzea"
https://database.factgrid.de/entity/Q357545,Aboim da Nóbrega e Gondomar
https://database.factgrid.de/entity/Q357546,Aboim das Choças
https://database.factgrid.de/entity/Q357547,"Aboim, Felgueiras, Gontim e Pedraído"
https://database.factgrid.de/entity/Q357548,Aborim
https://database.factgrid.de/entity/Q357549,Abrã
https://database.factgrid.de/entity/Q357550,Abragão
https://database.factgrid.de/entity/Q357552,Abrantes
https://database.factgrid.de/entity/Q357551,Abrantes (São Vicente e São João) e Alferrarede
https://database.factgrid.de/entity/Q357553,Abraveses
https://database.factgrid.de/entity/Q357554,Abreiro
https://database.factgrid.de/entity/Q357555,Abrigada e Cabanas de Torres
https://database.factgrid.de/entity/Q357556,"Abrunheira, Verride e Vila Nova da Barca"
https://database.factgrid.de/entity/Q357557,Abrunhosa-a-Velha
https://database.factgrid.de/entity/Q357558,Achada
https://database.factgrid.de/entity/Q357559,Achadas da Cruz
https://database.factgrid.de/entity/Q357560,Achadinha
https://database.factgrid.de/entity/Q357561,"Achete, Azoia de Baixo e Póvoa de Santarém"
https://database.factgrid.de/entity/Q357562,Açoreira
https://database.factgrid.de/entity/Q357563,Açores e Velosa
https://database.factgrid.de/entity/Q357564,Adães
https://database.factgrid.de/entity/Q357565,Adão
https://database.factgrid.de/entity/Q357566,Adaúfe
https://database.factgrid.de/entity/Q357567,Adeganha e Cardanha
https://database.factgrid.de/entity/Q357568,Adorigo
https://database.factgrid.de/entity/Q357569,Adoufe e Vilarinho de Samardã
https://database.factgrid.de/entity/Q357570,Afife
https://database.factgrid.de/entity/Q357571,Agilde
https://database.factgrid.de/entity/Q357572,Agregação das Freguesias Sul de Pinhel
https://database.factgrid.de/entity/Q357574,Agrela
https://database.factgrid.de/entity/Q357573,Agrela e Serafão
https://database.factgrid.de/entity/Q357575,"Agrobom, Saldonha e Vale Pereiro"
https://database.factgrid.de/entity/Q357576,Agrochão
https://database.factgrid.de/entity/Q357577,Água de Alto
https://database.factgrid.de/entity/Q357578,Água de Pau
https://database.factgrid.de/entity/Q357579,Água de Pena
https://database.factgrid.de/entity/Q357580,Água Longa
https://database.factgrid.de/entity/Q357581,Água Retorta
https://database.factgrid.de/entity/Q357582,Água Revés e Crasto
https://database.factgrid.de/entity/Q357583,Aguada de Cima
https://database.factgrid.de/entity/Q357584,Agualonga
https://database.factgrid.de/entity/Q357586,Agualva
https://database.factgrid.de/entity/Q357585,Agualva e Mira Sintra
https://database.factgrid.de/entity/Q357588,Águas Belas
https://database.factgrid.de/entity/Q357587,Águas Belas
https://database.factgrid.de/entity/Q357589,Águas Boas e Forles
https://database.factgrid.de/entity/Q357590,Águas Frias
https://database.factgrid.de/entity/Q357591,Águas Livres
https://database.factgrid.de/entity/Q357593,Águas Santas
https://database.factgrid.de/entity/Q357592,Águas Santas e Moure
https://database.factgrid.de/entity/Q357594,Aguda
https://database.factgrid.de/entity/Q357596,Águeda
https://database.factgrid.de/entity/Q357595,Águeda e Borralha
https://database.factgrid.de/entity/Q357597,Aguiã
https://database.factgrid.de/entity/Q357601,Aguiar
https://database.factgrid.de/entity/Q357599,Aguiar da Beira
https://database.factgrid.de/entity/Q357598,Aguiar da Beira e Coruche
https://database.factgrid.de/entity/Q357600,Aguiar de Sousa
https://database.factgrid.de/entity/Q357602,Aguieiras
https://database.factgrid.de/entity/Q357603,Aião
https://database.factgrid.de/entity/Q357604,Airães
https://database.factgrid.de/entity/Q357605,"Airão Santa Maria, Airão São João e Vermil"
https://database.factgrid.de/entity/Q357606,Airó
https://database.factgrid.de/entity/Q357608,Ajuda
https://database.factgrid.de/entity/Q357607,Ajuda da Bretanha
https://database.factgrid.de/entity/Q357609,Ala e Vilarinho do Monte
https://database.factgrid.de/entity/Q357610,Alagoa
https://database.factgrid.de/entity/Q357612,Alandroal
https://database.factgrid.de/entity/Q357611,"Alandroal, São Brás dos Matos e Juromenha"
https://database.factgrid.de/entity/Q357614,Albergaria-a-Velha
https://database.factgrid.de/entity/Q357613,Albergaria-a-Velha e Valmaior
https://database.factgrid.de/entity/Q357615,Albernoa e Trindade
https://database.factgrid.de/entity/Q357617,Albufeira
https://database.factgrid.de/entity/Q357616,Albufeira e Olhos de Água
https://database.factgrid.de/entity/Q357618,Alburitel
https://database.factgrid.de/entity/Q357619,Alcabideche
https://database.factgrid.de/entity/Q357621,Alcácer do Sal
https://database.factgrid.de/entity/Q357620,Alcácer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana
https://database.factgrid.de/entity/Q357622,Alcáçovas
https://database.factgrid.de/entity/Q357623,Alcafache
https://database.factgrid.de/entity/Q357624,Alcaide
https://database.factgrid.de/entity/Q357625,Alcains
https://database.factgrid.de/entity/Q357626,Alcanede
https://database.factgrid.de/entity/Q357628,Alcanena
https://database.factgrid.de/entity/Q357627,Alcanena e Vila Moreira
https://database.factgrid.de/entity/Q357629,Alcanhões
https://database.factgrid.de/entity/Q357630,Alcântara
https://database.factgrid.de/entity/Q357631,Alcantarilha e Pêra
https://database.factgrid.de/entity/Q357632,Alcaravela
https://database.factgrid.de/entity/Q357634,Alcaria
https://database.factgrid.de/entity/Q357633,Alcaria Ruiva
https://database.factgrid.de/entity/Q357636,Alcobaça
https://database.factgrid.de/entity/Q357635,Alcobaça e Vestiaria
https://database.factgrid.de/entity/Q357637,Alcobertas
https://database.factgrid.de/entity/Q357638,Alcochete
https://database.factgrid.de/entity/Q357639,Alcochete
https://database.factgrid.de/entity/Q357640,Alcoentre
https://database.factgrid.de/entity/Q357641,Alcofra
https://database.factgrid.de/entity/Q357642,Alcongosta
https://database.factgrid.de/entity/Q357643,Alcórrego e Maranhão
https://database.factgrid.de/entity/Q357645,Alcoutim
https://database.factgrid.de/entity/Q357644,Alcoutim e Pereiro
https://database.factgrid.de/entity/Q357646,Aldão
https://database.factgrid.de/entity/Q357647,Aldeia da Mata
https://database.factgrid.de/entity/Q357648,Aldeia da Ponte
https://database.factgrid.de/entity/Q357649,"Aldeia da Ribeira, Vilar Maior e Badamalos"
https://database.factgrid.de/entity/Q357650,Aldeia das Dez
https://database.factgrid.de/entity/Q357651,Aldeia de Santa Margarida
https://database.factgrid.de/entity/Q357652,Aldeia de São Francisco de Assis
https://database.factgrid.de/entity/Q357654,Aldeia do Bispo
https://database.factgrid.de/entity/Q357655,Aldeia do Bispo
https://database.factgrid.de/entity/Q357653,"Aldeia do Bispo, Águas e Aldeia de João Pires"
https://database.factgrid.de/entity/Q357656,Aldeia do Mato e Souto
https://database.factgrid.de/entity/Q357657,Aldeia dos Fernandes
https://database.factgrid.de/entity/Q357658,Aldeia Galega da Merceana e Aldeia Gavinha
https://database.factgrid.de/entity/Q357659,Aldeia Nova
https://database.factgrid.de/entity/Q357660,Aldeia Velha
https://database.factgrid.de/entity/Q357661,Aldeia Velha
https://database.factgrid.de/entity/Q357662,Aldeia Viçosa
https://database.factgrid.de/entity/Q357664,Aldeias
https://database.factgrid.de/entity/Q357663,Aldeias e Mangualde da Serra
https://database.factgrid.de/entity/Q357665,"Aldoar, Foz do Douro e Nevogilde"
https://database.factgrid.de/entity/Q357666,Aldreu
https://database.factgrid.de/entity/Q357667,Alegrete
https://database.factgrid.de/entity/Q357668,Além da Ribeira e Pedreira
https://database.factgrid.de/entity/Q357670,Alenquer
https://database.factgrid.de/entity/Q357669,Alenquer (Santo Estêvão e Triana)
https://database.factgrid.de/entity/Q357671,Alfaião
https://database.factgrid.de/entity/Q357672,Alfaiates
https://database.factgrid.de/entity/Q357674,Alfândega da Fé
https://database.factgrid.de/entity/Q357673,Alfândega da Fé
https://database.factgrid.de/entity/Q357675,Alfarela de Jales
https://database.factgrid.de/entity/Q357676,Alfarelos
https://database.factgrid.de/entity/Q357677,Alfeizerão
https://database.factgrid.de/entity/Q357678,Alfena
https://database.factgrid.de/entity/Q357679,Alferce
https://database.factgrid.de/entity/Q357680,Alfragide
https://database.factgrid.de/entity/Q357681,Alfundão e Peroguarda
https://database.factgrid.de/entity/Q357682,Algarvia
https://database.factgrid.de/entity/Q357683,Algeriz
https://database.factgrid.de/entity/Q357684,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
https://database.factgrid.de/entity/Q357686,Algodres
https://database.factgrid.de/entity/Q357685,"Algodres, Vale de Afonsinho e Vilar de Amargo"
https://database.factgrid.de/entity/Q357687,"Algoso, Campo de Víboras e Uva"
https://database.factgrid.de/entity/Q357688,Algoz e Tunes
https://database.factgrid.de/entity/Q357689,Alguber
https://database.factgrid.de/entity/Q357690,Algueirão–Mem Martins
https://database.factgrid.de/entity/Q357691,Alhadas
https://database.factgrid.de/entity/Q357692,"Alhandra, São João dos Montes e Calhandriz"
https://database.factgrid.de/entity/Q357693,"Alhões, Bustelo, Gralheira e Ramires"
https://database.factgrid.de/entity/Q357694,Alhos Vedros
https://database.factgrid.de/entity/Q357695,Alijó
https://database.factgrid.de/entity/Q357696,Alijó
https://database.factgrid.de/entity/Q357698,Aljezur
https://database.factgrid.de/entity/Q357697,Aljezur
https://database.factgrid.de/entity/Q357699,Aljubarrota
https://database.factgrid.de/entity/Q357701,Aljustrel
https://database.factgrid.de/entity/Q357700,Aljustrel e Rio de Moinhos
https://database.factgrid.de/entity/Q357702,Almaceda
https://database.factgrid.de/entity/Q357704,Almada
https://database.factgrid.de/entity/Q357703,"Almada, Cova da Piedade, Pragal e Cacilhas"
https://database.factgrid.de/entity/Q357705,Almagreira
https://database.factgrid.de/entity/Q357706,Almagreira
https://database.factgrid.de/entity/Q357707,Almalaguês
https://database.factgrid.de/entity/Q357708,Almancil
https://database.factgrid.de/entity/Q357709,"Almargem do Bispo, Pêro Pinheiro e Montelavar"
https://database.factgrid.de/entity/Q357710,Almeida
https://database.factgrid.de/entity/Q357711,Almeida
https://database.factgrid.de/entity/Q357712,Almeirim
https://database.factgrid.de/entity/Q357713,Almeirim
https://database.factgrid.de/entity/Q357714,Almendra
https://database.factgrid.de/entity/Q357716,Almodôvar
https://database.factgrid.de/entity/Q357715,Almodôvar e Graça dos Padrões
https://database.factgrid.de/entity/Q357718,Almofala
https://database.factgrid.de/entity/Q357717,Almofala e Escarigo
https://database.factgrid.de/entity/Q357719,Almoster
https://database.factgrid.de/entity/Q357720,Almoster
https://database.factgrid.de/entity/Q357721,Alpalhão
https://database.factgrid.de/entity/Q357722,Alpedrinha
https://database.factgrid.de/entity/Q357723,"Alpendorada, Várzea e Torrão"
https://database.factgrid.de/entity/Q357724,Alpiarça
https://database.factgrid.de/entity/Q357725,Alpiarça
https://database.factgrid.de/entity/Q357727,Alqueidão
https://database.factgrid.de/entity/Q357726,Alqueidão da Serra
https://database.factgrid.de/entity/Q357728,Alquerubim
https://database.factgrid.de/entity/Q357729,Altares
https://database.factgrid.de/entity/Q357730,Alte
https://database.factgrid.de/entity/Q357731,Alter do Chão
https://database.factgrid.de/entity/Q357732,Alter do Chão
https://database.factgrid.de/entity/Q357733,Alto do Palurdo
https://database.factgrid.de/entity/Q357734,"Alto do Seixalinho, Santo André e Verderena"
https://database.factgrid.de/entity/Q357735,Altura
https://database.factgrid.de/entity/Q357736,Alturas do Barroso e Cerdedo
https://database.factgrid.de/entity/Q357737,Alvações do Corgo
https://database.factgrid.de/entity/Q357738,Alvadia
https://database.factgrid.de/entity/Q357739,Alvados e Alcaria
https://database.factgrid.de/entity/Q357741,Alvaiázere
https://database.factgrid.de/entity/Q357740,Alvaiázere
https://database.factgrid.de/entity/Q357742,Alvalade
https://database.factgrid.de/entity/Q357743,Alvalade
https://database.factgrid.de/entity/Q357744,Alvão
https://database.factgrid.de/entity/Q357745,Alvarães
https://database.factgrid.de/entity/Q357746,Alvaredo
https://database.factgrid.de/entity/Q357747,Alvarelhos e Guidões
https://database.factgrid.de/entity/Q357748,Alvarenga
https://database.factgrid.de/entity/Q357749,Alvares
https://database.factgrid.de/entity/Q357750,Álvaro
https://database.factgrid.de/entity/Q357751,Alvega e Concavada
https://database.factgrid.de/entity/Q357752,Alvelos
https://database.factgrid.de/entity/Q357753,Alvendre
