qid,Les,ItemDescription
https://database.factgrid.de/entity/Q342805,"A Abeleda, Xunqueira de Ambía",
https://database.factgrid.de/entity/Q342829,A Agualada,
https://database.factgrid.de/entity/Q342830,A Aguarda (San Martiño),
https://database.factgrid.de/entity/Q342831,A Airela,
https://database.factgrid.de/entity/Q342833,A Alberguería (Santa María),
https://database.factgrid.de/entity/Q342832,A Alberguería (Santa María),
https://database.factgrid.de/entity/Q342834,"A Alence, As Nogais",
https://database.factgrid.de/entity/Q342835,A Allonca (Santa María),
https://database.factgrid.de/entity/Q342836,A Ameixeira (parroquia),
https://database.factgrid.de/entity/Q342837,A Ameixenda (Santiago),
https://database.factgrid.de/entity/Q342838,A Antigua,
https://database.factgrid.de/entity/Q342839,A Armilda,
https://database.factgrid.de/entity/Q342841,A Arnoia,
https://database.factgrid.de/entity/Q342840,"A Arnoia, A Arnoia",
https://database.factgrid.de/entity/Q342842,A Arroxía,
https://database.factgrid.de/entity/Q342844,A Arruñada,
https://database.factgrid.de/entity/Q342843,A Arruñada,
https://database.factgrid.de/entity/Q342845,"A Azúmara, Castro de Rei",
https://database.factgrid.de/entity/Q342846,"A Baíña, Agolada",
https://database.factgrid.de/entity/Q342847,A Balsa (San Breixo),
https://database.factgrid.de/entity/Q342848,A Balsa (Santa María),
https://database.factgrid.de/entity/Q342850,A Baña,
https://database.factgrid.de/entity/Q342849,"A Baña, A Baña",
https://database.factgrid.de/entity/Q342851,"A Barca de Barbantes, Cenlle",
https://database.factgrid.de/entity/Q342852,"A Barcia do Seixo, A Lama",
https://database.factgrid.de/entity/Q342853,"A Barciela, Santiago de Compostela",
https://database.factgrid.de/entity/Q342854,A Barqueira,
https://database.factgrid.de/entity/Q342855,"A Barra, Coles",
https://database.factgrid.de/entity/Q342856,A Barrosa,
https://database.factgrid.de/entity/Q342857,"A Bastida, A Fonsagrada",
https://database.factgrid.de/entity/Q342858,"A Bola, Ourense",
https://database.factgrid.de/entity/Q342859,A Bovia,
https://database.factgrid.de/entity/Q342861,A Braña,
https://database.factgrid.de/entity/Q342860,A Braña,
https://database.factgrid.de/entity/Q342862,A Brañela,
https://database.factgrid.de/entity/Q342863,A Brañota,
https://database.factgrid.de/entity/Q342864,"A Broza, O Saviñao",
https://database.factgrid.de/entity/Q342865,A Buenavista,
https://database.factgrid.de/entity/Q342866,"A Cabana, Ferrol",
https://database.factgrid.de/entity/Q342867,A Canda (San Antón),
https://database.factgrid.de/entity/Q342868,"A Canda, Piñor",
https://database.factgrid.de/entity/Q342869,"A Canicouva, Pontevedra",
https://database.factgrid.de/entity/Q342870,A Cañiza,
https://database.factgrid.de/entity/Q342871,A Cañiza,
https://database.factgrid.de/entity/Q342873,A Capela,
https://database.factgrid.de/entity/Q342874,A Capela,
https://database.factgrid.de/entity/Q342872,"A Capela, Toques",
https://database.factgrid.de/entity/Q342875,A Carballeira (San Xosé),
https://database.factgrid.de/entity/Q342876,A Caridá,
https://database.factgrid.de/entity/Q342877,A Carretera,
https://database.factgrid.de/entity/Q342878,A Castañeda,
https://database.factgrid.de/entity/Q342879,"A Cela, Lobios",
https://database.factgrid.de/entity/Q342880,"A Cervela, Antas de Ulla",
https://database.factgrid.de/entity/Q342881,"A Cervela, O Incio",
https://database.factgrid.de/entity/Q342882,A Chanca,
https://database.factgrid.de/entity/Q342883,"A Ciadella, Sobrado",
https://database.factgrid.de/entity/Q342884,"A Cidá, O Irixo",
https://database.factgrid.de/entity/Q342885,"A Corna, Piñor",
https://database.factgrid.de/entity/Q81965,A Coruña,
https://database.factgrid.de/entity/Q342886,A Coruña Province,
https://database.factgrid.de/entity/Q342887,A Costa (Santiago),
https://database.factgrid.de/entity/Q342888,A Couboeira,
https://database.factgrid.de/entity/Q342891,A Cova,
https://database.factgrid.de/entity/Q342889,"A Cova, Carballedo",
https://database.factgrid.de/entity/Q342890,"A Cova, O Saviñao",
https://database.factgrid.de/entity/Q342892,"A Degolada, Baleira",
https://database.factgrid.de/entity/Q342893,"A Devesa, Ribadeo",
https://database.factgrid.de/entity/Q342894,A Enciñeira (Santa Isabel),
https://database.factgrid.de/entity/Q342895,"A Encomenda, A Pobra de Trives",
https://database.factgrid.de/entity/Q342896,"A Enfesta, Santiago de Compostela",
https://database.factgrid.de/entity/Q342897,A Ermida (Santa María),
https://database.factgrid.de/entity/Q342898,"A Ermida, A Baña",
https://database.factgrid.de/entity/Q342899,"A Ermida, Pazos de Borbén",
https://database.factgrid.de/entity/Q342900,A Escuita,
https://database.factgrid.de/entity/Q342901,"A Esculqueira, A Mezquita",
https://database.factgrid.de/entity/Q342902,"A Esperela, Baleira",
https://database.factgrid.de/entity/Q342904,A Estrada,
https://database.factgrid.de/entity/Q342903,"A Estrada, A Estrada",
https://database.factgrid.de/entity/Q342905,A Faeira,
https://database.factgrid.de/entity/Q342906,A Farrapa,
https://database.factgrid.de/entity/Q342907,A Ferraría,
https://database.factgrid.de/entity/Q342908,A Ferreirúa,
https://database.factgrid.de/entity/Q342909,A Folgueirosa,
https://database.factgrid.de/entity/Q342910,A Fonsagrada,
https://database.factgrid.de/entity/Q342911,A Fornaza,
https://database.factgrid.de/entity/Q342912,"A Fórnea, Trabada",
https://database.factgrid.de/entity/Q342913,A Fraga,
https://database.factgrid.de/entity/Q342914,"A Frairía, Castroverde",
https://database.factgrid.de/entity/Q342915,"A Franqueira, A Cañiza",
https://database.factgrid.de/entity/Q342916,"A Gándara, Oroso",
https://database.factgrid.de/entity/Q342917,A Garda,
https://database.factgrid.de/entity/Q342918,A Garganta,
https://database.factgrid.de/entity/Q342919,"A Grade, Chantada",
https://database.factgrid.de/entity/Q342924,A Graña,
https://database.factgrid.de/entity/Q342920,A Graña (San Vicenzo),
https://database.factgrid.de/entity/Q342921,A Graña (Santiago),
https://database.factgrid.de/entity/Q342922,"A Graña de Vilarente, Abadín",
https://database.factgrid.de/entity/Q342923,"A Graña, Covelo",
https://database.factgrid.de/entity/Q342926,A Grandela,
https://database.factgrid.de/entity/Q342925,A Grandela (Serantes),
https://database.factgrid.de/entity/Q342927,"A Granxa, Boqueixón",
https://database.factgrid.de/entity/Q342928,"A Granxa, Oímbra",
https://database.factgrid.de/entity/Q342930,A Guarda,
https://database.factgrid.de/entity/Q342929,"A Guarda, A Guarda",
https://database.factgrid.de/entity/Q342932,A Gudiña,
https://database.factgrid.de/entity/Q342931,"A Gudiña, A Gudiña",
https://database.factgrid.de/entity/Q342933,A Guía (Santa María),
https://database.factgrid.de/entity/Q342934,"A Hedrada, Parada de Sil",
https://database.factgrid.de/entity/Q342935,A Illa (San Lourenzo),
https://database.factgrid.de/entity/Q342937,A Illa de Arousa,
https://database.factgrid.de/entity/Q342936,A Illa de Arousa (San Xulián),
https://database.factgrid.de/entity/Q342938,"A Illa, Entrimo",
https://database.factgrid.de/entity/Q342939,"A Insua, Ponte Caldelas",
https://database.factgrid.de/entity/Q342941,A Lama,
https://database.factgrid.de/entity/Q342940,"A Lama, A Lama",
https://database.factgrid.de/entity/Q342942,A Lamela (Santa María),
https://database.factgrid.de/entity/Q342943,A Lamisqueira,
https://database.factgrid.de/entity/Q342944,"A Lamosa, Covelo",
https://database.factgrid.de/entity/Q342945,A Laracha,
https://database.factgrid.de/entity/Q342946,A Lastra (San Xoán),
https://database.factgrid.de/entity/Q342947,A Laxe (San Fiz),
https://database.factgrid.de/entity/Q342948,A Laxe (San Xoán),
https://database.factgrid.de/entity/Q342949,"A Laxe, Chantada",
https://database.factgrid.de/entity/Q342950,"A Laxe, Fornelos de Montes",
https://database.factgrid.de/entity/Q342951,"A Laxe, Paradela",
https://database.factgrid.de/entity/Q342952,A Lleira,
https://database.factgrid.de/entity/Q342953,"A Madanela de Montes, Forcarei",
https://database.factgrid.de/entity/Q342954,"A Madanela, Monterrei",
https://database.factgrid.de/entity/Q342955,A Manchica (Nosa Señora de Lourdes),
https://database.factgrid.de/entity/Q342956,"A Meda, Castroverde",
https://database.factgrid.de/entity/Q342957,A Medorra,
https://database.factgrid.de/entity/Q342958,"A Mella, Arzúa",
https://database.factgrid.de/entity/Q342960,A Merca,
https://database.factgrid.de/entity/Q342959,A Merca (Santa María),
https://database.factgrid.de/entity/Q342961,A Mesa,
https://database.factgrid.de/entity/Q342962,A Mesa,
https://database.factgrid.de/entity/Q342965,A Mezquita,
