,GEOID,TYPE,MONIKER,INTERNET_ADDRESS,
0,BETA geoid 1001,GEOGRAPHY*TYPE*T,Paris,,
1,BETA geoid 1002,GEOGRAPHY*TYPE*N,France (nación),,
2,BETA geoid 1003,GEOGRAPHY*TYPE*T,Sevilla,,
3,BETA geoid 1004,GEOGRAPHY*TYPE*K,España (reino),,
4,BETA geoid 1005,GEOGRAPHY*TYPE*T,Madrid,,
5,BETA geoid 1006,GEOGRAPHY*TYPE*T,Toledo,,
6,BETA geoid 1007,GEOGRAPHY*TYPE*T,Murcia,,
7,BETA geoid 1008,GEOGRAPHY*TYPE*CA,Región de Murcia (comunidad autónoma),,
8,BETA geoid 1010,GEOGRAPHY*TYPE*T,Granada,,
9,BETA geoid 1011,GEOGRAPHY*TYPE*T,Zaragoza,,
10,BETA geoid 1012,GEOGRAPHY*TYPE*T,Val de Santibáñez,,
11,BETA geoid 1013,GEOGRAPHY*TYPE*P,Burgos (provincia),,
13,BETA geoid 1014,GEOGRAPHY*TYPE*T,Pedrosa de Río Úrbel,https://www.wikidata.org/wiki/Q1751251,
12,BETA geoid 1014,,,https://database.factgrid.de/wiki/Item:Q352175,
14,BETA geoid 1015,GEOGRAPHY*TYPE*T,Cartagena,https://database.factgrid.de/wiki/Item:Q83765,
15,BETA geoid 1016,GEOGRAPHY*TYPE*T,Salamanca,,
16,BETA geoid 1017,GEOGRAPHY*TYPE*K,Aragó (reino),,
17,BETA geoid 1018,GEOGRAPHY*TYPE*T,Olivares,https://www.wikidata.org/wiki/Q1628400,
18,BETA geoid 1019,GEOGRAPHY*TYPE*T,México,,
19,BETA geoid 1020,GEOGRAPHY*TYPE*N,México (nación),,
20,BETA geoid 1021,GEOGRAPHY*TYPE*T,Talavera de la Reina,,
21,BETA geoid 1022,GEOGRAPHY*TYPE*T,Toulouse,,
22,BETA geoid 1023,GEOGRAPHY*TYPE*T,Wien,,
23,BETA geoid 1024,GEOGRAPHY*TYPE*N,Austria (nación),,
24,BETA geoid 1025,GEOGRAPHY*TYPE*T,Córdoba,,
25,BETA geoid 1026,GEOGRAPHY*TYPE*MN,San Juan de la Peña (monasterio / convento),https://www.wikidata.org/wiki/Q1389060,
26,BETA geoid 1026,,,https://es.wikipedia.org/wiki/Real_Monasterio_de_San_Juan_de_la_PeC3%B1a,
27,BETA geoid 1027,GEOGRAPHY*TYPE*T,San Millán de la Cogolla,https://database.factgrid.de/wiki/Item:Q353977,
28,BETA geoid 1028,GEOGRAPHY*TYPE*T,Valladolid,http://es.wikipedia.org/wiki/Pintia,
29,BETA geoid 1029,GEOGRAPHY*TYPE*N,Italia (nación),,
30,BETA geoid 1030,GEOGRAPHY*TYPE*T,Burgos,,
31,BETA geoid 1031,GEOGRAPHY*TYPE*T,Arévalo,https://www.wikidata.org/wiki/Q476793,
32,BETA geoid 1032,GEOGRAPHY*TYPE*T,Málaga,,
33,BETA geoid 1033,GEOGRAPHY*TYPE*R,Castilla (región),,
34,BETA geoid 1034,GEOGRAPHY*TYPE*R,Rioja (región),,
35,BETA geoid 1035,GEOGRAPHY*TYPE*CA,Cataluña (comunidad autónoma),https://www.wikidata.org/wiki/Q5705,
36,BETA geoid 1035,,,https://database.factgrid.de/wiki/Item:Q636081,
37,BETA geoid 1036,GEOGRAPHY*TYPE*CA,Aragón (comunidad autónoma),,
38,BETA geoid 1037,GEOGRAPHY*TYPE*R,"France, Sud de (región)",,
39,BETA geoid 1038,GEOGRAPHY*TYPE*J,Palacio de la Aljafería (castillo),https://www.wikidata.org/wiki/Q1354033,
40,BETA geoid 1039,GEOGRAPHY*TYPE*T,Alcalá de Guadaíra,https://es.wikipedia.org/wiki/Alcal%C3%A1_de_Guada%C3%ADra,
41,BETA geoid 1040,GEOGRAPHY*TYPE*T,Alcalá de Henares,,
42,BETA geoid 1041,GEOGRAPHY*TYPE*T,Alcalá la Real,,
43,BETA geoid 1042,GEOGRAPHY*TYPE*T,Almodóvar del Campo,https://www.wikidata.org/wiki/Q1631896,
44,BETA geoid 1042,,,https://es.wikipedia.org/wiki/Almod%C3%B3var_del_Campo,
45,BETA geoid 1043,GEOGRAPHY*TYPE*T,Andújar,https://es.wikipedia.org/wiki/And%C3%BAjar,
46,BETA geoid 1044,GEOGRAPHY*TYPE*T,Sant Cugat del Vallès,,
47,BETA geoid 1045,GEOGRAPHY*TYPE*T,Astudillo,https://es.wikipedia.org/wiki/Astudillo,
48,BETA geoid 1046,GEOGRAPHY*TYPE*T,Avignon,,
49,BETA geoid 1047,GEOGRAPHY*TYPE*T,Ávila,,
50,BETA geoid 1048,GEOGRAPHY*TYPE*T,Barcelona,https://www.wikidata.org/wiki/Q1492,
51,BETA geoid 1048,,,https://es.wikipedia.org/wiki/Barcelona,
52,BETA geoid 1048,,,https://ca.wikipedia.org/wiki/Comtat_de_Barcelona,
53,BETA geoid 1049,GEOGRAPHY*TYPE*R,Franche Comté (región),,
54,BETA geoid 1050,,,https://www.wikidata.org/wiki/Q55480,
56,BETA geoid 1050,GEOGRAPHY*TYPE*T,Colmenar,https://ca.wikipedia.org/wiki/Colmenar,
55,BETA geoid 1050,,,https://ca.wikipedia.org/wiki/Colmenar,
57,BETA geoid 1051,GEOGRAPHY*TYPE*T,Coria,,
58,BETA geoid 1052,GEOGRAPHY*TYPE*T,Cuenca,,
59,BETA geoid 1053,GEOGRAPHY*TYPE*T,San Lorenzo de El Escorial,,
60,BETA geoid 1054,GEOGRAPHY*TYPE*P,Granada (provincia),,
61,BETA geoid 1055,GEOGRAPHY*TYPE*T,Guadalupe,,
62,BETA geoid 1056,GEOGRAPHY*TYPE*T,Guadalajara,,
63,BETA geoid 1057,GEOGRAPHY*TYPE*T,Huesca,,
64,BETA geoid 1058,GEOGRAPHY*TYPE*T,Huete,https://www.wikidata.org/wiki/Q5814601,
65,BETA geoid 1059,GEOGRAPHY*TYPE*T,Illueca,,
66,BETA geoid 1060,GEOGRAPHY*TYPE*T,Iniesta,https://www.wikidata.org/wiki/Q630933,
67,BETA geoid 1061,GEOGRAPHY*TYPE*T,La Guardia,,
68,BETA geoid 1062,GEOGRAPHY*TYPE*T,Laguna de Duero,https://www.wikidata.org/wiki/Q367842,
69,BETA geoid 1062,,,https://es.wikipedia.org/wiki/Laguna_de_Duero,
70,BETA geoid 1063,GEOGRAPHY*TYPE*T,Lleida,,
71,BETA geoid 1064,GEOGRAPHY*TYPE*T,Leiria,,
72,BETA geoid 1065,GEOGRAPHY*TYPE*T,Logroño,,
73,BETA geoid 1066,GEOGRAPHY*TYPE*CA,Madrid (comunidad autónoma),,
74,BETA geoid 1067,GEOGRAPHY*TYPE*T,Medina del Campo,https://es.wikipedia.org/wiki/Medina_del_Campo,
75,BETA geoid 1068,GEOGRAPHY*TYPE*T,Mondoñedo,http://es.wikipedia.org/wiki/Mondo%C3%B1edo,
76,BETA geoid 1069,GEOGRAPHY*TYPE*T,Monterrey,https://www.wikidata.org/wiki/Q1452663,
77,BETA geoid 1070,GEOGRAPHY*TYPE*T,Montserrat,,
78,BETA geoid 1071,GEOGRAPHY*TYPE*T,Muro,,
79,BETA geoid 1072,GEOGRAPHY*TYPE*T,Ólvega,https://www.wikidata.org/wiki/Q623685,
80,BETA geoid 1073,GEOGRAPHY*TYPE*T,Orense,,
81,BETA geoid 1074,GEOGRAPHY*TYPE*T,Oviedo,,
82,BETA geoid 1075,GEOGRAPHY*TYPE*T,Palencia,,
83,BETA geoid 1076,GEOGRAPHY*TYPE*T,Haro,https://www.wikidata.org/wiki/Q405292,
84,BETA geoid 1076,,,https://es.wikipedia.org/wiki/Haro,
85,BETA geoid 1077,GEOGRAPHY*TYPE*T,Pamplona,,
86,BETA geoid 1079,GEOGRAPHY*TYPE*T,San Cebrián de las Amayuelas,https://www.wikidata.org/wiki/Q1020397,
87,BETA geoid 1080,GEOGRAPHY*TYPE*T,Napoli,,
88,BETA geoid 1081,GEOGRAPHY*TYPE*T,Arlanza,https://www.wikidata.org/wiki/Q5704298,
89,BETA geoid 1082,GEOGRAPHY*TYPE*T,Oña,http://es.wikipedia.org/wiki/O%C3%B1a,
90,BETA geoid 1083,GEOGRAPHY*TYPE*T,Santiago de Compostela,,
91,BETA geoid 1084,GEOGRAPHY*TYPE*T,Segovia,,
92,BETA geoid 1085,GEOGRAPHY*TYPE*T,Segura,https://www.wikidata.org/wiki/Q532136,
93,BETA geoid 1086,GEOGRAPHY*TYPE*P,Gipuzkoa (provincia),,
94,BETA geoid 1087,GEOGRAPHY*TYPE*T,Sigüenza,,
95,BETA geoid 1088,GEOGRAPHY*TYPE*T,Silos,,
96,BETA geoid 1089,GEOGRAPHY*TYPE*T,Durango,https://es.wikipedia.org/wiki/Durango_(Espa%C3%B1a),
97,BETA geoid 1090,GEOGRAPHY*TYPE*P,Toledo (provincia),,
98,BETA geoid 1091,GEOGRAPHY*TYPE*T,El Puerto de Santa María,https://www.wikidata.org/wiki/Q203040,
99,BETA geoid 1091,,,https://en.wikipedia.org/wiki/El_Puerto_de_Santa_MarC3%ADa,
100,BETA geoid 1092,GEOGRAPHY*TYPE*T,Uclés,https://www.wikidata.org/wiki/Q959012,
101,BETA geoid 1093,GEOGRAPHY*TYPE*T,Puebla de León,,
102,BETA geoid 1094,GEOGRAPHY*TYPE*T,Valverde,,
103,BETA geoid 1095,GEOGRAPHY*TYPE*T,Venezia,,
104,BETA geoid 1096,GEOGRAPHY*TYPE*T,Villalpando,,
105,BETA geoid 1097,GEOGRAPHY*TYPE*T,Zamora,,
106,BETA geoid 1098,GEOGRAPHY*TYPE*T,València,https://www.wikidata.org/wiki/Q8818,
108,BETA geoid 1099,GEOGRAPHY*TYPE*Y,Cataluña (principado),https://database.factgrid.de/wiki/Item:Q780285,
109,BETA geoid 1100,GEOGRAPHY*TYPE*K,Navarra (reino),Q704212,
110,BETA geoid 1101,GEOGRAPHY*TYPE*I,Sicilia (isla),https://database.factgrid.de/wiki/Item:Q425252,
111,BETA geoid 1102,GEOGRAPHY*TYPE*R,Castilla la Vieja (región),,
112,BETA geoid 1103,GEOGRAPHY*TYPE*R,Castilla la Nueva (región),,
113,BETA geoid 1104,GEOGRAPHY*TYPE*K,"Castilla y León, Corona de (reino)",https://database.factgrid.de/wiki/Item:Q451045,
114,BETA geoid 1105,GEOGRAPHY*TYPE*K,Corona d’Aragó (reino),https://database.factgrid.de/wiki/Item:Q878876,
115,BETA geoid 1106,GEOGRAPHY*TYPE*T,Aachen,https://database.factgrid.de/wiki/Item:Q10293,
116,BETA geoid 1107,GEOGRAPHY*TYPE*T,Alarcón,https://www.wikidata.org/wiki/Q1020522,
,BETA geoid 1107,,,https://database.factgrid.de/wiki/Item:Q343291,
117,BETA geoid 1108,GEOGRAPHY*TYPE*R,Ribagorza (región),https://www.wikidata.org/wiki/Q1425491,
118,BETA geoid 1108,,,https://es.wikipedia.org/wiki/Condado_de_Ribagorza,
,BETA geoid 1108,,,,
119,BETA geoid 1109,GEOGRAPHY*TYPE*T,Benavente,https://database.factgrid.de/wiki/Item:Q344768,
120,BETA geoid 1111,GEOGRAPHY*TYPE*T,Benamejí,https://database.factgrid.de/wiki/Item:Q344758,
121,BETA geoid 1112,GEOGRAPHY*TYPE*T,Bute,,
122,BETA geoid 1113,GEOGRAPHY*TYPE*T,Cabriñana del Monte,,
123,BETA geoid 1114,GEOGRAPHY*TYPE*C,Cervellón (condado),https://www.wikidata.org/wiki/Q24942071,
124,BETA geoid 1114,,,https://es.wikipedia.org/wiki/Condado_de_Cervell%C3%B3n,
125,BETA geoid 1115,GEOGRAPHY*TYPE*T,Coimbra,https://www.wikidata.org/wiki/Q45412,
,BETA geoid 1115,,,https://database.factgrid.de/wiki/Item:Q358436,
126,BETA geoid 1116,GEOGRAPHY*TYPE*T,Dresden,https://database.factgrid.de/wiki/Item:Q10286,
127,BETA geoid 1117,GEOGRAPHY*TYPE*T,Osuna,https://www.wikidata.org/wiki/Q586018,
128,BETA geoid 1118,GEOGRAPHY*TYPE*T,Fernán Núñez,https://www.wikidata.org/wiki/Q1617311,
129,BETA geoid 1119,GEOGRAPHY*TYPE*T,Frías,https://www.wikidata.org/wiki/Q1657230,
130,BETA geoid 1119,,,https://es.wikipedia.org/wiki/Ducado_de_FrC3%ADas,
131,BETA geoid 1120,GEOGRAPHY*TYPE*T,Gor,https://www.wikidata.org/wiki/Q574434,
132,BETA geoid 1120,,,https://es.wikipedia.org/wiki/Gor,
133,BETA geoid 1121,GEOGRAPHY*TYPE*T,Guimerà,https://www.wikidata.org/wiki/Q1902128,
134,BETA geoid 1121,,,https://es.wikipedia.org/wiki/GuimerC3%A1,
135,BETA geoid 1121,,,https://ca.wikipedia.org/wiki/Comtat_de_Guimer%C3%A0,
137,BETA geoid 1122,GEOGRAPHY*TYPE*T,Híjar,https://www.wikidata.org/wiki/Q1615268,
136,BETA geoid 1122,,,https://es.wikipedia.org/wiki/H%C3%ADjar,
138,BETA geoid 1123,GEOGRAPHY*TYPE*U,Infantado (ducado),https://www.wikidata.org/wiki/Q59241456,
139,BETA geoid 1123,,,https://es.wikipedia.org/wiki/Ducado_del_Infantado,
140,BETA geoid 1124,GEOGRAPHY*TYPE*T,Jerez de los Caballeros,https://database.factgrid.de/wiki/Item:Q348967,
141,BETA geoid 1125,GEOGRAPHY*TYPE*T,Jerez de la Frontera,http://en.wikipedia.org/wiki/Jerez_de_la_Frontera,
142,BETA geoid 1126,GEOGRAPHY*TYPE*U,Wellington (ducado),https://www.wikidata.org/wiki/Q1264633,
143,BETA geoid 1126,,,https://es.wikipedia.org/wiki/Ducado_de_Wellington,
144,BETA geoid 1127,GEOGRAPHY*TYPE*T,Lyon,https://www.wikidata.org/wiki/Q456,
145,BETA geoid 1128,GEOGRAPHY*TYPE*T,Malpica,,
146,BETA geoid 1129,GEOGRAPHY*TYPE*C,Mansilla (condado),https://www.wikidata.org/wiki/Q63568233,
147,BETA geoid 1129,,,https://es.wikipedia.org/wiki/Condado_de_Mansilla,
148,BETA geoid 1130,GEOGRAPHY*TYPE*T,Medinaceli,https://es.wikipedia.org/wiki/Ducado_de_Medinaceli,
149,BETA geoid 1131,GEOGRAPHY*TYPE*T,Miranda del Castañar,https://www.wikidata.org/wiki/Q1769783,
150,BETA geoid 1131,,,https://es.wikipedia.org/wiki/Miranda_del_Casta%C3%B1ar,
151,BETA geoid 1132,GEOGRAPHY*TYPE*T,Montealegre,https://database.factgrid.de/wiki/Item:Q350815,
152,BETA geoid 1133,GEOGRAPHY*TYPE*T,Moos/Bodensee,,
153,BETA geoid 1134,GEOGRAPHY*TYPE*T,München,,
154,BETA geoid 1135,GEOGRAPHY*TYPE*T,New York,,
155,BETA geoid 1136,GEOGRAPHY*TYPE*T,Guilford,,
156,BETA geoid 1137,GEOGRAPHY*TYPE*T,Juandería,,
157,BETA geoid 1138,GEOGRAPHY*TYPE*T,Burgo de Osma,,
158,BETA geoid 1139,GEOGRAPHY*TYPE*T,Passau,,
159,BETA geoid 1140,GEOGRAPHY*TYPE*T,Pidal,,
160,BETA geoid 1141,GEOGRAPHY*TYPE*T,Plasencia,http://es.wikipedia.org/wiki/Plasencia,
161,BETA geoid 1142,GEOGRAPHY*TYPE*N,Portugal (nación),,
162,BETA geoid 1143,GEOGRAPHY*TYPE*C,Puñonrostro (condado),https://es.wikipedia.org/wiki/Condado_de_Pu%C3%B1onrostro,
163,BETA geoid 1144,GEOGRAPHY*TYPE*T,Ribadavia,https://www.wikidata.org/wiki/Q917180,
164,BETA geoid 1144,,,https://es.wikipedia.org/wiki/Ribadavia,
165,BETA geoid 1145,GEOGRAPHY*TYPE*T,La Romana,,
166,BETA geoid 1146,GEOGRAPHY*TYPE*T,Romré,https://www.wikidata.org/wiki/Q2140111,
167,BETA geoid 1146,,,https://fr.wikipedia.org/wiki/RomerC3%A9e,
168,BETA geoid 1147,GEOGRAPHY*TYPE*T,San Román,,
