Unnamed: 0,GEOID,TYPE,MONIKER,INTERNET_ADDRESS,Unnamed: 5
13.0,BETA geoid 1014,GEOGRAPHY*TYPE*T,Pedrosa de Río Úrbel,Q1751251,
25.0,BETA geoid 1026,GEOGRAPHY*TYPE*MN,San Juan de la Peña (monasterio / convento),Q1389060,
39.0,BETA geoid 1038,GEOGRAPHY*TYPE*J,Palacio de la Aljafería (castillo),Q1354033,
76.0,BETA geoid 1069,GEOGRAPHY*TYPE*T,Monterrey,Q1452663,
79.0,BETA geoid 1072,GEOGRAPHY*TYPE*T,Ólvega,Q623685,
83.0,BETA geoid 1076,GEOGRAPHY*TYPE*T,Haro,Q405292,
86.0,BETA geoid 1079,GEOGRAPHY*TYPE*T,San Cebrián de las Amayuelas,Q1020397,
88.0,BETA geoid 1081,GEOGRAPHY*TYPE*T,Arlanza,Q5704298,
106.0,BETA geoid 1098,GEOGRAPHY*TYPE*T,València,Q8818,
117.0,BETA geoid 1108,GEOGRAPHY*TYPE*R,Ribagorza (región),Q1425491,
123.0,BETA geoid 1114,GEOGRAPHY*TYPE*C,Cervellón (condado),Q24942071,
125.0,BETA geoid 1115,GEOGRAPHY*TYPE*T,Coimbra,Q45412,
138.0,BETA geoid 1123,GEOGRAPHY*TYPE*U,Infantado (ducado),Q59241456,
142.0,BETA geoid 1126,GEOGRAPHY*TYPE*U,Wellington (ducado),Q1264633,
144.0,BETA geoid 1127,GEOGRAPHY*TYPE*T,Lyon,Q456,
146.0,BETA geoid 1129,GEOGRAPHY*TYPE*C,Mansilla (condado),Q63568233,
166.0,BETA geoid 1146,GEOGRAPHY*TYPE*T,Romré,Q2140111,
183.0,BETA geoid 1157,,,Q3771328,
201.0,BETA geoid 1172,GEOGRAPHY*TYPE*T,Barcelos,Q213242,
240.0,BETA geoid 1204,GEOGRAPHY*TYPE*MO,Monte Sinaí (montaña),Q377485,
243.0,BETA geoid 1207,GEOGRAPHY*TYPE*CO,Étampes (comuna),Q205584,
247.0,BETA geoid 1209,GEOGRAPHY*TYPE*MO,Prades (montaña),Q6745874,
249.0,BETA geoid 1210,GEOGRAPHY*TYPE*U,Bar (ducado),Q706679,
254.0,BETA geoid 1214,GEOGRAPHY*TYPE*R,Los Vélez (región),Q1116313,
256.0,BETA geoid 1215,GEOGRAPHY*TYPE*T,Pont-à-Mousson,Q461413,
260.0,BETA geoid 1219,GEOGRAPHY*TYPE*D,Megara (diócesis),Q1917128,
280.0,BETA geoid 1236,GEOGRAPHY*TYPE*T,Auñón,Q425740,
287.0,BETA geoid 1243,GEOGRAPHY*TYPE*T,Thetford,Q237250,
288.0,BETA geoid 1244,GEOGRAPHY*TYPE*T,Tottenham,Q503375,
289.0,BETA geoid 1245,GEOGRAPHY*TYPE*T,London,Q84,
305.0,BETA geoid 1258,,,Q751986,
304.0,BETA geoid 1258,GEOGRAPHY*TYPE*T,Sessa,Q58898,
306.0,BETA geoid 1259,GEOGRAPHY*TYPE*C,Torrepalma (condado),Q5782162,
312.0,BETA geoid 1264,GEOGRAPHY*TYPE*C,Castro (condado),Q16551211,
340.0,BETA geoid 1290,GEOGRAPHY*TYPE*U,T’Serclaes (ducado),Q5814759,
346.0,BETA geoid 1294,GEOGRAPHY*TYPE*T,Gandía,Q33532,
360.0,BETA geoid 1303,GEOGRAPHY*TYPE*C,Cork (condado),Q162475,
379.0,BETA geoid 1321,GEOGRAPHY*TYPE*T,Crotone,Q6681,
388.0,BETA geoid 1330,GEOGRAPHY*TYPE*MO,Sierra de Tudia (montaña),Q23979012,
394.0,BETA geoid 1336,GEOGRAPHY*TYPE*T,Oñate,Q496588,
396.0,BETA geoid 1337,GEOGRAPHY*TYPE*T,Castañeda,Q608641,
402.0,BETA geoid 1341,GEOGRAPHY*TYPE*T,Melito,Q72258,
405.0,BETA geoid 1342,GEOGRAPHY*TYPE*R,Real de Manzanares (región),Q5823075,
434.0,BETA geoid 1365,GEOGRAPHY*TYPE*C,Villaumbrosa (condado),Q5782255,
437.0,BETA geoid 1367,GEOGRAPHY*TYPE*T,Coruña,Q1613822,
439.0,BETA geoid 1368,GEOGRAPHY*TYPE*T,Osorno,Q63517226,
454.0,BETA geoid 1381,GEOGRAPHY*TYPE*T,Grajal,Q137698,
456.0,BETA geoid 1382,GEOGRAPHY*TYPE*M,Montaos (marquesado),Q6000662,
457.0,BETA geoid 1383,GEOGRAPHY*TYPE*C,Ezpeleta de Beire (condado),Q24942152,
459.0,BETA geoid 1384,GEOGRAPHY*TYPE*U,Castroterreño (ducado),Q5814563,
473.0,BETA geoid 1397,GEOGRAPHY*TYPE*T,Saldaña,Q773408,
475.0,BETA geoid 1398,GEOGRAPHY*TYPE*C,Aguilar (condado),Q16144396,
481.0,BETA geoid 1403,GEOGRAPHY*TYPE*T,San Esteban de Gormaz,Q487352,
486.0,BETA geoid 1407,GEOGRAPHY*TYPE*C,Fuente el Saúz (condado),Q5578155,
502.0,BETA geoid 1415,GEOGRAPHY*TYPE*T,Treviño,Q427099,
512.0,BETA geoid 1423,GEOGRAPHY*TYPE*T,Cadaval,Q33661928,
529.0,BETA geoid 1437,GEOGRAPHY*TYPE*T,Collesano,Q491394,
555.0,BETA geoid 1458,GEOGRAPHY*TYPE*T,Puebla de Los Ángeles,Q125293,
556.0,BETA geoid 1459,GEOGRAPHY*TYPE*T,Benahavis,Q816672,
616.0,BETA geoid 1512,GEOGRAPHY*TYPE*U,Lancaster (ducado),Q2914544,
617.0,BETA geoid 1513,GEOGRAPHY*TYPE*K,Regno di Sardegna (reino),Q165154,
619.0,BETA geoid 1514,GEOGRAPHY*TYPE*C,Provence (condado),Q2991382,
665.0,BETA geoid 1556,GEOGRAPHY*TYPE*R,Sobrarbe (región),Q1340288,
676.0,BETA geoid 1565,GEOGRAPHY*TYPE*C,Lemos,Q8349573,
698.0,BETA geoid 1584,GEOGRAPHY*TYPE*C,Buelna (condado),Q5781398,
700.0,BETA geoid 1585,GEOGRAPHY*TYPE*T,Medellín,Q668384,
715.0,BETA geoid 1597,GEOGRAPHY*TYPE*T,Puebla de Montalbán,Q537779,
730.0,BETA geoid 1610,GEOGRAPHY*TYPE*T,Ureña,Q609581,
733.0,BETA geoid 1611,GEOGRAPHY*TYPE*C,Trastámara (condado),Q1541432,
739.0,BETA geoid 1616,GEOGRAPHY*TYPE*U,Terranova (ducado),Q5814768,
741.0,BETA geoid 1617,GEOGRAPHY*TYPE*J,Castel Sant’Angelo (castillo),Q486382,
748.0,BETA geoid 1623,GEOGRAPHY*TYPE*T,Abrantes,Q331191,
759.0,BETA geoid 1630,GEOGRAPHY*TYPE*R,Valentinois (región),Q335108,
760.0,BETA geoid 1631,GEOGRAPHY*TYPE*T,Vila Nova,Q543542,
763.0,BETA geoid 1634,GEOGRAPHY*TYPE*T,Vimioso,Q551649,
772.0,BETA geoid 1641,GEOGRAPHY*TYPE*T,Noreña,Q816255,
