Unnamed: 0,GEOID,TYPE,MONIKER / NAME,INTERNET_ADDRESS
13,BITAGAP geoid 1013,GEOGRAPHY*TYPE*T,Salamanca,
18,BITAGAP geoid 1018,GEOGRAPHY*TYPE*T,Sevilha,
19,BITAGAP geoid 1019,GEOGRAPHY*TYPE*T,Cuenca,
21,BITAGAP geoid 1021,GEOGRAPHY*TYPE*T,Santiago de Compostela,
22,BITAGAP geoid 1022,GEOGRAPHY*TYPE*T,Lorvão,
24,BITAGAP geoid 1024,GEOGRAPHY*TYPE*T,Madrid,
30,BITAGAP geoid 1030,GEOGRAPHY*TYPE*T,El Escorial,
33,BITAGAP geoid 1033,GEOGRAPHY*TYPE*N,Portugal (nação),
35,BITAGAP geoid 1035,GEOGRAPHY*TYPE*N,Espanha (nação),
39,BITAGAP geoid 1039,GEOGRAPHY*TYPE*P,Província do Minho (província),
40,BITAGAP geoid 1040,GEOGRAPHY*TYPE*R,Baixo Alentejo (região),
41,BITAGAP geoid 1041,GEOGRAPHY*TYPE*P,Província de Estremadura (província),
42,BITAGAP geoid 1042,GEOGRAPHY*TYPE*P,Douro Litoral (província),
43,BITAGAP geoid 1043,GEOGRAPHY*TYPE*P,Província de Beira Alta (província),
44,BITAGAP geoid 1044,GEOGRAPHY*TYPE*P,Beira Litoral (província),
45,BITAGAP geoid 1045,GEOGRAPHY*TYPE*P,Alto Alentejo (província),
46,BITAGAP geoid 1046,GEOGRAPHY*TYPE*P,Ribatejo (província),
47,BITAGAP geoid 1047,GEOGRAPHY*TYPE*P,Tràs-os-Montes e Alto Douro (província),
48,BITAGAP geoid 1048,GEOGRAPHY*TYPE*T,Burgos,
49,BITAGAP geoid 1049,GEOGRAPHY*TYPE*T,Granada,
50,BITAGAP geoid 1050,GEOGRAPHY*TYPE*T,Alvor,
52,BITAGAP geoid 1052,GEOGRAPHY*TYPE*T,Toledo,
53,BITAGAP geoid 1053,GEOGRAPHY*TYPE*T,Pontevedra,
54,BITAGAP geoid 1054,GEOGRAPHY*TYPE*T,Ciudad Rodrigo,
56,BITAGAP geoid 1056,GEOGRAPHY*TYPE*T,Santa Vaya de Chacín,
57,BITAGAP geoid 1057,GEOGRAPHY*TYPE*T,Valdozende,
60,BITAGAP geoid 1060,GEOGRAPHY*TYPE*T,Alcáçovas,
63,BITAGAP geoid 1063,GEOGRAPHY*TYPE*T,Guardão,
65,BITAGAP geoid 1065,GEOGRAPHY*TYPE*T,Tentúgal,
68,BITAGAP geoid 1068,GEOGRAPHY*TYPE*T,Azuaga,
72,BITAGAP geoid 1072,GEOGRAPHY*TYPE*P,Valença (província),
73,BITAGAP geoid 1073,GEOGRAPHY*TYPE*T,Santillana del Mar,
75,BITAGAP geoid 1075,GEOGRAPHY*TYPE*T,Muge,
76,BITAGAP geoid 1076,GEOGRAPHY*TYPE*T,Aljubarrota,
77,BITAGAP geoid 1077,GEOGRAPHY*TYPE*T,Aljazedo,
81,BITAGAP geoid 1081,GEOGRAPHY*TYPE*T,Astorga,
82,BITAGAP geoid 1082,GEOGRAPHY*TYPE*T,Lalim,
83,BITAGAP geoid 1083,GEOGRAPHY*TYPE*T,Alfarrobeira,
86,BITAGAP geoid 1086,GEOGRAPHY*TYPE*T,Touro,
87,BITAGAP geoid 1087,GEOGRAPHY*TYPE*T,Palencia,
88,BITAGAP geoid 1088,GEOGRAPHY*TYPE*T,Saragoça,
91,BITAGAP geoid 1091,GEOGRAPHY*TYPE*T,Veiros,
93,BITAGAP geoid 1093,GEOGRAPHY*TYPE*T,Múrcia,
95,BITAGAP geoid 1095,GEOGRAPHY*TYPE*T,Azurara,
96,BITAGAP geoid 1096,GEOGRAPHY*TYPE*T,Roncesvales,
98,BITAGAP geoid 1098,GEOGRAPHY*TYPE*P,Saragoça (província),
99,BITAGAP geoid 1099,GEOGRAPHY*TYPE*P,Ávila (província),
100,BITAGAP geoid 1100,GEOGRAPHY*TYPE*T,Madrigal de las Altas Torres,
101,BITAGAP geoid 1101,GEOGRAPHY*TYPE*T,Sortelha,
102,BITAGAP geoid 1102,GEOGRAPHY*TYPE*T,Albuquerque,
106,BITAGAP geoid 1106,GEOGRAPHY*TYPE*T,Coja,
109,BITAGAP geoid 1109,GEOGRAPHY*TYPE*T,Ventoselo,
110,BITAGAP geoid 1110,GEOGRAPHY*TYPE*T,Leça,
111,BITAGAP geoid 1111,GEOGRAPHY*TYPE*T,Mortágua [Aldeia Galega / Alenquer],
113,BITAGAP geoid 1113,GEOGRAPHY*TYPE*C,Concelho de Santo Tirso (concelho - município),
116,BITAGAP geoid 1116,GEOGRAPHY*TYPE*T,Castelo Melhor,
117,BITAGAP geoid 1117,GEOGRAPHY*TYPE*T,Castelo Bom,
121,BITAGAP geoid 1121,GEOGRAPHY*TYPE*T,Almeirim/Lisboa,
122,BITAGAP geoid 1122,GEOGRAPHY*TYPE*T,Ourense,
123,BITAGAP geoid 1123,GEOGRAPHY*TYPE*P,Província do Algarve (província),
124,BITAGAP geoid 1124,GEOGRAPHY*TYPE*T,Lafões,
126,BITAGAP geoid 1126,GEOGRAPHY*TYPE*K,Castela (reino),
128,BITAGAP geoid 1128,GEOGRAPHY*TYPE*T,Valença do Minho,
129,BITAGAP geoid 1129,GEOGRAPHY*TYPE*T,Casével,
130,BITAGAP geoid 1130,GEOGRAPHY*TYPE*T,Lumiares,
131,BITAGAP geoid 1131,GEOGRAPHY*TYPE*T,Farrobo,
132,BITAGAP geoid 1132,GEOGRAPHY*TYPE*T,Cádis,
136,BITAGAP geoid 1136,GEOGRAPHY*TYPE*T,Vila do Infante,
137,BITAGAP geoid 1137,GEOGRAPHY*TYPE*T,Beringel,
138,BITAGAP geoid 1138,GEOGRAPHY*TYPE*T,Santa Eulália,
140,BITAGAP geoid 1140,GEOGRAPHY*TYPE*T,Angra do Heroísmo,
142,BITAGAP geoid 1142,GEOGRAPHY*TYPE*T,Quintela [Tarouca],
143,BITAGAP geoid 1143,GEOGRAPHY*TYPE*F,Castelo de Celorico da Beira (castelo),
144,BITAGAP geoid 1144,GEOGRAPHY*TYPE*T,Monsanto,
149,BITAGAP geoid 1149,GEOGRAPHY*TYPE*K,Navarra (reino),
150,BITAGAP geoid 1150,GEOGRAPHY*TYPE*K,Leão e Castela (reino),
151,BITAGAP geoid 1151,GEOGRAPHY*TYPE*T,Uceda,
152,BITAGAP geoid 1152,GEOGRAPHY*TYPE*T,Tancos,
153,BITAGAP geoid 1153,GEOGRAPHY*TYPE*T,Angeja,
155,BITAGAP geoid 1155,GEOGRAPHY*TYPE*T,Osuna,
156,BITAGAP geoid 1156,GEOGRAPHY*TYPE*T,Alegrete,
157,BITAGAP geoid 1157,GEOGRAPHY*TYPE*T,Tui,
161,BITAGAP geoid 1161,GEOGRAPHY*TYPE*T,Póvoa de Santa Cristina,
163,BITAGAP geoid 1163,GEOGRAPHY*TYPE*T,Rendufe,
166,BITAGAP geoid 1166,GEOGRAPHY*TYPE*T,Valderas,
168,BITAGAP geoid 1168,GEOGRAPHY*TYPE*T,Hita,
173,BITAGAP geoid 1173,GEOGRAPHY*TYPE*T,Xaém,
174,BITAGAP geoid 1174,GEOGRAPHY*TYPE*T,Mérida,https://www.wikidata.org/wiki/Q14323
176,BITAGAP geoid 1176,GEOGRAPHY*TYPE*T,Ameal,
177,BITAGAP geoid 1177,GEOGRAPHY*TYPE*T,Esperança,
178,BITAGAP geoid 1178,GEOGRAPHY*TYPE*T,Zagala,
179,BITAGAP geoid 1179,GEOGRAPHY*TYPE*T,Vila Nova de Portimão,
181,BITAGAP geoid 1181,GEOGRAPHY*TYPE*K,Aragão (reino),
188,BITAGAP geoid 1188,GEOGRAPHY*TYPE*T,Feira,
189,BITAGAP geoid 1189,GEOGRAPHY*TYPE*T,Marialva,
191,BITAGAP geoid 1191,GEOGRAPHY*TYPE*T,Valladolid,
192,BITAGAP geoid 1192,GEOGRAPHY*TYPE*T,A Coruña,
193,BITAGAP geoid 1194,GEOGRAPHY*TYPE*T,Azevedo,
195,BITAGAP geoid 1196,GEOGRAPHY*TYPE*T,Valmar,
196,BITAGAP geoid 1197,GEOGRAPHY*TYPE*T,São Lourenço,
197,BITAGAP geoid 1198,GEOGRAPHY*TYPE*T,Linhares,
199,BITAGAP geoid 1200,GEOGRAPHY*TYPE*F,Castelo de Miranda do Corvo (castelo),
202,BITAGAP geoid 1203,GEOGRAPHY*TYPE*T,Balsemão,
203,BITAGAP geoid 1204,GEOGRAPHY*TYPE*T,Olivares,
204,BITAGAP geoid 1205,GEOGRAPHY*TYPE*T,Fernán Núñez,
207,BITAGAP geoid 1208,GEOGRAPHY*TYPE*T,Vimieiro,
208,BITAGAP geoid 1209,GEOGRAPHY*TYPE*T,Sousa,
210,BITAGAP geoid 1211,GEOGRAPHY*TYPE*T,La Romana,
211,BITAGAP geoid 1212,GEOGRAPHY*TYPE*T,Samodães,https://www.wikidata.org/wiki/Q64405
212,BITAGAP geoid 1213,GEOGRAPHY*TYPE*T,Montealegre,
214,BITAGAP geoid 1215,GEOGRAPHY*TYPE*R,Infantado (região),
216,BITAGAP geoid 1217,GEOGRAPHY*TYPE*K,Leão (reino),
217,BITAGAP geoid 1218,GEOGRAPHY*TYPE*T,Lagares,
218,BITAGAP geoid 1219,GEOGRAPHY*TYPE*T,Oñate,
221,BITAGAP geoid 1223,GEOGRAPHY*TYPE*T,Lemos,
222,BITAGAP geoid 1224,GEOGRAPHY*TYPE*T,Caracena,
223,BITAGAP geoid 1225,GEOGRAPHY*TYPE*F,Castelo de Rosmaninhal (castelo),
226,BITAGAP geoid 1228,GEOGRAPHY*TYPE*T,Ceuta,https://pt.wikipedia.org/wiki/CeutäIdade_M.C3.A9dia
227,BITAGAP geoid 1229,GEOGRAPHY*TYPE*T,Tendilla,
229,BITAGAP geoid 1231,GEOGRAPHY*TYPE*K,Catalunha (reino),
232,BITAGAP geoid 1234,GEOGRAPHY*TYPE*T,Lavradio,
233,BITAGAP geoid 1235,GEOGRAPHY*TYPE*T,Medinaceli,
234,BITAGAP geoid 1236,GEOGRAPHY*TYPE*T,Castro Guimarães,
235,BITAGAP geoid 1237,GEOGRAPHY*TYPE*T,Sabugosa,
236,BITAGAP geoid 1238,GEOGRAPHY*TYPE*T,Miragaia,
239,BITAGAP geoid 1241,GEOGRAPHY*TYPE*T,Benahavís,
240,BITAGAP geoid 1242,GEOGRAPHY*TYPE*T,Távora,
241,BITAGAP geoid 1243,GEOGRAPHY*TYPE*T,Vila de Castanheira,
242,BITAGAP geoid 1244,GEOGRAPHY*TYPE*T,Safim,
244,BITAGAP geoid 1246,GEOGRAPHY*TYPE*T,São Jorge da Mina,
246,BITAGAP geoid 1248,GEOGRAPHY*TYPE*T,Barbacena,
254,BITAGAP geoid 1256,GEOGRAPHY*TYPE*T,Villaumbrosa,
255,BITAGAP geoid 1257,GEOGRAPHY*TYPE*T,Tordesilhas,
256,BITAGAP geoid 1258,GEOGRAPHY*TYPE*T,Avranches,
259,BITAGAP geoid 1262,GEOGRAPHY*TYPE*T,Atalaia [de Abrantes],
260,BITAGAP geoid 1263,GEOGRAPHY*TYPE*T,Penela [Coimbra],
261,BITAGAP geoid 1264,GEOGRAPHY*TYPE*T,Silvã,
265,BITAGAP geoid 1268,GEOGRAPHY*TYPE*T,Leão,
267,BITAGAP geoid 1270,GEOGRAPHY*TYPE*T,Ferreira,
269,BITAGAP geoid 1272,GEOGRAPHY*TYPE*T,Olivença,
271,BITAGAP geoid 1274,GEOGRAPHY*TYPE*P,Beira Baixa (província),
272,BITAGAP geoid 1275,GEOGRAPHY*TYPE*T,Simancas,
273,BITAGAP geoid 1276,GEOGRAPHY*TYPE*T,Real de Manzanares,
274,BITAGAP geoid 1277,GEOGRAPHY*TYPE*T,Carrión de los Condes,
275,BITAGAP geoid 1278,GEOGRAPHY*TYPE*T,Medina del Campo,
277,BITAGAP geoid 1280,GEOGRAPHY*TYPE*T,Búbal,
278,BITAGAP geoid 1281,GEOGRAPHY*TYPE*T,Barcelona,
299,BITAGAP geoid 1302,GEOGRAPHY*TYPE*T,Pamplona,
302,BITAGAP geoid 1305,GEOGRAPHY*TYPE*T,Santander,
307,BITAGAP geoid 1311,GEOGRAPHY*TYPE*K,Portugal (reino),
310,BITAGAP geoid 1314,GEOGRAPHY*TYPE*C,Portugal (concelho - município),
312,BITAGAP geoid 1316,GEOGRAPHY*TYPE*T,Valência,
313,BITAGAP geoid 1317,GEOGRAPHY*TYPE*K,Valência (reino),
314,BITAGAP geoid 1319,GEOGRAPHY*TYPE*T,Pinheiro Grande,
315,BITAGAP geoid 1320,GEOGRAPHY*TYPE*T,Sogorbe,
316,BITAGAP geoid 1321,GEOGRAPHY*TYPE*T,Haro,
318,BITAGAP geoid 1323,GEOGRAPHY*TYPE*T,Campo de Alange,
322,BITAGAP geoid 1327,GEOGRAPHY*TYPE*T,Fontes,
323,BITAGAP geoid 1328,GEOGRAPHY*TYPE*T,Balcarres,
324,BITAGAP geoid 1329,GEOGRAPHY*TYPE*T,Cadaval,
327,BITAGAP geoid 1334,GEOGRAPHY*TYPE*T,Castelo Rodrigo,
328,BITAGAP geoid 1335,GEOGRAPHY*TYPE*T,Bouro,
329,BITAGAP geoid 1336,GEOGRAPHY*TYPE*T,Amares,
330,BITAGAP geoid 1337,GEOGRAPHY*TYPE*T,Seiça,
331,BITAGAP geoid 1338,GEOGRAPHY*TYPE*T,Lugar desconhecido,
332,BITAGAP geoid 1339,GEOGRAPHY*TYPE*T,Concha,
334,BITAGAP geoid 1341,GEOGRAPHY*TYPE*T,Cernache do Bonjardim,
335,BITAGAP geoid 1343,GEOGRAPHY*TYPE*T,Benfica,
336,BITAGAP geoid 1344,GEOGRAPHY*TYPE*T,Rio Meão,
340,BITAGAP geoid 1348,GEOGRAPHY*TYPE*T,Numão,
341,BITAGAP geoid 1349,GEOGRAPHY*TYPE*T,Évora Monte,
342,BITAGAP geoid 1350,GEOGRAPHY*TYPE*T,Córdova,
347,BITAGAP geoid 1355,GEOGRAPHY*TYPE*T,Espinheiro,
352,BITAGAP geoid 1361,GEOGRAPHY*TYPE*T,Atouguia,
354,BITAGAP geoid 1363,GEOGRAPHY*TYPE*T,Tagilde,
355,BITAGAP geoid 1364,GEOGRAPHY*TYPE*T,Sanlúcar de Barrameda,
356,BITAGAP geoid 1365,GEOGRAPHY*TYPE*T,Noia,
364,BITAGAP geoid 1373,GEOGRAPHY*TYPE*T,Aldeia Galega da Merceana,
365,BITAGAP geoid 1374,GEOGRAPHY*TYPE*T,Santo António,
366,BITAGAP geoid 1375,GEOGRAPHY*TYPE*T,São Martinho de Mouros,
367,BITAGAP geoid 1376,GEOGRAPHY*TYPE*T,Mós,https://www.cm-moncorvo.pt/pages/996?poi_id=276
368,BITAGAP geoid 1377,GEOGRAPHY*TYPE*T,Monforte de Rio Livre,https://www.wikidata.org/wiki/Q10331820
371,BITAGAP geoid 1380,GEOGRAPHY*TYPE*T,Ferreira de Aves,
372,BITAGAP geoid 1383,GEOGRAPHY*TYPE*T,Frielas,
