GEOID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,CLASS,TYPE,LATITUDE,LONGITUDE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_BIOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BETA geoid 1637,GEOGRAPHY*NAME_CLASS*U,Earl of Belcarres,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*C,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1638,,,,,,,,,,,,,,,,,,,,,,,,,,,1994-08-18,FAULHABER,2024-09-22,FAULHABER,,,,,Earl of Belcarres (condado)
BETA geoid 2920,GEOGRAPHY*NAME_CLASS*U,Villamayor de los Montes,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1013,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08,PEREA,,,UNIVERSAL*INTERNET_CLASS*URL,https://es.wikipedia.org/wiki/Villamayor_de_los_Montes,Wikipedia,2024-07-08,Villamayor de los Montes
BETA geoid 2921,GEOGRAPHY*NAME_CLASS*U,Amsterdam,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1820,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-16,FAULHABER,,,,,,,Amsterdam
BETA geoid 2922,GEOGRAPHY*NAME_CLASS*U,Ann Arbor,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 2540,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-16,FAULHABER,,,,,,,Ann Arbor
BETA geoid 2923,GEOGRAPHY*NAME_CLASS*U,Baltimore,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 2924,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-16,FAULHABER,2024-09-16,FAULHABER,,,,,Baltimore
BETA geoid 2924,GEOGRAPHY*NAME_CLASS*U,Maryland,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*S,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1837,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-16,FAULHABER,2024-09-16,FAULHABER,,,,,Maryland (estado)
BETA geoid 2925,GEOGRAPHY*NAME_CLASS*U,Indiana,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*S,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1837,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-16,FAULHABER,,,,,,,Indiana (estado)
BETA geoid 2926,GEOGRAPHY*NAME_CLASS*U,North Carolina,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*S,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1837,,,,,,,,BETA bibid 4572,,,Q1400,,,,,,,,,,,,,,,,2024-09-16,FAULHABER,,,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q1400,Wikidata,2024-02-16,North Carolina (estado)
BETA geoid 2927,GEOGRAPHY*NAME_CLASS*U,Minnesota,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*S,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1837,,,,,,,,BETA bibid 8603,,,Q1397,,,,,,,,,,,,,,,,2024-09-16,FAULHABER,,,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q1397,Wikidata,2024-05-29,Minnesota (estado)
BETA geoid 2928,GEOGRAPHY*NAME_CLASS*U,Louisiana,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*S,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1837,,,,,,,,BETA bibid 8603,,,Q1397,,,,,,,,,,,,,,,,2024-09-16,FAULHABER,,,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q1397,Wikidata,2024-05-29,Louisiana (estado)
