pbid,item,itemLabel
BETA geoid 1201,https://database.factgrid.de/entity/Q83756,Caravaca de la Cruz
BETA geoid 2453,https://database.factgrid.de/entity/Q92938,Villanueva de la Serena
BETA geoid 1501,https://database.factgrid.de/entity/Q183623,Canarias
BETA geoid 2348,https://database.factgrid.de/entity/Q343931,Arahal
BETA geoid 2385,https://database.factgrid.de/entity/Q343270,Alaejos
BETA geoid 2382,https://database.factgrid.de/entity/Q345181,Brozas
BETA geoid 2213,https://database.factgrid.de/entity/Q344355,Azután
BETA geoid 2241,https://database.factgrid.de/entity/Q343853,Andilla
BETA geoid 2230,https://database.factgrid.de/entity/Q344044,Arenys de Mar
BETA geoid 2245,https://database.factgrid.de/entity/Q343547,Aledo
BETA geoid 2592,https://database.factgrid.de/entity/Q345650,Cañamero
BETA geoid 2246,https://database.factgrid.de/entity/Q343415,Alcalá del Valle
BETA geoid 2244,https://database.factgrid.de/entity/Q344009,Arcos de la Llana
BETA geoid 2354,https://database.factgrid.de/entity/Q346492,Chiloeches
BETA geoid 2268,https://database.factgrid.de/entity/Q343443,Alcocer
BETA geoid 2394,https://database.factgrid.de/entity/Q343409,Alcalá de los Gazules
BETA geoid 2243,https://database.factgrid.de/entity/Q344787,Beniarjó
BETA geoid 2352,https://database.factgrid.de/entity/Q347699,Estadilla
BETA geoid 2285,https://database.factgrid.de/entity/Q344877,Bermeo
BETA geoid 2491,https://database.factgrid.de/entity/Q343487,Aldea de San Miguel
BETA geoid 2284,https://database.factgrid.de/entity/Q344134,Aroche
BETA geoid 2229,https://database.factgrid.de/entity/Q346437,Cetina
BETA geoid 2401,https://database.factgrid.de/entity/Q343285,Alange
BETA geoid 2532,https://database.factgrid.de/entity/Q343876,Anguiano
BETA geoid 2507,https://database.factgrid.de/entity/Q344657,Becilla de Valderaduey
BETA geoid 2573,https://database.factgrid.de/entity/Q343703,Almodóvar del Río
BETA geoid 2561,https://database.factgrid.de/entity/Q343914,Antillón
BETA geoid 2490,https://database.factgrid.de/entity/Q346222,Castromonte
BETA geoid 2235,https://database.factgrid.de/entity/Q348326,Gaucín
BETA geoid 2545,https://database.factgrid.de/entity/Q344684,Belalcázar
BETA geoid 2258,https://database.factgrid.de/entity/Q347870,Fitero
BETA geoid 2407,https://database.factgrid.de/entity/Q344363,Badalona
BETA geoid 2509,https://database.factgrid.de/entity/Q346490,Chillón
BETA geoid 2408,https://database.factgrid.de/entity/Q344462,Barajas
BETA geoid 2257,https://database.factgrid.de/entity/Q348947,Jaraíz de la Vera
BETA geoid 2524,https://database.factgrid.de/entity/Q348956,Jarque
BETA geoid 2522,https://database.factgrid.de/entity/Q347997,Fraga
BETA geoid 2588,https://database.factgrid.de/entity/Q346691,Comares
BETA geoid 2541,https://database.factgrid.de/entity/Q348163,Fuentes de Ebro
BETA geoid 2574,https://database.factgrid.de/entity/Q347303,El Carpio
BETA geoid 2478,https://database.factgrid.de/entity/Q347673,Espinosa de Cervera
BETA geoid 2336,https://database.factgrid.de/entity/Q350359,Martín Muñoz de las Posadas
BETA geoid 2356,https://database.factgrid.de/entity/Q349509,Láncara
BETA geoid 2347,https://database.factgrid.de/entity/Q350972,Morón de la Frontera
BETA geoid 2224,https://database.factgrid.de/entity/Q349680,Ledigos
BETA geoid 2214,https://database.factgrid.de/entity/Q350902,Mora
BETA geoid 2288,https://database.factgrid.de/entity/Q351403,Novés
BETA geoid 2379,https://database.factgrid.de/entity/Q351987,Pancorbo
BETA geoid 2286,https://database.factgrid.de/entity/Q352456,Pinos Puente
BETA geoid 2242,https://database.factgrid.de/entity/Q352227,Penàguila
BETA geoid 2262,https://database.factgrid.de/entity/Q351028,Mucientes
BETA geoid 2220,https://database.factgrid.de/entity/Q354449,Santa Gadea del Cid
BETA geoid 2234,https://database.factgrid.de/entity/Q354661,Santiponce
BETA geoid 2477,https://database.factgrid.de/entity/Q350443,Mazarambroz
BETA geoid 2405,https://database.factgrid.de/entity/Q350437,Mayalde
BETA geoid 2589,https://database.factgrid.de/entity/Q351414,Nules
BETA geoid 2502,https://database.factgrid.de/entity/Q353638,Salvaleón
BETA geoid 2536,https://database.factgrid.de/entity/Q352737,Priego de Córdoba
BETA geoid 2556,https://database.factgrid.de/entity/Q353367,Robledo de Chavela
BETA geoid 2418,https://database.factgrid.de/entity/Q352172,Pedrola
BETA geoid 2452,https://database.factgrid.de/entity/Q343659,Almagro
BETA geoid 1211,https://database.factgrid.de/entity/Q343385,Alburquerque
BETA geoid 2436,https://database.factgrid.de/entity/Q346746,Córcoles
BETA geoid 2470,https://database.factgrid.de/entity/Q346230,Castronuño
BETA geoid 2457,https://database.factgrid.de/entity/Q346574,Ciruelos
BETA geoid 2419,https://database.factgrid.de/entity/Q348033,Fréscano
BETA geoid 1431,https://database.factgrid.de/entity/Q345676,Candeleda
BETA geoid 1438,https://database.factgrid.de/entity/Q345440,Calatayud
BETA geoid 1429,https://database.factgrid.de/entity/Q345948,Casarrubios del Monte
BETA geoid 1578,https://database.factgrid.de/entity/Q346586,Ciudad Real
BETA geoid 2471,https://database.factgrid.de/entity/Q346956,Cubillas de Santa Marta
BETA geoid 2434,https://database.factgrid.de/entity/Q348774,Huelves
BETA geoid 2429,https://database.factgrid.de/entity/Q350869,Montilla
BETA geoid 2440,https://database.factgrid.de/entity/Q352241,Peñaranda de Bracamonte
BETA geoid 1250,https://database.factgrid.de/entity/Q351315,Niebla
BETA geoid 2435,https://database.factgrid.de/entity/Q353539,Sacedón
BETA geoid 1576,https://database.factgrid.de/entity/Q353526,Sabiote
BETA geoid 1195,https://database.factgrid.de/entity/Q353214,Ribadeo
BETA geoid 1439,https://database.factgrid.de/entity/Q353645,Salvatierra de Tormes
BETA geoid 1441,https://database.factgrid.de/entity/Q354448,Santa Fe
BETA geoid 2703,https://database.factgrid.de/entity/Q88220,Lorca
BETA geoid 2851,https://database.factgrid.de/entity/Q89858,Olivenza
BETA geoid 2809,https://database.factgrid.de/entity/Q92323,Tafalla
BETA geoid 2694,https://database.factgrid.de/entity/Q343437,Alcázar de San Juan
BETA geoid 2714,https://database.factgrid.de/entity/Q343432,Alcàsser
BETA geoid 2701,https://database.factgrid.de/entity/Q345858,Cariñena
BETA geoid 2674,https://database.factgrid.de/entity/Q346597,Clavijo
BETA geoid 2618,https://database.factgrid.de/entity/Q344123,Arnedillo
BETA geoid 2632,https://database.factgrid.de/entity/Q343685,Almenara de Adaja
BETA geoid 2719,https://database.factgrid.de/entity/Q345091,Borriol
BETA geoid 2631,https://database.factgrid.de/entity/Q344281,Ataquines
BETA geoid 2603,https://database.factgrid.de/entity/Q344929,Beteta
BETA geoid 2651,https://database.factgrid.de/entity/Q345533,Cambil
BETA geoid 2644,https://database.factgrid.de/entity/Q343191,Ágreda
BETA geoid 2630,https://database.factgrid.de/entity/Q345700,Cangas de Onís
BETA geoid 2704,https://database.factgrid.de/entity/Q346319,Cella
BETA geoid 2718,https://database.factgrid.de/entity/Q343314,Albalat dels Sorells
BETA geoid 2637,https://database.factgrid.de/entity/Q344279,Atanzón
BETA geoid 2648,https://database.factgrid.de/entity/Q343736,Álora
BETA geoid 2830,https://database.factgrid.de/entity/Q343163,Adamuz
