alias,item,itemLabel
BETA geoid 1687,https://database.factgrid.de/entity/Q82165,Almería
BETA geoid 1743,https://database.factgrid.de/entity/Q82336,Antequera
BETA geoid 1684,https://database.factgrid.de/entity/Q82103,Albacete
BETA geoid 1614,https://database.factgrid.de/entity/Q83725,Cádiz
BETA geoid 1661,https://database.factgrid.de/entity/Q82644,Badajoz
BETA geoid 1658,https://database.factgrid.de/entity/Q83762,Carmona
BETA geoid 1791,https://database.factgrid.de/entity/Q83774,Castro Urdiales
BETA geoid 1672,https://database.factgrid.de/entity/Q86628,Huelva
BETA geoid 1730,https://database.factgrid.de/entity/Q90036,Palma de Mallorca
BETA geoid 1726,https://database.factgrid.de/entity/Q90933,Ronda
BETA geoid 1689,https://database.factgrid.de/entity/Q91231,Santander
BETA geoid 1660,https://database.factgrid.de/entity/Q88299,Lugo
BETA geoid 1778,https://database.factgrid.de/entity/Q90331,Portugalete
BETA geoid 1606,https://database.factgrid.de/entity/Q92940,Villarrobledo
BETA geoid 2703,https://database.factgrid.de/entity/Q88220,Lorca
BETA geoid 1724,https://database.factgrid.de/entity/Q344392,Balaguer
BETA geoid 1719,https://database.factgrid.de/entity/Q345697,Cañete
BETA geoid 1627,https://database.factgrid.de/entity/Q343825,Ampudia
BETA geoid 1600,https://database.factgrid.de/entity/Q344370,Baena
BETA geoid 1713,https://database.factgrid.de/entity/Q347217,Dueñas
BETA geoid 1648,https://database.factgrid.de/entity/Q344099,Arjona
BETA geoid 1598,https://database.factgrid.de/entity/Q346006,Caspe
BETA geoid 1768,https://database.factgrid.de/entity/Q347390,El Pardo
BETA geoid 1592,https://database.factgrid.de/entity/Q346887,Covarrubias
BETA geoid 1737,https://database.factgrid.de/entity/Q348799,Huéscar
BETA geoid 1745,https://database.factgrid.de/entity/Q348842,Igualada
BETA geoid 1769,https://database.factgrid.de/entity/Q348500,Grimaldo
BETA geoid 1635,https://database.factgrid.de/entity/Q346438,Ceuta
BETA geoid 1792,https://database.factgrid.de/entity/Q344675,Beire
BETA geoid 2200,https://database.factgrid.de/entity/Q343713,Almonacid de la Sierra
BETA geoid 1794,https://database.factgrid.de/entity/Q345773,Caracena
BETA geoid 1818,https://database.factgrid.de/entity/Q345220,Buitrago del Lozoya
BETA geoid 1645,https://database.factgrid.de/entity/Q348447,Gotor
BETA geoid 1805,https://database.factgrid.de/entity/Q346533,Cigales
BETA geoid 1780,https://database.factgrid.de/entity/Q347509,Elorrio
BETA geoid 1577,https://database.factgrid.de/entity/Q345645,Canales
BETA geoid 2694,https://database.factgrid.de/entity/Q343437,Alcázar de San Juan
BETA geoid 2675,https://database.factgrid.de/entity/Q345978,Casasbuenas
BETA geoid 2714,https://database.factgrid.de/entity/Q343432,Alcàsser
BETA geoid 1790,https://database.factgrid.de/entity/Q348974,Jimena
BETA geoid 1807,https://database.factgrid.de/entity/Q348125,Fuentebureba
BETA geoid 2616,https://database.factgrid.de/entity/Q343757,Alquézar
BETA geoid 1816,https://database.factgrid.de/entity/Q348522,Guadalcanal
BETA geoid 2701,https://database.factgrid.de/entity/Q345858,Cariñena
