FactGrid Qid,Factgrid Len,Wikidata Qid
https://database.factgrid.de/entity/Q395744,10th arrondissement of Paris (since 1860),https://www.wikidata.org/wiki/Q163948
https://database.factgrid.de/entity/Q271190,11th arrondissement de Paris (1795-1860),https://www.wikidata.org/wiki/Q15149908
https://database.factgrid.de/entity/Q395745,11th arrondissement of Paris (since 1860),https://www.wikidata.org/wiki/Q169293
https://database.factgrid.de/entity/Q271191,12th arrondissement of Paris (1795-1860),https://www.wikidata.org/wiki/Q15149909
https://database.factgrid.de/entity/Q395746,12th arrondissement of Paris (since 1860),https://www.wikidata.org/wiki/Q171689
https://database.factgrid.de/entity/Q395747,13th arrondissement of Paris (since 1860),https://www.wikidata.org/wiki/Q175129
https://database.factgrid.de/entity/Q395748,14th arrondissement of Paris (since 1860),https://www.wikidata.org/wiki/Q187153
https://database.factgrid.de/entity/Q395749,15th arrondissement of Paris (since 1860),https://www.wikidata.org/wiki/Q191066
https://database.factgrid.de/entity/Q395750,16th arrondissement of Paris (since 1860),https://www.wikidata.org/wiki/Q194420
https://database.factgrid.de/entity/Q395751,17th arrondissement of Paris (since 1860),https://www.wikidata.org/wiki/Q197297
https://database.factgrid.de/entity/Q395752,18th arrondissement of Paris (since 1860),https://www.wikidata.org/wiki/Q200126
https://database.factgrid.de/entity/Q395753,19th arrondissement of Paris (since 1860),https://www.wikidata.org/wiki/Q204622
https://database.factgrid.de/entity/Q271179,1st arrondissement of Paris (1795-1860),https://www.wikidata.org/wiki/Q28457
https://database.factgrid.de/entity/Q395735,1st arrondissement of Paris (since 1860),https://www.wikidata.org/wiki/Q161741
https://database.factgrid.de/entity/Q395754,20th arrondissement of Paris (since 1860),https://www.wikidata.org/wiki/Q210720
https://database.factgrid.de/entity/Q271184,2nd arrondissement de Paris (1795-1860),https://www.wikidata.org/wiki/Q2845753
https://database.factgrid.de/entity/Q395736,2nd arrondissement of Paris (since 1860),https://www.wikidata.org/wiki/Q209549
https://database.factgrid.de/entity/Q271182,3rd arrondissement of Paris (1795-1860),https://www.wikidata.org/wiki/Q2845754
https://database.factgrid.de/entity/Q395737,3rd arrondissement of Paris (since 1860),https://www.wikidata.org/wiki/Q223140
https://database.factgrid.de/entity/Q271183,4th arrondissement of Paris (1795-1860),https://www.wikidata.org/wiki/Q2845755
https://database.factgrid.de/entity/Q395738,4th arrondissement of Paris (since 1860),https://www.wikidata.org/wiki/Q230127
https://database.factgrid.de/entity/Q271186,5th arrondissement of Paris (1795-1860),https://www.wikidata.org/wiki/Q2845756
https://database.factgrid.de/entity/Q395739,5th arrondissement of Paris (since 1860),https://www.wikidata.org/wiki/Q238723
https://database.factgrid.de/entity/Q271185,6th arrondissement of Paris (1795-1860),https://www.wikidata.org/wiki/Q2845758
https://database.factgrid.de/entity/Q395740,6th arrondissement of Paris (since 1860),https://www.wikidata.org/wiki/Q245546
https://database.factgrid.de/entity/Q271188,7th arrondissement of Paris (1795-1860),https://www.wikidata.org/wiki/Q2845760
https://database.factgrid.de/entity/Q395741,7th arrondissement of Paris (since 1860),https://www.wikidata.org/wiki/Q259463
https://database.factgrid.de/entity/Q271189,8th arrondissement of Paris (1795-1860),https://www.wikidata.org/wiki/Q2845761
