BIOID,NAME_CLASS,NAME_FIRST,NAME_LAST,NAME_NUMBER,NAME_HONORIFIC,NAME_EPITHET,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,TITLE,TITLE_NUMBER,TITLE_CONNECTOR,TITLE_GEOID,TITLE_Q,TITLE_BD,TITLE_BDQ,TITLE_ED,TITLE_EDQ,TITLE_BASIS,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_Q,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,AFFILIATION_CLASS,AFFILIATION_TYPE,AFFILIATION_Q,AFFILIATION_GEOID,AFFILIATION_GEOIDQ,AFFILIATION_BD,AFFILIATION_BDQ,AFFILIATION_ED,AFFILIATION_EDQ,AFFILIATION_BASIS,SEX,RELATED_BIOCLASS,RELATED_BIODETAIL,RELATED_BIOID,RELATED_BIOIDQ,RELATED_BIOBD,RELATED_BIOBDQ,RELATED_BIOED,RELATED_BIOEDQ,RELATED_BIOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BETA bioid 1001,BIOGRAPHY*NAME_CLASS*NATV,Juan de,Alarcón y Valverde,,BIOGRAPHY*NAME_HONORIFIC*FR,,,,,,,DB~e,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BETA geoid 1107,,1362,,1431-04-15,,DB~e,BIOGRAPHY*AFFILIATION_CLASS*ORD,BIOGRAPHY*AFFILIATION_CLASS!ORD*OSA,,,,1407,ca.,1449,,DB~e,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*SON,,BETA bioid 3183,,,,,,DB~e,BIOGRAPHY*RELATED_INSCLASS*FUN,(vicario general de los observantes),BETA insid 1157,,1431,,,,{I}DHEE{/I} 28,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 8603,I,75,Q5952971,,,,,,,,,,,,,,,,1987-12-27,FAULHABER,2023-10-19,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q5952971,Wikidata,2021-06-27,"Juan de Alarcón y Valverde (Fr.), OSA (1407 ca. - 1449)"
BETA bioid 1002,BIOGRAPHY*NAME_CLASS*NATV,Alfons,,BIOGRAPHY*NAME_NUMBER*V,,el Magnànim,,,,,,Dutton,BIOGRAPHY*TITLE*REI,,BIOGRAPHY*TITLE_CONNECTOR*D,BETA geoid 1017,?,1416-04-02,,1458-06-28,,Wikipedia,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BETA geoid 1067,,1396,,,,Wikipedia,,,,,,,,,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*SON,(teni/a como jurista),BETA bioid 1718,?,1439,?,1416-04-12,?,{I}Cronología{/I} n. 391,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 8603,I,89,Q47412,,,,,,,,,,,,,,,,1987-12-27,FAULHABER,2024-03-09,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q47412,Wikidata,2021-05-24,"Alfons V el Magnànim, rei d’Aragó [1416-04-02 - 1458-06-28]"
BETA bioid 1003,BIOGRAPHY*NAME_CLASS*NATV,,Desconocido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*SEX*M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nombre genérico generalmente utilizado sólo para indicar que no se conoce el nombre del autor o traductor de un texto determinado o para cualquier persona desconocida<br />,,1987-12-27,CARDENAS,2024-01-06,FAULHABER,,,,,Desconocido
BETA bioid 1004,BIOGRAPHY*NAME_CLASS*NATV,Jaume,,BIOGRAPHY*NAME_NUMBER*II,,el Just,,,,,,DB~e,BIOGRAPHY*TITLE*REI,,BIOGRAPHY*TITLE_CONNECTOR*D,BETA geoid 1017,,1291-09-06,,1327-11-05,,Cappelli,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BETA geoid 1098,,1267-04-10,,,,DB~e,,,,,,,,,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*SON,(terceras nupcias),BETA bioid 1727,,1315,,,,Cappelli,BIOGRAPHY*RELATED_INSCLASS*FUN,,BETA insid 5321,,1319-07-22,,,,Wikipedia,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 8603,I,"451, 548",Q312735,,,,,,,,,,,,,,,,1987-12-27,FAULHABER,2023-09-12,PEREA,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q312735,Wikidata,2021-06-16,"Jaume II el Just, rei d’Aragó [1291-09-06 - 1327-11-05]"
BETA bioid 1005,BIOGRAPHY*NAME_CLASS*NATV,Pere,,BIOGRAPHY*NAME_NUMBER*IV,,el Ceremoniós,,,,,,DB~e,BIOGRAPHY*TITLE*REI,,BIOGRAPHY*TITLE_CONNECTOR*D,BETA geoid 1017,,1336-01-07,,1387-01-05,,Cappelli,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BETA geoid 1724,,1219-09-05,,,,DB~e,,,,,,,,,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*SON,,BETA bioid 1868,,1350,,1336-01-07,ad quem,{I}Dictionary{/I},,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 8603,9,510-11,Q336823,,,,,,,,,,,,,,,,1987-12-27,FAULHABER,2024-06-20,PEREA,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q336823,Wikidata,2021-06-16,"Pere IV el Ceremoniós, rei d’Aragó [1336-01-07 - 1387-01-05]"
BETA bioid 1006,BIOGRAPHY*NAME_CLASS*NATV,Alfonso,,BIOGRAPHY*NAME_NUMBER*VIII,,el Noble,,,,,,DB~e,BIOGRAPHY*TITLE*REY,,BIOGRAPHY*TITLE_CONNECTOR*DE,BETA geoid 1162,,1158-08-31,,1214-08-05,,Cappelli,BIOGRAPHY*MILESTONE_CLASS*BOR,vencedor de la batalla de,,BETA geoid 1376,?,1155-11-11,,,,DB~e,,,,,,,,,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*FATHER,,BETA bioid 2963,,,,,,DB~e,BIOGRAPHY*RELATED_INSCLASS*FUN,,BETA insid 1254,,1187,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 8603,,550,Q295268,,,,,,,,,,,,,,,,1987-12-27,FAULHABER,2024-05-27,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q295268,Wikidata,2021-06-16,"Alfonso VIII el Noble, rey de Castilla [1158-08-31 - 1214-08-05]"
BETA bioid 1007,BIOGRAPHY*NAME_CLASS*NATV,Alfonso,,BIOGRAPHY*NAME_NUMBER*X,,el Sabio,,,,,,,BIOGRAPHY*TITLE*REY,,BIOGRAPHY*TITLE_CONNECTOR*DE,BETA geoid 1104,,1252-05-31,,1284-04-04,,Cappelli,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BETA geoid 1006,,1221-11-23,?,,,DB~e,,,,,,,,,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*SON,hijo natural,BETA bioid 1110,,1223,ad quem,1252-05-31,,Espasa,,Patrono del,BETA insid 1076,,1252,,1284,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 8965,I,113-25,Q47595,,,,,,,,,,,,,,,,1987-12-27,FAULHABER,2024-03-21,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q47595,Wikidata,2021-05-26,"Alfonso X el Sabio, rey de Castilla y León, Corona de [1252-05-31 - 1284-04-04]"
BETA bioid 1008,BIOGRAPHY*NAME_CLASS*NATV,Abu’l-Hasan ’Ali ibn,Abi’r-Riyal,,,,,,,,,Gil 1985:65,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,,,901,,1000,,Wikidata,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*ASTRONOMER,,,,,,1040,,Wikidata,BIOGRAPHY*SEX*M,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 8603,,65,Q2081331,,,,,,,,,,,,,,,,1987-12-27,FAULHABER,2024-01-25,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q2081331,Wikidata,2021-06-27,"Abu’l-Hasan ’Ali ibn Abi’r-Riyal, astrónomo (1040)"
BETA bioid 1009,BIOGRAPHY*NAME_CLASS*NATV,Judah ben Mose,ha-Kohen,,,el Menor,,,,,,Gil 1985:62,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BETA geoid 1006,?,1225,,1276,,DB~e,BIOGRAPHY*AFFILIATION_CLASS*REL,BIOGRAPHY*AFFILIATION_CLASS!REL*JEW,,,,,,,,Gil 1985:62,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*COLABDR,,BETA bioid 1007,,1243,,,,Gil 1985:62,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 8603,,123,Q526109,,,,,,,,,,,,,,,,1987-12-27,FAULHABER,2024-01-25,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q526109,Wikidata,2021-06-27,"Judah ben Mose ha-Kohen, judío"
BETA bioid 1010,BIOGRAPHY*NAME_CLASS*NATV,Manuel de,Godos,,,,,,,,,BNE MSS/1203,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*FLO,,,BETA geoid 1005,,1767,ad quem?,1797,,,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*BOOKDEALER,,BETA geoid 1005,,1776,,,,BNE MSS/1203,BIOGRAPHY*SEX*M,,,,,,,,,,BIOGRAPHY*RELATED_INSCLASS*FUN,,BETA insid 5266,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VIDOB,BETA bibid 1004,IV,85,1203,,,,,,,,,,,,,,,,1987-12-27,FAULHABER,2024-01-25,FAULHABER,UNIVERSAL*INTERNET_CLASS*VIAF,http://viaf.org/viaf/309572258,VIAF,2021-06-27,"Manuel de Godos, librero Madrid (1776)"
