GEOID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,CLASS,TYPE,LATITUDE,LONGITUDE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_BIOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BETA geoid 1001,GEOGRAPHY*NAME_CLASS*U,Paris,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,48.52N,2.20E,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1002,,,,,,,,BETA bibid 8603,,,Q90,,,,,,,,,,,,,,,,1989-12-01,FAULHABER,2024-05-21,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q90,Wikidata,2024-05-21,Paris
BETA geoid 1002,GEOGRAPHY*NAME_CLASS*U,France,,,,,,Faulhaber,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*N,,,,,,,,,,,,,BETA bibid 8605,,,Q77184,,,,,,,,,,,,,,,,1989-12-01,FAULHABER,2024-06-02,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://database.factgrid.de/wiki/Item:Q77184,FactGrid,2024-06-01,France (nación)
BETA geoid 1003,GEOGRAPHY*NAME_CLASS*U,Sevilla,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,37.24N,5.59W,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1541,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-12-01,FAULHABER,2024-04-10,FAULHABER,,,,,Sevilla
BETA geoid 1004,GEOGRAPHY*NAME_CLASS*U,España,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*K,,,,,,,,,,,,,BETA bibid 8603,,,Q29,,,,,,,,,,,,,,,,1989-12-01,FAULHABER,2024-05-29,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q29,Wikidata,2024-05-29,España (reino)
BETA geoid 1005,GEOGRAPHY*NAME_CLASS*U,Madrid,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,40.25N,3.43W,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1066,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-12-01,FAULHABER,2024-04-10,FAULHABER,,,,,Madrid
BETA geoid 1006,GEOGRAPHY*NAME_CLASS*U,Toledo,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,39.52N,4.02W,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1090,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-12-01,FAULHABER,2024-04-10,FAULHABER,,,,,Toledo
BETA geoid 1007,GEOGRAPHY*NAME_CLASS*U,Murcia,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,37.59N,1.08W,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1008,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-12-01,FAULHABER,2024-04-10,FAULHABER,,,,,Murcia
BETA geoid 1008,GEOGRAPHY*NAME_CLASS*U,Región de Murcia,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*CA,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1317,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-12-01,FAULHABER,2024-03-14,FAULHABER,,,,,Región de Murcia (comunidad autónoma)
BETA geoid 1010,GEOGRAPHY*NAME_CLASS*U,Granada,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,37.10N,3.35W,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1054,,,,,,,,BETA bibid 8603,,,,,,,,,,,,,,,,,,,1989-12-01,FAULHABER,2024-06-01,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://database.factgrid.de/wiki/Item:Q85552,Wikidata,2024-06-01,Granada
BETA geoid 1011,GEOGRAPHY*NAME_CLASS*U,Zaragoza,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1644,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-12-01,FAULHABER,2024-04-10,FAULHABER,,,,,Zaragoza
BETA geoid 1012,GEOGRAPHY*NAME_CLASS*U,Val de Santibáñez,,,,,,Wikidata,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1013,,,,,,,,BETA bibid 8603,,,,,,,,,,,,,,,,,,,1989-12-01,FAULHABER,2024-06-01,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q1607408,Wikidata,2024-06-01,Val de Santibáñez
BETA geoid 1013,GEOGRAPHY*NAME_CLASS*U,Burgos,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*P,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1004,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-12-01,FAULHABER,2023-10-16,FAULHABER,,,,,Burgos (provincia)
BETA geoid 1014,GEOGRAPHY*NAME_CLASS*U,Pedrosa de Río Úrbel,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1013,,,,,,,,BETA bibid 8603,,,Q1751251,,,,,,,,,,,,,,,,1989-12-01,FAULHABER,2024-06-02,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://database.factgrid.de/wiki/Item:Q352175,FactGrid,2024-06-02,Pedrosa de Río Úrbel
BETA geoid 1015,GEOGRAPHY*NAME_CLASS*U,Cartagena,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1008,,,,,,,,BETA bibid 8605,,,Q83765,,,,,,,,,,,,,,,,1989-12-01,FAULHABER,2024-04-10,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://database.factgrid.de/wiki/Item:Q83765,FactGrid,2021-07-08,Cartagena
BETA geoid 1016,GEOGRAPHY*NAME_CLASS*U,Salamanca,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1271,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-12-02,FAULHABER,2024-04-10,FAULHABER,,,,,Salamanca
BETA geoid 1017,GEOGRAPHY*NAME_CLASS*U,Aragó,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*K,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1105,,,,,,,,BETA bibid 8603,,,Q199442,,,,,,,,,,,,,,,,1989-12-02,FAULHABER,2024-06-01,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q199442,Wikidata,2024-05-29,Aragó (reino)
BETA geoid 1018,GEOGRAPHY*NAME_CLASS*U,Olivares,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1541,,,,,,,GEOGRAPHY*RELATED_BIBCLASS*TRA,BETA bibid 8603,,,Q1628400,,,,,,,,,,,,,,,,1989-12-02,FAULHABER,2024-04-10,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q1628400,Wikidata,2024-02-04,Olivares
BETA geoid 1019,GEOGRAPHY*NAME_CLASS*U,México,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1020,,,,,,,,BETA bibid 8603,,,Q1489,,,,,,,,,,,,,,,,1989-12-03,FAULHABER,2024-06-01,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q1489,Wikidata,2024-05-29,México
BETA geoid 1020,GEOGRAPHY*NAME_CLASS*U,México,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*N,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1608,,,,,,,,BETA bibid 8603,,,Q96,,,,,,,,,,,,,,,,1989-12-03,FAULHABER,2024-06-01,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q96,Wikidata,2024-06-01,México (nación)
BETA geoid 1021,GEOGRAPHY*NAME_CLASS*U,Talavera de la Reina,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1090,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-12-03,FAULHABER,2024-06-01,FAULHABER,,,,,Talavera de la Reina
BETA geoid 1022,GEOGRAPHY*NAME_CLASS*U,Toulouse,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1002,,,,,,,,BETA bibid 6035,,,Q7880,,,,,,,,,,,,,,,,1989-12-03,FAULHABER,2024-06-27,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q7880,Wikidata,2024-06-01,Toulouse
BETA geoid 1023,GEOGRAPHY*NAME_CLASS*U,Wien,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1024,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-12-03,FAULHABER,2024-06-01,FAULHABER,,,,,Wien
BETA geoid 1024,GEOGRAPHY*NAME_CLASS*U,Austria,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-12-03,FAULHABER,1989-12-09,FAULHABER,,,,,Austria (nación)
BETA geoid 1025,GEOGRAPHY*NAME_CLASS*U,Córdoba,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1688,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-12-03,FAULHABER,2024-04-10,FAULHABER,,,,,Córdoba
BETA geoid 1026,GEOGRAPHY*NAME_CLASS*U,San Juan de la Peña,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*MN,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1563,,,,,,,,BETA bibid 8603,,,Q1389060,,,,,,,,,,,,,,,,1989-12-03,FAULHABER,2024-04-10,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q1389060,Wikidata,2024-04-10,San Juan de la Peña (monasterio / convento)
BETA geoid 1027,GEOGRAPHY*NAME_CLASS*U,San Millán de la Cogolla,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BETA geoid 1552,,,,,,,,BETA bibid 8605,,,Q353977,,,,,,,,,,,,,,,,1989-12-03,FAULHABER,2024-04-10,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://database.factgrid.de/wiki/Item:Q353977,FactGrid,2023-05-13,San Millán de la Cogolla
