INSID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_Q,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,CLASS,TYPE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BETA insid 1001,INSTITUTIONS*NAME_CLASS*U,Universidad,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*UNIVERSITY,INSTITUTIONS*TYPE*PUBL,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-04-11,FAULHABER,2023-04-06,FAULHABER,,,,,Salamanca: Universidad
BETA insid 1002,INSTITUTIONS*NAME_CLASS*U,San Francisco de México,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*MONASTERY,INSTITUTIONS*TYPE*OFM,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1019,,,,,,,,,,,,,,,,,BETA bibid 1081,X,50,,,,,,,,,,,,,,,,,1989-05-04,FAULHABER,2022-09-12,FAULHABER,,,,,San Francisco de México
BETA insid 1003,INSTITUTIONS*NAME_CLASS*U,Monasterio de Santa Catalina de Talavera de la Reina,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*MONASTERY,INSTITUTIONS*TYPE*OSH,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-05-13,FAULHABER,2022-09-13,FAULHABER,,,,,Monasterio de Santa Catalina de Talavera de la Reina
BETA insid 1004,INSTITUTIONS*NAME_CLASS*U,Université de Toulouse,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*UNIVERSITY,INSTITUTIONS*TYPE*PUBL,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-05-13,FAULHABER,2024-06-01,FAULHABER,,,,,Université de Toulouse
BETA insid 1005,INSTITUTIONS*NAME_CLASS*U,Colegio de San Bartolomé,,,,,,Wikipedia,,,,,,,,,,,INSTITUTIONS*CLASS*COLLEGE,,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1016,,1401,,1798,,Wikipedia,,,,,,,,,,,BETA bibid 4572,,,,,,,,,,,,,,,,,,,1989-05-13,FAULHABER,2022-09-09,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,http://es.wikipedia.org/wiki/Colegio_Mayor_de_San_Bartolom%C3%A9,Wikipedia,2014-07-22,Salamanca: Colegio de San Bartolomé
BETA insid 1006,INSTITUTIONS*NAME_CLASS*U,Universität Wien,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*UNIVERSITY,INSTITUTIONS*TYPE*PUBL,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-05-13,FAULHABER,2022-02-20,FAULHABER,,,,,Universität Wien
BETA insid 1007,INSTITUTIONS*NAME_CLASS*U,Omnium Sanctorum,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*CHURCH,,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-05-13,FAULHABER,1992-11-29,FAULHABER,,,,,Sevilla: Omnium Sanctorum
BETA insid 1008,INSTITUTIONS*NAME_CLASS*U,San Francisco de Sevilla,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*MONASTERY,INSTITUTIONS*TYPE*OFM,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-05-13,FAULHABER,2022-09-12,FAULHABER,,,,,San Francisco de Sevilla
BETA insid 1009,INSTITUTIONS*NAME_CLASS*U,San Millán de la Cogolla,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,en la desamortización de Mendizábal en,,,,574,a quo,,,Wikipedia,INSTITUTIONS*CLASS*MONASTERY,INSTITUTIONS*TYPE*OSB,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1027,,,,,,,,,,,,,,,,,BETA bibid 1936,III,1653-54,,,,,,,,,,,,,,,,,1989-05-15,FAULHABER,2020-05-15,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://es.wikipedia.org/wiki/Monasterio_de_San_Mill%C3%A1n_de_la_Cogolla,Wikipedia,2015-06-16,San Millán de la Cogolla
BETA insid 1010,INSTITUTIONS*NAME_CLASS*U,Catedral de Córdoba,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*CATHEDRAL,,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-06-16,FAULHABER,2022-09-12,FAULHABER,,,,,Catedral de Córdoba
