LIBID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,ADDRESS,CITY,STATE,COUNTRY,PCODE,PHONE,PHONE_LOC,TELEX,CONTACT_FNAME,CONTACT_LNAME,CONTACT_TITLE,CONTACT_SALUTATION,CONTACT_POSITION,CONTACT_PHONE,CONTACT_EMAIL,CONTACT_TYPE,LIBRARY_HOURS,LIBRARY_CLOSED,LIBRARY_DOCUMENTS,LIBRARY_FACILITIES,CALL_TYPE,CALL_DATE,CALL_PERSON,CALL_NOTE,LIBCODE_CLASS,LIBCODE,CLASS,TYPE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BETA libid 1000,LIBRARY*NAME_CLASS*SHORT,Universitaria,,,,,,,"Via Aurelio Saffi, 2",Urbino,,Italia,61029,0722/305207,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-15,FAULHABER,2018-02-15,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,bibhum@bib.uniurb.it,U. Urbino,2018-02-15,Urbino: Universitaria
BETA libid 1001,LIBRARY*NAME_CLASS*SHORT,Sormani,,,,,,,Corso di Porta Vittoria 6,Milano,,Italia,",20122",800880066,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,l-s 0900-1930,domingo,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-15,FAULHABER,,,UNIVERSAL*INTERNET_CLASS*URL,https://biblioteche.comune.milano.it/library/Sormani/,Sistema Bibliotecario di Milano,2018-02-15,Milano: Sormani
BETA libid 1002,LIBRARY*NAME_CLASS*SHORT,Public,,,,,,,Deanery Road,Bristol,,UK,BS1 5TL,0117 9037250,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-17,FAULHABER,,,UNIVERSAL*INTERNET_CLASS*EMA,bristol.library.service@bristol.gov.uk,Bristol,2018-02-17,Bristol: Public
BETA libid 1003,LIBRARY*NAME_CLASS*SHORT,Mediathèque,,,,,,,30 Avenue Général de Gaulle,Albi,,France,81000,05 63 76 06 10,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-17,FAULHABER,,,UNIVERSAL*INTERNET_CLASS*URL,http://mediatheques.grand-albigeois.fr/,Communauté d’Agglomeration de l’Albigeois,2018-02-17,Albi: Mediathèque
BETA libid 1004,LIBRARY*NAME_CLASS*SHORT,Municipale,,,,,,,11 place Marey,Beaune,,France,21200,03.80.24.55.71,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-17,FAULHABER,2018-02-17,FAULHABER,UNIVERSAL*INTERNET_CLASS*EMA,bibliotheque-gaspardmonge@mairie-beaune.fr,Beaune Bibl. Municipale,2018-02-17,Beaune: Municipale
BETA libid 1005,LIBRARY*NAME_CLASS*SHORT,Médiathèque,,,,,,,Centre administratif et culturel des Unelles,Coutances,,France,50205,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-17,FAULHABER,2024-01-31,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://8622794940980364568.e-sezhame.fr/index,Coutances Mairie,2024-01-31,Coutances: Médiathèque
BETA libid 1006,LIBRARY*NAME_CLASS*SHORT,Médiathèque Verlaine,,,,,,,Place de la Bibliothèque,Metz,,France,5700,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-17,FAULHABER,2022-02-20,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,http://bm.metz.fr/iguana/www.main.cls?SUrl=accueil,Metz,,Metz: Médiathèque Verlaine
BETA libid 1007,LIBRARY*NAME_CLASS*SHORT,Médiathèque,,,,,,,4 rue de l’Université,Poitiers,,France,86000,05.49.52.31.51,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,,,,,,BETA geoid 1002,,BETA subid 1289,,,,,,,,2018-02-17,FAULHABER,2018-02-17,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,http://www.bm-poitiers.fr/EXPLOITATION/Default/form.aspx?SC=CATALOGUE,Poitiers Bibl. Municipale,2018-02-17,Poitiers: Médiathèque
BETA libid 1008,LIBRARY*NAME_CLASS*SHORT,Biblioteca Civica Bertoliana,,,,,,,,Vicenza,,,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*ECCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-17,FAULHABER,,,UNIVERSAL*INTERNET_CLASS*URL,http://www.bibliotecabertoliana.it/en,Vicenza Bibl. Civica Bertoliana,2018-02-17,Vicenza: Biblioteca Civica Bertoliana
BETA libid 1009,LIBRARY*NAME_CLASS*SHORT,Biblioteca Comunale,,,,,,,Piazza Garibaldi 23,Colorno,,Italia,43052,+39 0521313477*,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-19,FAULHABER,,,UNIVERSAL*INTERNET_CLASS*URL,http://anagrafe.iccu.sbn.it/,,2018-02-19,Colorno: Biblioteca Comunale
