SUBID,HEADING_MAIN,HM_CLASS,HM_TYPE,HM_FIELD,HM_BASIS,HEADING_VARIANT,HV_CLASS,HV_TYPE,HV_FIELD,HV_BASIS,HB_SUBID,HB_BASIS,HR_SUBID,HR_BASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BETA subid 1001,Literatura española hasta 1500,SUBJECT*HM_CLASS*GENRE,,,,Literatura espanyola cap a 1500,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1250,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-04,FAULHABER,,,,,Literatura española hasta 1500
BETA subid 1002,Alegoría,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Al·legoria,SUBJECT*HV_CLASS*CAT,,,,,,,,,BETA bibid 2749,,12.0,,,,,,,Faulhaber: Used to include allegory as a literary form as well as collections of allegories,,2008-04-29,FAULHABER,2015-08-23,FAULHABER,,,,,Alegoría
BETA subid 1003,Apologética,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Apologètica,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,BETA bibid 2749,,12.0,,,,,,,LC: ‘Here are entered works explaining Christianity and defending it against criticism‘’,,2008-04-29,FAULHABER,2015-08-23,FAULHABER,,,,,Apologética
BETA subid 1004,Autobiografía,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Autobiografia,SUBJECT*HV_CLASS*CAT,,,,,,,,,BETA bibid 2749,,12.0,,,,,,,,,2008-04-29,FAULHABER,2024-04-15,FAULHABER,,,,,Autobiografía
BETA subid 1005,Debates,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Debats,SUBJECT*HV_CLASS*CAT,,,,,,,,,BETA bibid 2749,,12.0,,,,,,,,,2008-04-29,FAULHABER,2015-08-23,FAULHABER,,,,,Debates
BETA subid 1006,Diálogo,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Diàleg,SUBJECT*HV_CLASS*CAT,,,,,,,,,BETA bibid 2749,,12.0,,,,,,,,,2008-04-30,FAULHABER,2015-08-23,FAULHABER,,,,,Diálogo
BETA subid 1007,Literatura didáctica,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Didàctic,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1250,,,,,BETA bibid 2749,,12.0,,,,,,,,,2008-04-29,FAULHABER,2024-04-15,FAULHABER,,,,,Literatura didáctica
BETA subid 1008,Doctrinal,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Doctrinal,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1058,,,,,BETA bibid 2749,,12.0,,,,,,,,,2008-04-29,FAULHABER,2015-08-23,FAULHABER,,,,,Doctrinal
BETA subid 1009,Elegía,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Elegia,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1250,,BETA subid 1120,Faulhaber,,BETA bibid 2749,,12.0,,,,,,,,,2008-04-29,FAULHABER,2015-08-23,FAULHABER,,,,,Elegía
BETA subid 1010,Épica,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Èpica,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,BETA bibid 2749,,12.0,,,,,,,,,2008-04-29,FAULHABER,2015-08-23,FAULHABER,,,,,Épica
