GEOID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,CLASS,TYPE,LATITUDE,LONGITUDE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_BIOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITAGAP geoid 1001,GEOGRAPHY*NAME_CLASS*U,Lisboa,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,38.716667,-9.133333,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 1041,,,,,,,GEOGRAPHY*RELATED_BIBCLASS*TRA,BITAGAP bibid 21595,,55-60,Q597,,,,,,,,BITAGAP subid 1420,,,,,,,,1989-12-13,ASKINS,2024-01-12,ASKINS,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q597,,2021-07-16,Lisboa
BITAGAP geoid 1002,GEOGRAPHY*NAME_CLASS*U,Porto,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 1042,,,,,,,,BITAGAP bibid 21595,,23-26,,,,,,,,,BITAGAP subid 1390,,,,,,,,1989-12-13,ASKINS,2024-01-28,ASKINS,,,,,Porto
BITAGAP geoid 1003,GEOGRAPHY*NAME_CLASS*U,Alcácer do Sal,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,BITAGAP bibid 7842,,,,,,,,,,,BITAGAP subid 1230,,,,,,,,1989-12-13,ASKINS,2018-01-01,ASKINS,,,,,Alcácer do Sal
BITAGAP geoid 1004,GEOGRAPHY*NAME_CLASS*U,Alcobaça,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 1041,,,,,,,,,,,,,,,,,,,BITAGAP subid 1229,,,,,,,,1989-12-13,ASKINS,2024-01-28,ASKINS,,,,,Alcobaça
BITAGAP geoid 1005,GEOGRAPHY*NAME_CLASS*U,Braga,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 3313,,,,,,,GEOGRAPHY*RELATED_BIBCLASS*TRA,BITAGAP bibid 21595,,11-12,,,,,,,,,,,,,,,,,1989-12-13,ASKINS,2024-07-06,SCHAFFER,,,,,Braga
BITAGAP geoid 1006,GEOGRAPHY*NAME_CLASS*U,Chaves,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 3258,,,,,,,,BITAGAP bibid 21595,,29-30,,,,,,,,,,,,,,,,,1989-12-13,ASKINS,2024-07-06,SCHAFFER,,,,,Chaves
BITAGAP geoid 1007,GEOGRAPHY*NAME_CLASS*U,Coimbra,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,42.24,-8.45,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 1044,,,,,,,,,,,,,,,,,,,BITAGAP subid 1390,,,,,,,,1989-12-13,ASKINS,2024-01-28,ASKINS,,,,,Coimbra
BITAGAP geoid 1008,GEOGRAPHY*NAME_CLASS*U,Évora,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,38.570833,-7.909444,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 1045,,,,,,,GEOGRAPHY*RELATED_BIBCLASS*TRA,BITAGAP bibid 19208,,119-30,,,,,,,,,BITAGAP subid 1230,,,,,,,,1989-12-13,ASKINS,2024-01-28,ASKINS,,,,,Évora
BITAGAP geoid 1009,GEOGRAPHY*NAME_CLASS*U,Guarda,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 1043,,,,,,,,BITAGAP bibid 3700,,33-36,,,,,,,,,BITAGAP subid 1224,,,,,,,,1989-12-13,ASKINS,2024-07-07,SCHAFFER,,,,,Guarda
BITAGAP geoid 1010,GEOGRAPHY*NAME_CLASS*U,Guimarães,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 3317,,,,,,,,BITAGAP bibid 21595,,13-18,,,,,,,,,BITAGAP subid 1230,,,,,,,,1989-12-13,ASKINS,2024-03-08,ASKINS,,,,,Guimarães
