INSID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_Q,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,CLASS,TYPE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITAGAP insid 1005,INSTITUTIONS*NAME_CLASS*U,Harvard College,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*EDUCACIONAL,INSTITUTIONS*TYPE*10,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1015,,,,,,,,,,,,,,,,,BITAGAP bibid 22953,,,Q49123,,,,,,,,BITAGAP subid 1420,,,,,,,,1989-12-13,ASKINS,2021-11-28,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q49123,,2021-11-28,"Cambridge, MA: Harvard College"
BITAGAP insid 1006,INSTITUTIONS*NAME_CLASS*U,Mosteiro de Santa Cruz (CRSA),,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1131-06-28,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1007,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5225,,,,,,,,BITAGAP bibid 18977,9,passim,IPA.00004234,,,,,,BITAGAP bioid 6455,,BITAGAP subid 1324,,,,,,,,1989-12-13,ASKINS,2024-06-26,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q2499524,,2021-07-16,Coimbra: Mosteiro de Santa Cruz (CRSA)
BITAGAP insid 1008,INSTITUTIONS*NAME_CLASS*U,Convento de Santo António (OFM),,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,mandado edificar,,,,1463,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1079,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5226,,,,,,,,BITAGAP bibid 10560,,315,Q94852334,,,,,,,,BITAGAP subid 1483,,,,,,,,1989-12-14,ASKINS,2024-06-26,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q94852334,,2021-11-28,Serpa: Convento de Santo António (OFM)
BITAGAP insid 1009,INSTITUTIONS*NAME_CLASS*U,Casa de Santo António,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*15,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1014,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5226,?,1402,ca.,,,,,BITAGAP bibid 22953,,,Q6681450,,,,,,,,BITAGAP subid 1483,,,,,,,,1989-12-14,ASKINS,2021-12-15,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q66814508,,2021-11-29,Vila Franca de Xira: Casa de Santo António
BITAGAP insid 1010,INSTITUTIONS*NAME_CLASS*U,Convento de Nossa Senhora de Jesus,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1583,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1001,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5226,,,,,,,,BITAGAP bibid 2247,2,1463,Q61929567,,,,,,,,BITAGAP subid 1483,,,,,,,,1989-12-14,ASKINS,2024-06-19,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q61929567,,2021-11-30,Lisboa: Convento de Nossa Senhora de Jesus
BITAGAP insid 1011,INSTITUTIONS*NAME_CLASS*U,Mosteiro de São Vicente de Fora (CRSA),,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1147-12-21,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1001,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5225,,,,,,,,BITAGAP bibid 17773,2,1463-64,Q1776168,,,,,,BITAGAP bioid 1145,,BITAGAP subid 1483,,,,,,,,1989-12-14,ASKINS,2024-06-26,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,http://digitarq.arquivos.pt/details?id=1461704,história,2021-11-30,Lisboa: Mosteiro de São Vicente de Fora (CRSA)
BITAGAP insid 1012,INSTITUTIONS*NAME_CLASS*U,Convento da Nossa Senhora da Graça (OESA),,,,1305,,DigitArq,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1271,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1001,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5241,,,,,,,,BITAGAP bibid 10185,2,1465,Q17117463,INSTITUTIONS*RELATED_MANCLASS*DD,BITAGAP manid 5366,,,,,,BITAGAP subid 1483,,,,,,,,1989-12-14,ASKINS,2024-06-30,SCHAFFER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q17117463,história,2021-11-30,Lisboa: Convento da Nossa Senhora da Graça (OESA)
BITAGAP insid 1013,INSTITUTIONS*NAME_CLASS*U,Colégio da Companhia de Jesus,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*EDUCACIONAL,INSTITUTIONS*TYPE*8,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-12-14,ASKINS,2019-04-09,ASKINS,,,,,Porto: Colégio da Companhia de Jesus
BITAGAP insid 1014,INSTITUTIONS*NAME_CLASS*U,Colégio da Companhia de Jesus,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*EDUCACIONAL,INSTITUTIONS*TYPE*8,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-12-14,ASKINS,2019-04-09,ASKINS,,,,,Santarém: Colégio da Companhia de Jesus
BITAGAP insid 1015,INSTITUTIONS*NAME_CLASS*U,Cartuxa de Scala Coeli,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1587,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1008,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 6265,,,,,,,,BITAGAP bibid 11762,,203r-v,Q17117440,,,,,,,,BITAGAP subid 1483,,,,,,,,1989-12-14,ASKINS,2024-06-26,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q17117440,,2021-11-30,Évora: Cartuxa de Scala Coeli
