SUBID,HEADING_MAIN,HM_CLASS,HM_TYPE,HM_FIELD,HM_BASIS,HEADING_VARIANT,HV_CLASS,HV_TYPE,HV_FIELD,HV_BASIS,HB_SUBID,HB_BASIS,HR_SUBID,HR_BASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITAGAP subid 1001,Bibliografia - Bibliografias,,,,,Bibliografía,SUBJECT*VARIANT_CLASS*GALICIAN,,,,,,,,,,,,,,,,,,,,1993-03-15,ASKINS,2017-04-16,SCHAFFER,,,,,Bibliografia - Bibliografias
BITAGAP subid 1002,Paleografia - Escrita,,,,,Paleografía - Escrita,SUBJECT*VARIANT_CLASS*GALICIAN,,,,BITAGAP subid 1270,,BITAGAP subid 1240,,,,,,,,,,,,,,1993-05-04,ASKINS,2014-09-27,ASKINS,,,,,Paleografia - Escrita
BITAGAP subid 1003,Viagens - Roteiros,,,,,Viaxes - Roteiros,SUBJECT*VARIANT_CLASS*GALICIAN,,,,,,BITAGAP subid 1244,,,BITAGAP bibid 3868,,594-95,,,,,,,,,1993-05-12,ASKINS,2017-04-16,SCHAFFER,,,,,Viagens - Roteiros
BITAGAP subid 1004,Medicina - Saúde,,,,,Medicine - Health,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,BITAGAP subid 1235,,,,,,,,,,,,,,1993-05-12,ASKINS,2020-08-06,SHARRER,,,,,Medicina - Saúde
BITAGAP subid 1005,"Bibliotecas, Arquivos - Cartórios até 1601 ([nventários - Notícias Avulsas - Catálogos - Índices - Sumários - Listagens]",,,,,Libraries - Archives to 1601 [Inventories - Incidental Holdings - Catalogues - Indexes - Summaries - Listings],SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-06-30,ASKINS,2021-02-04,SHARRER,,,,,"Bibliotecas, Arquivos - Cartórios até 1601 ([nventários - Notícias Avulsas - Catálogos - Índices - Sumários - Listagens]"
BITAGAP subid 1007,Bibliotecas - Arquivos - Pós-1600 - Inventários - Notícias Avulsas - Catálogos - Índices - Sumários - Listagens,,,,,Libraries - Archives - Post 1600 - Inventories - Catalogues - Indexes - Summaries - Lists,SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1457,,BITAGAP subid 1237,,,,,,,,,,,,,,1993-06-30,ASKINS,2019-07-19,SHARRER,,,,,Bibliotecas - Arquivos - Pós-1600 - Inventários - Notícias Avulsas - Catálogos - Índices - Sumários - Listagens
BITAGAP subid 1008,Bibliotecas - Arquivos - Pós-1600 [Exposições - Tesouros],,,,,Libraries - Archives - Post 1600 [Exhibitions - Rarities],SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1457,,,,,,,,,,,,,,,,1993-06-30,ASKINS,2020-08-07,SHARRER,,,,,Bibliotecas - Arquivos - Pós-1600 [Exposições - Tesouros]
BITAGAP subid 1009,Bibliotecas - Arquivos - Pós-1600 [Leilões - Vendas e Compras - Catálogos],,,,,Bibliotecas - Arquivos - Após 1600 [Poxas - Vendas e Compras - Catálogos],SUBJECT*VARIANT_CLASS*GALICIAN,,,,BITAGAP subid 1457,,,,,,,,,,,,,,,,1993-06-30,ASKINS,2020-08-07,SHARRER,,,,,Bibliotecas - Arquivos - Pós-1600 [Leilões - Vendas e Compras - Catálogos]
BITAGAP subid 1010,Cortes - Capítulos Gerais,,,,,Parliaments - Determinations - General,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-07-23,ASKINS,2014-09-24,ASKINS,,,,,Cortes - Capítulos Gerais
BITAGAP subid 1011,Cortes - Juramentos - Menagens,,,,,Parliaments - Oaths - Pledges,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-07-23,ASKINS,2017-03-21,ASKINS,,,,,Cortes - Juramentos - Menagens
BITAGAP subid 1012,Cortes - Leis,,,,,Parliaments - Laws,SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1246,,BITAGAP subid 1306,,,,,,,,,,,,,,1993-07-23,ASKINS,2017-04-16,SCHAFFER,,,,,Cortes - Leis
BITAGAP subid 1013,Cortes - Capítulos Especiais,,,,,Cortes - Capítulos Especiais,SUBJECT*VARIANT_CLASS*GALICIAN,,,,BITAGAP subid 1246,,,,,,,,,,,,,,,,1993-07-23,ASKINS,2020-08-07,SHARRER,,,,,Cortes - Capítulos Especiais
BITAGAP subid 1123,Cortes - Capítulos Especiais - Universidade,,,,,,,,,,,,,,,,,,,,,,,,,,1993-07-23,ASKINS,1996-03-28,ASKINS,,,,,Cortes - Capítulos Especiais - Universidade
BITAGAP subid 1124,Cortes - Capítulos - Nobreza,,,,,Parliaments - Determinations - Nobles,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-07-23,ASKINS,2017-04-16,SCHAFFER,,,,,Cortes - Capítulos - Nobreza
BITAGAP subid 1125,Cortes - Capítulos - Clero,,,,,Parliaments - Determinations - Clergy,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-07-23,ASKINS,2017-04-16,SCHAFFER,,,,,Cortes - Capítulos - Clero
BITAGAP subid 1218,Cortes - Proposições - Acordos,,,,,Parliaments - Proposals - Agreements,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-07-23,ASKINS,2014-09-24,ASKINS,,,,,Cortes - Proposições - Acordos
BITAGAP subid 1223,Poesia - Até 1351 - Épica,,,,,Poesía - Até 1351 - Épica,SUBJECT*VARIANT_CLASS*GALICIAN,,,,,,BITAGAP subid 1231,,,BITAGAP bibid 3868,,237-38,,,,,,,,,1993-08-11,ASKINS,2017-04-16,SCHAFFER,,,,,Poesia - Até 1351 - Épica
BITAGAP subid 1224,Poesia - Até 1351 - Lírica,,,,,Poetry - To 1351 - Lyric,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,BITAGAP subid 1225,,,BITAGAP bibid 3918,,19-21,,,,,,,,,1993-08-11,ASKINS,2017-04-16,SCHAFFER,,,,,Poesia - Até 1351 - Lírica
