BIBID,TITLE,VOLUMES,CREATOR_ROLE,CREATOR_FNAME,CREATOR_LNAME,CREATOR_CNAME,SOURCE,SIGLUM,ADJUNCT_ROLE,ADJUNCT_FNAME,ADJUNCT_LNAME,ADJUNCT_CNAME,SERIES,PUBLISHER,PUBLISHER_LOC,PUBLISHED_BD,PUBLISHED_ED,PUBLISHED_NOTE,VOLUME,ISSUE_EDITION,LOCATION_CLASS,LOCATION,REPRINT,ID_CLASS,ID_NUMBER,CLASS,FORM,TYPE,MEDIUM,FORMAT,RELATED_LIBID,RELATED_LIBIDQ,RELATED_LIBCOLLECTION,RELATED_LIBCALLNO,RELATED_LIBBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,STATUS,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITECA bibid 1001,"Repertori de l’antiga literatura catalana, I. La Poesia",,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Jaume,Massó Torrents,,,,,,,,,Alpha,Barcelona,1932,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,xi + 619,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,A-849.9-1Mas/NP,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2011-03-30,ROVIRA,,,,,"Massó Torrents (1932), Repertori de l’antiga literatura catalana, I. La Poesia"
BITECA bibid 1002,"Catálogo de los manuscritos catalanes, gallegos y portugueses de la Biblioteca de El Escorial",,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Julián,Zarco Cuevas,,,,,,,,,Tip. de Archivos,Madrid,1932,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,164,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1214,,,VB,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2011-04-11,ROVIRA,,,,,"Zarco Cuevas (1932), Catálogo de los manuscritos catalanes, gallegos y portugueses de la Biblioteca de El Escorial"
BITECA bibid 1003,"Cresques Abrahám, judío de Mallorca, maestro de mapamundis y de brújulas",,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Jaume,Riera i Sans,,L’Atlas català de Cresques Abraham. Edición conmemorativa del 600 aniversario de su realización,,BIBLIOGRAPHY*ADJUNCT_ROLE*COOR,Jaume,Matas i Tort,,,Diáfora,Barcelona,1975,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,14-22,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2011-04-05,ROVIRA,,,,,"Riera i Sans (1975), “Cresques Abrahám, judío de Mallorca, maestro de mapamundis y de brújulas”, L’Atlas català de Cresques Abraham. Edición conmemorativa del 600 aniversario de su realización"
BITECA bibid 1004,Vicissituds i descripció de l’{I}Atles Català{/I},,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Edmond,Pognon,,Atlas Català de Cresques Abraham,,BIBLIOGRAPHY*ADJUNCT_ROLE*COOR,Jaume,Matas i Tort,,,Diáfora,Barcelona,1975,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,7-9,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,CMPT-11/3/4/2-NP,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2012-01-28,App Service - MCR,,,,,"Pognon (1975), “Vicissituds i descripció de l’Atles Català”, Atlas Català de Cresques Abraham"
BITECA bibid 1005,Catalogue des manuscrits espagnols et des manuscrits portugais [de la Bibliothèque Nationale],,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Alfred,Morel-Fatio,,,,,,,,,Impr. Nationale,Paris,1892,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,xxvii + 423,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,Rom 091 Bibliothèque Nationale (469) Mor (part.),,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2011-03-31,ROVIRA,,,,,"Morel-Fatio (1892), Catalogue des manuscrits espagnols et des manuscrits portugais [de la Bibliothèque Nationale]"
BITECA bibid 1006,El repertori de manuscrits catalans de la [Institució] Patxot. Missió de París. Biblioteca Nacional (1926-1927),,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Pere,Bohigas,,Estudis Universitaris Catalans,,,,,,,,,1930,1931,,15-16,1-2,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,92-139; 197-230; 82-111; 213-310,"Barcelona, 1985, P. Bohigas {I}Sobre manuscrits i biblioteques{/I}",,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,,,,,,,,,,,,,,,,,,,,"article publicat en dos nums. de la revista, 1930 i 1931",,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2012-01-28,App Service - MCR,,,,,"Bohigas (1930-31), “El repertori de manuscrits catalans de la [Institució] Patxot. Missió de París. Biblioteca Nacional (1926-1927)”, Estudis Universitaris Catalans"
BITECA bibid 1007,Catàleg dels llibres manuscrits anteriors al segle XVIII del Museu Episcopal de Vich amb un apèndix per Mn. Eduard Junyent,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Josep,Gudiol i Cunill,,,,,,,,,Casa de Caritat,Barcelona,1934,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,230,"{I}Butlletí de la Biblioteca de Catalunya{/I}, 7, 1923-1927, pp. 59-154",,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1001,,,A 01-4t-337,,,,,,,,,,,,,,,,extret del {I}Butlletí de la Biblioteca de Catalunya{/I} vols. VI-VII-VIII (1920-1932),,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2017-02-13,SORIANO,,,,,"Gudiol i Cunill et al. (1934), Catàleg dels llibres manuscrits anteriors al segle XVIII del Museu Episcopal de Vich amb un apèndix per Mn. Eduard Junyent"
BITECA bibid 1009,Catálogo de los manuscritos catalanes de la Biblioteca Nacional,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Jesús,Domínguez Bordona,,,,,,,,,Blass,Madrid,1931,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,181,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,165/6/39/NP,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2011-03-22,ROVIRA,,,,,"Domínguez Bordona (1931), Catálogo de los manuscritos catalanes de la Biblioteca Nacional"
BITECA bibid 1010,Les {I}Partides{/I} i els textos catalans didàctics sobre cavalleria,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Siegfried,Bosch,,"Estudis Universitaris Catalans, 22 = Homenatge a Antoni Rubió i Lluch. Miscel·lània d’Estudis Literaris, Històrics i Lingüístics, 3",,,,,,,,Barcelona,1936,,,22,2,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,655-80,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1214,,,Biteca 8-27,,BIBLIOGRAPHY*RELATED_BIBCLASS*CB,BITECA bibid 1713,,707,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2012-01-28,App Service - MCR,,,,,"Bosch (1936), “Les Partides i els textos catalans didàctics sobre cavalleria”, Estudis Universitaris Catalans, 22 = Homenatge a Antoni Rubió i Lluch. Miscel·lània d’Estudis Literaris, Històrics i Lingüístics, 3"
BITECA bibid 1011,Códices manuscritos de Ripoll,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Ferran,Valls i Taberner,,"Revista de Archivos, Bibliotecas y Museos",,,,,,,,,1931,,,35,"1-2, 4-6",BIBLIOGRAPHY*LOCATION_CLASS*PAGE,5-15; 139-75,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2012-09-10,ROVIRA,,,,,"Valls i Taberner et al. (1931), “Códices manuscritos de Ripoll”, Revista de Archivos, Bibliotecas y Museos"
