BIOID,NAME_CLASS,NAME_FIRST,NAME_LAST,NAME_NUMBER,NAME_HONORIFIC,NAME_EPITHET,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,TITLE,TITLE_NUMBER,TITLE_CONNECTOR,TITLE_GEOID,TITLE_Q,TITLE_BD,TITLE_BDQ,TITLE_ED,TITLE_EDQ,TITLE_BASIS,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_Q,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,AFFILIATION_CLASS,AFFILIATION_TYPE,AFFILIATION_Q,AFFILIATION_GEOID,AFFILIATION_GEOIDQ,AFFILIATION_BD,AFFILIATION_BDQ,AFFILIATION_ED,AFFILIATION_EDQ,AFFILIATION_BASIS,SEX,RELATED_BIOCLASS,RELATED_BIODETAIL,RELATED_BIOID,RELATED_BIOIDQ,RELATED_BIOBD,RELATED_BIOBDQ,RELATED_BIOED,RELATED_BIOEDQ,RELATED_BIOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITECA bioid 1001,BIOGRAPHY*NAME_CLASS*TRAN,Pietro d’,Abano di Bologna,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BITECA geoid 1141,,1250,,,,,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*METGE,,,,,,,,,BIOGRAPHY*SEX*M,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 3052,,332,Q313174,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2023-11-10,TRIADO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q313174,,2023-11-09,"Pietro d’ Abano di Bologna, metge"
BITECA bioid 1002,BIOGRAPHY*NAME_CLASS*NATV,Desconegut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*SEX*M,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 8556,,,Q4233718,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2023-11-21,TRIADO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q4233718,,2023-11-21,Desconegut
BITECA bioid 1003,BIOGRAPHY*NAME_CLASS*NATV,Abraham,Ezra,,,Chacam (el Savi),,,,,,,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BITECA geoid 2373,,1089,,,,Wikidata,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*ASTRÒLEG,,,,,,,,,BIOGRAPHY*SEX*M,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 8556,,,Q270670,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2023-09-19,TRIADO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q270670,,2023-09-19,"Abraham Ezra, astròleg"
BITECA bioid 1004,BIOGRAPHY*NAME_CLASS*NATV,Cresques,Abraham,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BITECA geoid 1014,,1325-07-11,,1389,,Wikidata,BIOGRAPHY*AFFILIATION_CLASS*REL,BIOGRAPHY*AFFILIATION_CLASS!REL*JEW,,,,,,,,,BIOGRAPHY*SEX*M,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 1003,,23-4,Q329893,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2024-05-06,TRIADO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q329893,,2023-12-01,"Cresques Abraham, fe jueva"
BITECA bioid 1005,BIOGRAPHY*NAME_CLASS*NATV,Pere,Albert,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BITECA geoid 1037,?,1190,[?],,,,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*JURISTA,,,,,,,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*AMIC,,BITECA bioid 1188,,,,,,,,Canonge,BITECA insid 1042,,1233,,1261,,,BIOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 1484,1,421,Q11940899,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2023-11-09,TRIADO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q11940899,,2023-11-09,"Pere Albert, jurista"
BITECA bioid 1006,BIOGRAPHY*NAME_CLASS*TRAN,Albert el Gran,,,BIOGRAPHY*NAME_HONORIFIC*SANT,,,,,,,,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BITECA geoid 1335,,1193,ca.,,,,BIOGRAPHY*AFFILIATION_CLASS*ORD,BIOGRAPHY*AFFILIATION_CLASS!ORD*OP,,,,,,,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*MESTRE,,BITECA bioid 1841,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 3053,,240,Q60059,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2023-11-16,TRIADO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q60059,,2023-11-16,"Albert el Gran (S.), OP"
BITECA bioid 1007,BIOGRAPHY*NAME_CLASS*NATV,Lluís d’,Alcanyís,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BITECA geoid 1072,[?],1471,ca.,,,la Inquisició el cremàviu acusat de judaïtzant,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*METGE,,,,,,,,,BIOGRAPHY*SEX*M,,,,,,,,,,BIOGRAPHY*RELATED_INSCLASS*CAT,en medicina,BITECA insid 1316,,1499,,1504,,,BIOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 1484,1,454,Q16163686,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2023-07-04,SORIANO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q16163686,,2023-07-04,"Lluís d’ Alcanyís, metge"
BITECA bioid 1008,BIOGRAPHY*NAME_CLASS*TRAN,Alcoatí,ibn Harith al-Quti,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BITECA geoid 1003,,1140,,1150,,,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*METGE,,,,,,,,,BIOGRAPHY*SEX*M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mudèjar,,1990-09-15,CONCHEFF,2023-10-16,SORIANO,,,,,"Alcoatí, metge"
BITECA bioid 1009,BIOGRAPHY*NAME_CLASS*NATV,Joan,Jacme,,BIOGRAPHY*NAME_HONORIFIC*MESTRE,,,,,,,,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*FLO,,,,,1350,[?],1384,,,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*METGE,,,,,,,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*METGE,,BITECA bioid 1189,,,,,,,BIOGRAPHY*RELATED_INSCLASS*ALT,canceller de la Universitat,BITECA insid 1255,,1364,,1375,,,BIOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 5226,,124,Q110098816,,,,,,,,,,,,,,metge de reis de França i d’Aragó i de papes,,1990-09-15,CONCHEFF,2024-05-09,SORIANO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q110098816,,2023-10-02,"Joan Jacme (Mestre), metge"
BITECA bioid 1010,BIOGRAPHY*NAME_CLASS*NATV,Francesc,Alegre,,,,,,,,,,BIOGRAPHY*TITLE*CÒNSOL,,BIOGRAPHY*TITLE_CONNECTOR*A,BITECA geoid 1075,,,,,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BITECA geoid 1001,,1492,després de,1511,,Viquipèdia,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*DIPLOMÀTIC,,,,,,,,Wikidata,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*AMIC,,BITECA bioid 2299,,,,,,,BIOGRAPHY*RELATED_INSCLASS*ALT,ocupà diversos càrrecs,BITECA insid 1006,,1480,,1486,,,BIOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 1484,1,486,Q17301956,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2023-10-02,TRIADO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q17301956,,2023-10-02,"Francesc Alegre, Cònsol a Palermo"
