GEOID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,CLASS,TYPE,LATITUDE,LONGITUDE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_BIOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITECA geoid 1001,GEOGRAPHY*NAME_CLASS*U,Barcelona,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,41.3818,2.1685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2018-04-11,AVENOZA,,,,,Barcelona
BITECA geoid 1002,GEOGRAPHY*NAME_CLASS*U,València,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2014-01-04,FAULHABER,,,,,València
BITECA geoid 1003,GEOGRAPHY*NAME_CLASS*U,Toledo,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2013-04-13,AVENOZA,,,,,Toledo
BITECA geoid 1004,GEOGRAPHY*NAME_CLASS*U,Italia,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2008-12-18,SORIANO,,,,,Italia (nació)
BITECA geoid 1005,GEOGRAPHY*NAME_CLASS*U,Monestir de Montserrat,,,,,,,GEOGRAPHY*CLASS*E,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,1992-06-06,AVENOZA,,,,,Monestir de Montserrat
BITECA geoid 1006,GEOGRAPHY*NAME_CLASS*U,Vic,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,,,,,,,Vic
BITECA geoid 1007,GEOGRAPHY*NAME_CLASS*U,Tarragona,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,,,,,,,Tarragona
BITECA geoid 1008,GEOGRAPHY*NAME_CLASS*U,Cardona,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,,,,,,,Cardona
BITECA geoid 1009,GEOGRAPHY*NAME_CLASS*U,Lleida,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2008-11-10,AVENOZA,,,,,Lleida
BITECA geoid 1010,GEOGRAPHY*NAME_CLASS*U,Organyà,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BITECA geoid 1009,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2008-12-18,SORIANO,,,,,Organyà
BITECA geoid 1011,GEOGRAPHY*NAME_CLASS*U,Girona,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2008-12-18,SORIANO,,,,,Girona
BITECA geoid 1012,GEOGRAPHY*NAME_CLASS*U,Castelló de la Plana,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,1992-07-13,AVENOZA,,,,,Castelló de la Plana
BITECA geoid 1013,GEOGRAPHY*NAME_CLASS*U,Santes Creus,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BITECA geoid 1007,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2008-12-18,SORIANO,,,,,Santes Creus
BITECA geoid 1014,GEOGRAPHY*NAME_CLASS*U,Ciutat de Mallorca,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BITECA geoid 1304,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2022-09-16,SORIANO,,,,,Ciutat de Mallorca
BITECA geoid 1015,GEOGRAPHY*NAME_CLASS*U,Ponts,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,,,,,,,Ponts
BITECA geoid 1016,GEOGRAPHY*NAME_CLASS*U,Les Piles,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BITECA geoid 1285,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,1992-07-13,AVENOZA,,,,,Les Piles
BITECA geoid 1017,GEOGRAPHY*NAME_CLASS*U,Venezia,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2008-12-18,SORIANO,,,,,Venezia
BITECA geoid 1019,GEOGRAPHY*NAME_CLASS*U,Vall d’Hebron,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BITECA geoid 1001,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2008-12-18,SORIANO,,,,,Vall d’Hebron
BITECA geoid 1020,GEOGRAPHY*NAME_CLASS*U,Tortosa,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BITECA geoid 1007,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2008-12-18,SORIANO,,,,,Tortosa
BITECA geoid 1021,GEOGRAPHY*NAME_CLASS*U,Amer,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,,,,,,,Amer
BITECA geoid 1022,GEOGRAPHY*NAME_CLASS*U,Sant Cugat del Vallès,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,1991-05-03,AVENOZA,,,,,Sant Cugat del Vallès
BITECA geoid 1023,GEOGRAPHY*NAME_CLASS*U,Puigreig,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,,,,,,,Puigreig
BITECA geoid 1024,GEOGRAPHY*NAME_CLASS*U,Montseny,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,,,,,,,Montseny
BITECA geoid 1025,GEOGRAPHY*NAME_CLASS*U,Puigcerdà,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,1991-05-05,AVENOZA,,,,,Puigcerdà
BITECA geoid 1026,GEOGRAPHY*NAME_CLASS*U,Ports de Morella,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,1992-09-30,AVENOZA,,,,,Ports de Morella
BITECA geoid 1027,GEOGRAPHY*NAME_CLASS*U,Morella,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,1992-09-30,AVENOZA,,,,,Morella
BITECA geoid 1028,GEOGRAPHY*NAME_CLASS*U,Manresa,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,,,,,,,Manresa
BITECA geoid 1029,GEOGRAPHY*NAME_CLASS*U,Huete,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,,,,,,,Huete
BITECA geoid 1030,GEOGRAPHY*NAME_CLASS*U,Santa Maria de Poblet,,,,,,,GEOGRAPHY*CLASS*E,GEOGRAPHY*TYPE*M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2024-02-02,SORIANO,,,,,Santa Maria de Poblet (Altres)
BITECA geoid 1031,GEOGRAPHY*NAME_CLASS*U,Montpellier,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2018-04-10,SORIANO,,,,,Montpellier
BITECA geoid 1032,GEOGRAPHY*NAME_CLASS*U,Montsó,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,1992-06-01,AVENOZA,,,,,Montsó
BITECA geoid 1033,GEOGRAPHY*NAME_CLASS*U,England,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*N,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BITECA geoid 1379,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2008-12-18,SORIANO,,,,,England (nació)
BITECA geoid 1034,GEOGRAPHY*NAME_CLASS*U,Vilafranca del Penedés,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2008-12-18,SORIANO,,,,,Vilafranca del Penedés
BITECA geoid 1035,GEOGRAPHY*NAME_CLASS*U,Villena,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*W,,,GEOGRAPHY*RELATED_GEOCLASS*S,,BITECA geoid 1179,,,,,,,GEOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 8556,,,Q29066,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2024-05-17,TRIADO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q29066,,2024-02-08,Villena (marquesat)
BITECA geoid 1036,GEOGRAPHY*NAME_CLASS*U,Catarroya,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BITECA geoid 1002,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2008-12-18,SORIANO,,,,,Catarroya
BITECA geoid 1037,GEOGRAPHY*NAME_CLASS*U,Bologna,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,1992-07-13,AVENOZA,,,,,Bologna
BITECA geoid 1038,GEOGRAPHY*NAME_CLASS*U,Castellet i la Gornal,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2024-05-16,SORIANO,,,,,Castellet i la Gornal
