INSID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_Q,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,CLASS,TYPE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITECA insid 1001,INSTITUTIONS*NAME_CLASS*U,Bancroft Library,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*LIBRARY,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-10-05,AVENOZA,1992-09-23,AVENOZA,,,,,Berkeley: Bancroft Library
BITECA insid 1002,INSTITUTIONS*NAME_CLASS*U,Escriptori real (Pere III),,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*SCRIPTORIUM,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1001,[?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOT,1990-10-10,AVENOZA,1996-12-04,AVENOZA,,,,,Barcelona: Escriptori real (Pere III)
BITECA insid 1003,INSTITUTIONS*NAME_CLASS*U,Sant Joan de la Penya,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*MONASTERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOT,1990-10-10,AVENOZA,2013-04-14,AVENOZA,,,,,Sant Joan de la Penya
BITECA insid 1004,INSTITUTIONS*NAME_CLASS*U,La Victoria,,,,,,,,,,,,,,,,,,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOT,1990-10-10,AVENOZA,,,,,,,Saragossa: La Victoria
BITECA insid 1005,INSTITUTIONS*NAME_CLASS*U,Monestir de Sant Jeroni de la Murtra,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1416,,,,,INSTITUTIONS*CLASS*MONASTERY,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1408,,,,,,,,,,,,,,,,INSTITUTIONS*RELATED_BIBCLASS*TRA,BITECA bibid 3074,,351,,,,,,,,,,,,,,,,,1990-10-28,AVENOZA,2022-09-16,SORIANO,,,,,Badalona: Monestir de Sant Jeroni de la Murtra
BITECA insid 1006,INSTITUTIONS*NAME_CLASS*U,Consell de Cent,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-11-03,AVENOZA,2022-09-16,SORIANO,,,,,Barcelona: Consell de Cent
BITECA insid 1007,INSTITUTIONS*NAME_CLASS*U,Cancelleria reial,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-11-03,AVENOZA,2024-05-03,SORIANO,,,,,Barcelona: Cancelleria reial
BITECA insid 1008,INSTITUTIONS*NAME_CLASS*U,Universitat de Lleida,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*UNIVERSITY,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-11-03,AVENOZA,,,,,,,Universitat de Lleida
BITECA insid 1009,INSTITUTIONS*NAME_CLASS*U,Consistori del Gay Saber,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-11-03,AVENOZA,2024-05-03,SORIANO,,,,,Barcelona: Consistori del Gay Saber
BITECA insid 1010,INSTITUTIONS*NAME_CLASS*U,Generalitat de Catalunya,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-11-03,AVENOZA,1992-10-04,AVENOZA,,,,,Barcelona: Generalitat de Catalunya
