LIBID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,ADDRESS,CITY,STATE,COUNTRY,PCODE,PHONE,PHONE_LOC,TELEX,CONTACT_FNAME,CONTACT_LNAME,CONTACT_TITLE,CONTACT_SALUTATION,CONTACT_POSITION,CONTACT_PHONE,CONTACT_EMAIL,CONTACT_TYPE,LIBRARY_HOURS,LIBRARY_CLOSED,LIBRARY_DOCUMENTS,LIBRARY_FACILITIES,CALL_TYPE,CALL_DATE,CALL_PERSON,CALL_NOTE,LIBCODE_CLASS,LIBCODE,CLASS,TYPE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITECA libid 1001,LIBRARY*NAME_CLASS*CURRENT,Biblioteca de Catalunya,,,,,,,"Hospital, 56",Barcelona,,Espanya,08001,(93) 2702300,LIBRARY*PHONE_LOC*MAIN,,Eugènia,Serra,,,Directora,,,,9-20,dissabtes a la tarda,tarja de lector,LIBRARY*FACILITIES*MICROFICHE,,,,,,BdC,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BITECA bibid 1027,,,Q633303,,,,,,,,,,,Noms,1990-09-15,CONCHEFF,2024-03-05,SORIANO,UNIVERSAL*INTERNET_CLASS*URL,https://database.factgrid.de/wiki/Item:Q633303,,2023-10-26,Barcelona: Biblioteca de Catalunya
BITECA libid 1002,LIBRARY*NAME_CLASS*SHORT,Monasterio,,,,,,,"Avda. D. Juan de Borbón y Battenberg, 1",San Lorenzo de El Escorial,,Espanya,28200,91 8905011,LIBRARY*PHONE_LOC*MAIN,,Teodoro,Alonso Turienzo,Padre,,Antic director,,,,10-14h,dilluns i festius,DNI,LIBRARY*FACILITIES*MICROFILM,LIBRARY*CALL_TYPE*V,2013-07,GAV,,,ESC,LIBRARY*CLASS*ECCL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*TRA,BITECA bibid 3326,,,,,,,,,,,,,,Bibliografia,1990-09-15,CONCHEFF,2015-11-18,AVENOZA,UNIVERSAL*INTERNET_CLASS*EMA,real.biblioteca@ctv.es,,2013-12-31,San Lorenzo de El Escorial: Monasterio
BITECA libid 1003,LIBRARY*NAME_CLASS*SHORT,Nationale-Richelieu,,,,,,,"58, rue Richelieu",Paris,,France,75084,07 33 (1) 42618283,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,dill.-div. 9 a 18h (mss. occ.),,,LIBRARY*FACILITIES*COMPUTER,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BITECA bibid 3200,,,,,,,,,,,,,"es necessita justificació d’investigació; els incunables ara són a Tolbiac. Servei de documents. dill.-div. de 9 a 12,30h i de 13,30 a 16,45h, dis. fins a les 16h. Transports: Metro L. 3 (Bourse), L. 1 i 7 (Palais-Royal), L. 7 i 14 (Pyramides). Bus 20, 29, 39, 67, 74 i 85",,1990-09-15,CONCHEFF,2011-11-16,AVENOZA,,,,,Paris: Nationale-Richelieu
BITECA libid 1004,LIBRARY*NAME_CLASS*SHORT,Arxiu i Biblioteca Episcopal,,,,,,,"Carrer de Santa Maria, 1 -Palau Episcopal-",Vic,,Espanya,08500,(93) 8894432,LIBRARY*PHONE_LOC*MAIN,,Miquel S.,Gros i Pujol,,,Director,,,,Dill-div. 16-20h.,festius,,LIBRARY*FACILITIES*COMPUTER,LIBRARY*CALL_TYPE*V,2009,,,,,LIBRARY*CLASS*ECCL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BITECA bibid 1007,,118,,,,,,,,,,,"el catàleg d’incunables distingeix dos fons: BEV (Biblioteca Episcopal de Vic) i MEV (Museu Episcopal de Vic).<br /><br />Permeten fer fotografies sense flaix ni altres dispositius, sempre que siguin puntuals.",,1990-09-15,CONCHEFF,2015-10-05,AVENOZA,UNIVERSAL*INTERNET_CLASS*EMA,abev@abev.net,,,Vic: Arxiu i Biblioteca Episcopal
BITECA libid 1005,LIBRARY*NAME_CLASS*SHORT,Nacional (BNE),,,,,,,"P{SS}o{ES} de Recoletos, 20",Madrid,,Espanya,28001,(91) 2756800,LIBRARY*PHONE_LOC*MAIN,,Ana,Santos Aramburo,Directora,,,,,,9-20h dilluns a divendres,una setmana al gener,carnet d’investigador,LIBRARY*FACILITIES*MICROFILM,LIBRARY*CALL_TYPE*V,2013-07,GAV,,,BNM,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BITECA bibid 1009,,,,,,,,,,,,,"Reservada a investigadors. Es poden consultar 20 volums al dia, demanant-los de tres en tres",,1990-09-15,CONCHEFF,2019-07-04,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,www.bne.es,,2013-12-31,Madrid: Nacional (BNE)
BITECA libid 1006,LIBRARY*NAME_CLASS*SHORT,Arxiu Corona Aragó,,,,,,,"Almogàvers, 77",Barcelona,,Espanya,08018,(93) 4854285,LIBRARY*PHONE_LOC*MAIN,,Carlos,López Rodríguez,,,Director,,,,9-14:30 dilluns a divendres,festius,carnet d’investigador,LIBRARY*FACILITIES*COMPUTER,LIBRARY*CALL_TYPE*V,2015-12-29,GAV,,,ACA,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*TRA,BITECA bibid 4416,,,,,,,,,,,,,"conserva la documentació de la cancelleria reial; la més antiga documentació comtal i reial es conservava al monestir de Sixena, des d’on passàal Palau Reial Major de Barcelona. Des del s. XIII comencen els llibres de registre d’una manera regular, corresponent el primer al repartiment de València (1234-1254). Es conserven 23 volums de {I}Dietaris de la Diputació{/I} dels ss. XV-XVII, que no hem considerat per tractar-se de documents",,1990-09-15,CONCHEFF,2015-12-29,AVENOZA,UNIVERSAL*INTERNET_CLASS*EMA,aca@mcu.es,,,Barcelona: Arxiu Corona Aragó
BITECA libid 1007,LIBRARY*NAME_CLASS*CURRENT,Il·lustre Col·legi de l’Advocacia de Barcelona,,,,,,,"Mallorca, 283",Barcelona,,Espanya,08037,(93) 4961880,LIBRARY*PHONE_LOC*MAIN,,M. Helena,Faraudo,,,Directora,,,,,,,,,,,,,BAdv,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BITECA bibid 1934,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2024-04-05,SORIANO,UNIVERSAL*INTERNET_CLASS*URL,https://www.icab.es/ca/biblioteca-centre-documentacio/biblioteca/,,2024-04-05,Barcelona: Col·legi d’Advocats
BITECA libid 1008,LIBRARY*NAME_CLASS*SHORT,Arxiu de l’Ajuntament,,,,,,,"Plaça de la Paeria, s/n. Paeria",Lleida,,Espanya,25007,(973) 70 03 52,LIBRARY*PHONE_LOC*MAIN,,Elena,González Coso,,,cap secció arxiu,,,,dll-dv: 9-14h,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2010-08-20,AVENOZA,UNIVERSAL*INTERNET_CLASS*EMA,arxiu.general@paeria.es,,,Lleida: Arxiu de l’Ajuntament
BITECA libid 1009,LIBRARY*NAME_CLASS*SHORT,Biblioteca Apostolica,,,,,,,Cortile del Belvedere,Vaticano (Città del),,Stato della Città del Vaticano,00120,(06) 6987 9402,LIBRARY*PHONE_LOC*MAIN,(504)2024,Raffaele,Farina,,S. Em.za Rev.ma,Director (Cardinale archivista e bibliotecario di S.R.C.),,,,"8,30-13,30 i 15,30-18,30 (dl-dv)",16-7 / 15-9,,LIBRARY*FACILITIES*COMPUTER,LIBRARY*CALL_TYPE*V,2004,,,,,LIBRARY*CLASS*ECCL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BITECA bibid 3033,,,45252,,,,,,,,,,"Fundada en 1475. 72000 Ms. i 8300 inc. Tancada durant tres anys des del 14 de juliol de 2007 per reformes, període durant el qual es podran demanar reproduccions des de la seva pàgina web",,1990-09-15,CONCHEFF,2010-08-20,AVENOZA,UNIVERSAL*INTERNET_CLASS*EMA,bav@vatlib.it,,,Vaticano (Città del): Biblioteca Apostolica
BITECA libid 1010,LIBRARY*NAME_CLASS*ALTRE,AHCB,,,,,,,"Santa Llúcia, 1 (Casa de l’Ardiaca)",Barcelona,,Espanya,08002,(93) 2562255,LIBRARY*PHONE_LOC*MAIN,,Xavier,Torraubella,,,Director,(93) 3178327,,,,,,LIBRARY*FACILITIES*MICROFILM,LIBRARY*CALL_TYPE*V,2008,,,,BAHC,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*TRA,BITECA bibid 8557,,,Q747430,,,,,,,,,,l’horari de Reserva és: dimarts-dijous de 9.00 a 14.00h,,1990-09-15,CONCHEFF,2024-04-05,SORIANO,UNIVERSAL*INTERNET_CLASS*EMA,arxiuhistoric@bcn.cat,,2024-04-05,Barcelona: Arxiu Històric de la Ciutat de Barcelona
