SUBID,HEADING_MAIN,HM_CLASS,HM_TYPE,HM_FIELD,HM_BASIS,HEADING_VARIANT,HV_CLASS,HV_TYPE,HV_FIELD,HV_BASIS,HB_SUBID,HB_BASIS,HR_SUBID,HR_BASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITECA subid 10001,FARMÀCIA,,,,,pharmacy,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10006,,,,,,,,,,,,,,1993-11-03,AVENOZA,2008-04-15,ROVIRA,,,,,FARMÀCIA
BITECA subid 10002,MEDICINA,,,,,medicine,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10057,,,,,,,,,,,,,,1993-11-03,AVENOZA,2008-04-15,ROVIRA,,,,,MEDICINA
BITECA subid 10003,RELIGIÓ,,,,,religion,SUBJECT*HV_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-11-03,AVENOZA,2008-04-15,ROVIRA,,,,,RELIGIÓ
BITECA subid 10004,PREGÀRIES,,,,,ORACIONS,SUBJECT*HV_CLASS*OTHER,,,,,,BITECA subid 10003,,,,,,,,,,,,,,1993-11-03,AVENOZA,2008-04-15,ROVIRA,,,,,PREGÀRIES
BITECA subid 10005,HISTÒRIA,,,,,history,SUBJECT*HV_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-11-03,AVENOZA,2008-04-15,ROVIRA,,,,,HISTÒRIA
BITECA subid 10006,COSMÈTICA,,,,,cosmetics,SUBJECT*HV_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-11-03,AVENOZA,2008-04-15,ROVIRA,,,,,COSMÈTICA
BITECA subid 10007,PROFECIES,,,,,prophecy,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10005,,,,,,,,,,,,,,1993-11-03,AVENOZA,2011-12-12,AVENOZA,,,,,PROFECIES
BITECA subid 10008,VETERINÀRIA,,,,,veterinary medicine,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10075,,,,,,,,,,,,,,1993-11-03,AVENOZA,2011-12-12,AVENOZA,,,,,VETERINÀRIA
BITECA subid 10009,GASTRONOMIA,,,,,CUINA,SUBJECT*HV_CLASS*OTHER,,,,,,,,,,,,,,,,,,,,1993-11-03,AVENOZA,2008-04-15,ROVIRA,,,,,GASTRONOMIA
BITECA subid 10010,GEOGRAFIA,,,,,geography,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10089,,,,,,,,,,,,,,1993-11-03,AVENOZA,2011-12-12,AVENOZA,,,,,GEOGRAFIA
BITECA subid 10011,LEXICOGRAFIA,,,,,VOCABULARI,SUBJECT*HV_CLASS*OTHER,,,,,,,,,,,,,,,,,,,,1993-11-03,AVENOZA,2008-04-15,ROVIRA,,,,,LEXICOGRAFIA
BITECA subid 10012,CRONOLOGIA,,,,,chronology,SUBJECT*HV_CLASS*OTHER,,,,,,BITECA subid 10005,,,,,,,,,,,,,,1993-11-03,AVENOZA,2011-12-12,AVENOZA,,,,,CRONOLOGIA
BITECA subid 10013,HAGIOGRAFIA,,,,,SANTS,SUBJECT*HV_CLASS*OTHER,,,,,,BITECA subid 10003,,,,,,,,,,,,,,1993-11-03,AVENOZA,2008-04-15,ROVIRA,,,,,HAGIOGRAFIA
BITECA subid 10014,FILOSOFIA MORAL,,,,,moral philosophy,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10015,,,,,,,,,,,,,,1993-11-03,AVENOZA,2011-12-12,AVENOZA,,,,,FILOSOFIA MORAL
BITECA subid 10015,FILOSOFIA,,,,,philosophy,SUBJECT*HV_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-11-03,AVENOZA,2008-04-15,ROVIRA,,,,,FILOSOFIA
BITECA subid 10016,TEOLOGIA,,,,,theology,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10003,,,,,,,,,,,,,,1993-11-03,AVENOZA,2011-12-12,AVENOZA,,,,,TEOLOGIA
BITECA subid 10017,DRET,,,,,LLEIS,SUBJECT*HV_CLASS*OTHER,,,,,,,,,,,,,,,,,,,,1993-11-03,AVENOZA,2008-04-15,ROVIRA,,,,,DRET
BITECA subid 10018,EPÍSTOLES,,,,,CARTA,SUBJECT*HV_CLASS*OTHER,,,,,,BITECA subid 10091,,,,,,,,,,,,,,1993-11-03,AVENOZA,2011-12-12,AVENOZA,,,,,EPÍSTOLES
BITECA subid 10019,MÀGIA,,,,,magic,SUBJECT*HV_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-11-03,AVENOZA,2008-04-15,ROVIRA,,,,,MÀGIA
BITECA subid 10020,AGRICULTURA,,,,,agriculture,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10043,,,,,,,,,,,,,,1993-11-03,AVENOZA,2008-04-15,ROVIRA,,,,,AGRICULTURA
BITECA subid 10021,AMOR,,,,,love,SUBJECT*HV_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-11-03,AVENOZA,2008-04-15,ROVIRA,,,,,AMOR
BITECA subid 10022,NOVEL·LA,,,,,ROMAN,SUBJECT*HV_CLASS*OTHER,,,,,,BITECA subid 10091,,,,,,,,,,,,,,1993-11-03,AVENOZA,2011-12-12,AVENOZA,,,,,NOVEL·LA
BITECA subid 10023,CAVALLERIA,,,,,chivalry,SUBJECT*HV_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-11-03,AVENOZA,2008-04-15,ROVIRA,,,,,CAVALLERIA
BITECA subid 10024,MARIOLOGIA,,,,,VERGE,SUBJECT*HV_CLASS*OTHER,,,,,,BITECA subid 10003,,,,,,,,,,,,,,1993-11-03,AVENOZA,2008-04-15,ROVIRA,,,,,MARIOLOGIA
BITECA subid 10025,GRAMÀTICA,,,,,grammar,SUBJECT*HV_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-11-04,AVENOZA,2008-04-15,ROVIRA,,,,,GRAMÀTICA
BITECA subid 10026,ECONOMIA,,,,,economy,SUBJECT*HV_CLASS*OTHER,,,,,,,,,,,,,,,,,,,,1993-11-04,AVENOZA,2008-04-15,ROVIRA,,,,,ECONOMIA
BITECA subid 10027,ASTRONOMIA,,,,,astronomy,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10089,,,,,,,,,,,,,,1993-11-04,AVENOZA,2011-12-12,AVENOZA,,,,,ASTRONOMIA
BITECA subid 10028,QUÍMICA,,,,,chemistry,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10089,,,,,,,,,,,,,,1993-11-04,AVENOZA,2011-12-12,AVENOZA,,,,,QUÍMICA
BITECA subid 10029,MATEMÀTIQUES,,,,,mathematics,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10089,,,,,,,,,,,,,,1993-11-04,AVENOZA,2011-12-12,AVENOZA,,,,,MATEMÀTIQUES
BITECA subid 10030,NOTARIAT,,,,,notary,SUBJECT*HV_CLASS*OTHER,,,,,,BITECA subid 10017,,,,,,,,,,,,,,1993-11-04,AVENOZA,2011-12-12,AVENOZA,,,,,NOTARIAT
BITECA subid 10031,COMPTABILITAT,,,,,accountancy,SUBJECT*HV_CLASS*OTHER,,,,,,BITECA subid 10026,,,,,,,,,,,,,,1993-11-04,AVENOZA,2011-12-12,AVENOZA,,,,,COMPTABILITAT
BITECA subid 10032,ENSENYAMENT,,,,,education,SUBJECT*HV_CLASS*OTHER,,,,,,,,,,,,,,,,,,,,1993-11-04,AVENOZA,2008-04-15,ROVIRA,,,,,ENSENYAMENT
BITECA subid 10033,COMERÇ,,,,,trade,SUBJECT*HV_CLASS*OTHER,,,,,,BITECA subid 10026,,,,,,,,,,,,,,1993-11-04,AVENOZA,2011-12-12,AVENOZA,,,,,COMERÇ
BITECA subid 10034,ASSOCIACIONS,,,,,associations,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10033,,,,,,,,,,,,,,1993-11-04,AVENOZA,2011-12-12,AVENOZA,,,,,ASSOCIACIONS
BITECA subid 10035,ALQUÍMIA,,,,,alchemy,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10089,,,,,,,,,,,,,,1993-11-12,AVENOZA,2011-12-12,AVENOZA,,,,,ALQUÍMIA
BITECA subid 10036,AL·LEGORIA,,,,,allegory,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10091,,,,,,,,,,,,,,1993-11-16,AVENOZA,2011-12-12,AVENOZA,,,,,AL·LEGORIA
BITECA subid 10037,ANNALS,,,,,annals,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10005,,,,,,,,,,,,,,1993-11-16,AVENOZA,2011-12-12,AVENOZA,,,,,ANNALS
BITECA subid 10038,APOLOGIA,,,,,apology,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10003,,,,,,,,,,,,,,1993-11-16,AVENOZA,2011-12-12,AVENOZA,,,,,APOLOGIA
BITECA subid 10039,ARTÚRIC,,,,,arthurian,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10091,,,,,,,,,,,,,,1993-11-16,AVENOZA,2011-12-12,AVENOZA,,,,,ARTÚRIC
BITECA subid 10040,ASTROLOGIA,,,,,astrology,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10089,,,,,,,,,,,,,,1993-11-16,AVENOZA,2011-12-12,AVENOZA,,,,,ASTROLOGIA
BITECA subid 10041,AUTOBIOGRAFIA,,,,,autobiography,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10042,,,,,,,,,,,,,,1993-11-16,AVENOZA,2011-12-12,AVENOZA,,,,,AUTOBIOGRAFIA
BITECA subid 10042,BIOGRAFIA,,,,,biography,SUBJECT*HV_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-11-16,AVENOZA,2008-04-15,ROVIRA,,,,,BIOGRAFIA
BITECA subid 10043,BOTÀNICA,,,,,botany,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10089,,,,,,,,,,,,,,1993-11-16,AVENOZA,2011-12-12,AVENOZA,,,,,BOTÀNICA
BITECA subid 10044,CRISTOLOGIA,,,,,CRIST,SUBJECT*HV_CLASS*OTHER,,,,,,BITECA subid 10003,,,,,,,,,,,,,,1993-11-16,AVENOZA,2008-04-15,ROVIRA,,,,,CRISTOLOGIA
BITECA subid 10045,CONSOLACIÓ,,,,,consolation,SUBJECT*HV_CLASS*OTHER,,,,,,BITECA subid 10091,,,,,,,,,,,,,,1993-11-16,AVENOZA,2011-12-12,AVENOZA,,,,,CONSOLACIÓ
BITECA subid 10046,CONVERSOS,,,,,converts,SUBJECT*HV_CLASS*OTHER,,,,,,BITECA subid 10003,,,,,,,,,,,,,,1993-11-16,AVENOZA,2011-12-12,AVENOZA,,,,,CONVERSOS
BITECA subid 10047,DROGUERIA,,,,,prescriptions,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10089,,,,,,,,,,,,,,1993-11-16,AVENOZA,2011-12-12,AVENOZA,,,,,DROGUERIA
BITECA subid 10048,DEBAT,,,,,DIÀLEG,SUBJECT*HV_CLASS*OTHER,,,,,,BITECA subid 10003,,,,,,,,,,,,,,1993-11-16,AVENOZA,2011-12-12,AVENOZA,,,,,DEBAT
BITECA subid 10049,DIDÀCTIC,,,,,didactic,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10032,,,,,,,,,,,,,,1993-11-16,AVENOZA,2011-12-12,AVENOZA,,,,,DIDÀCTIC
BITECA subid 10050,DOCTRINAL,,,,,doctrinal,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10091,,,,,,,,,,,,,,1993-11-16,AVENOZA,2011-12-12,AVENOZA,,,,,DOCTRINAL
BITECA subid 10051,ELEGIA,,,,,elegy,SUBJECT*HV_CLASS*OTHER,,,,,,BITECA subid 10091,,,,,,,,,,,,,,1993-11-16,AVENOZA,2011-12-12,AVENOZA,,,,,ELEGIA
BITECA subid 10052,ÈPICA,,,,,epic,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10091,,,,,,,,,,,,,,1993-11-16,AVENOZA,2011-12-12,AVENOZA,,,,,ÈPICA
BITECA subid 10053,EPITALAMI,,,,,epithalamium,SUBJECT*HV_CLASS*OTHER,,,,,,BITECA subid 10091,,,,,,,,,,,,,,1993-11-16,AVENOZA,2011-12-12,AVENOZA,,,,,EPITALAMI
BITECA subid 10054,EXEMPLA,,,,,exempla,SUBJECT*HV_CLASS*ENGLISH,,,,,,BITECA subid 10091,,,,,,,,,,,,,,1993-11-16,AVENOZA,2011-12-12,AVENOZA,,,,,EXEMPLA
