TEXID,TITLE_UNIFORM,TITLE_UNIFORM_BASIS,TITLE_VARIANT,TITLE_VARIANT_BASIS,TITLE_TRANSLATED,TITLE_TRANSLATED_BASIS,AUTHOR_IDP,AUTHOR_ID,AUTHOR_IDQ,AUTHOR_BASIS,INC_EXP_CLASS,INCIPIT,EXPLICIT,LANGUAGE_TEXT,LANGUAGE_ORIG,LANGUAGE_INTR,METRICS_LENGTH,METRICS_RHYME,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_GEOBASIS,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,CLASS,TYPE,RELATED_BIOCLASS,RELATED_BIODETAIL,RELATED_BIOID,RELATED_BIOIDQ,RELATED_BIOBD,RELATED_BIOBDQ,RELATED_BIOED,RELATED_BIOEDQ,RELATED_BIOBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,RELATED_UNICLASS,RELATED_UNIDETAIL,RELATED_UNIID,RELATED_UNIBASIS,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITECA texid 10000,Lletres de batalla i respostes (2),,,,,,Group 1,BITECA bioid 2695,[?],,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1407,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10018,,,,,,,,2006-06-07,AVENOZA,2008-12-19,AVENOZA,,,,,"Berenguer de Vilaregut… Lletres de batalla i respostes (2), escrit 1407"
BITECA texid 10001,Lletres de batalla i respostes (3),,,,,,Group 1,BITECA bioid 2695,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1407,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10018,,,,,,,,2006-06-08,AVENOZA,2008-12-19,AVENOZA,,,,,"Berenguer de Vilaregut… Lletres de batalla i respostes (3), escrit 1407"
BITECA texid 10002,Suplicacions al rei en Martí,,,,,,Group 1,BITECA bioid 2695,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1407,,,,,UNIFORM_TITLE*CLASS*PROSA,,UNIFORM_TITLE*RELATED_BIOCLASS*CORRESPONSAL,,BITECA bioid 1190,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10018,,,,,,,,2006-06-08,AVENOZA,2008-12-19,AVENOZA,,,,,"Berenguer de Vilaregut, Suplicacions al rei en Martí, escrit 1407"
BITECA texid 10003,Carta al rei en Martí,,,,,,Group 1,BITECA bioid 5480,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1407,,,,,UNIFORM_TITLE*CLASS*PROSA,,UNIFORM_TITLE*RELATED_BIOCLASS*CORRESPONSAL,,BITECA bioid 1190,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10018,,,,,,,,2006-06-08,AVENOZA,2008-12-19,AVENOZA,,,,,"Pero Pardo de la Casta, Cavaller, Carta al rei en Martí, escrit 1407"
BITECA texid 10004,Lletres de batalla i respostes,,,,,,Group 1,BITECA bioid 2909,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1428,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,UNIFORM_TITLE*RELATED_BIBCLASS*TRA,BITECA bibid 6902,,,98.1.1,,,,,,,,,,,,,BITECA subid 10018,,,,,,,,2006-06-08,AVENOZA,2012-09-13,ROVIRA,,,,,"Francí Desvalls, Cavaller… Lletres de batalla i respostes, escrit 1428"
BITECA texid 10005,Lletres de batalla i respostes,,,,,,Group 1,BITECA bioid 5482,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1470,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10018,,,,,,,,2006-06-08,AVENOZA,2008-12-19,AVENOZA,,,,,"Turc, Emperador de Grècia… Lletres de batalla i respostes, escrit 1470"
BITECA texid 10006,Albarans de batalla i respostes,,,,,,Group 1,BITECA bioid 5483,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1443,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10018,,,,,,,,2006-06-08,AVENOZA,2008-12-19,AVENOZA,,,,,"Pere Scorna… Albarans de batalla i respostes, escrit 1443"
BITECA texid 10007,Lletra de batalla,,,,,,Group 1,BITECA bioid 5483,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1443,,,,,UNIFORM_TITLE*CLASS*PROSA,,UNIFORM_TITLE*RELATED_BIOCLASS*CORRESPONSAL,,BITECA bioid 5484,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10018,,,,,,,,2006-06-08,AVENOZA,2008-12-19,AVENOZA,,,,,"Pere Scorna, Lletra de batalla, escrit 1443"
BITECA texid 10008,Lletres de batalla i respostes,,,,,,Group 1,BITECA bioid 2159,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1455,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10018,,,,,,,,2006-06-08,AVENOZA,2008-12-19,AVENOZA,,,,,"Guerau de Cervelló… Lletres de batalla i respostes, escrit 1455"
BITECA texid 10009,Lletres de batalla a ultrança i respostes,,,,,,Group 1,BITECA bioid 2159,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1455,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10018,,,,,,,,2006-06-08,AVENOZA,2008-12-19,AVENOZA,,,,,"Guerau de Cervelló… Lletres de batalla a ultrança i respostes, escrit 1455"
