Unnamed: 0,GEOID,TYPE,MONIKER,INTERNET_ADDRESS,Unnamed: 5
0.0,BETA geoid 1001,GEOGRAPHY*TYPE*T,Paris,,
2.0,BETA geoid 1003,GEOGRAPHY*TYPE*T,Sevilla,,
3.0,BETA geoid 1004,GEOGRAPHY*TYPE*K,España (reino),,
4.0,BETA geoid 1005,GEOGRAPHY*TYPE*T,Madrid,,
5.0,BETA geoid 1006,GEOGRAPHY*TYPE*T,Toledo,,
6.0,BETA geoid 1007,GEOGRAPHY*TYPE*T,Murcia,,
7.0,BETA geoid 1008,GEOGRAPHY*TYPE*CA,Región de Murcia (comunidad autónoma),,
8.0,BETA geoid 1010,GEOGRAPHY*TYPE*T,Granada,,
9.0,BETA geoid 1011,GEOGRAPHY*TYPE*T,Zaragoza,,
11.0,BETA geoid 1013,GEOGRAPHY*TYPE*P,Burgos (provincia),,
14.0,BETA geoid 1015,GEOGRAPHY*TYPE*T,Cartagena,https://database.factgrid.de/wiki/Item:Q83765,
15.0,BETA geoid 1016,GEOGRAPHY*TYPE*T,Salamanca,,
17.0,BETA geoid 1018,GEOGRAPHY*TYPE*T,Olivares,https://www.wikidata.org/wiki/Q1628400,
20.0,BETA geoid 1021,GEOGRAPHY*TYPE*T,Talavera de la Reina,,
24.0,BETA geoid 1025,GEOGRAPHY*TYPE*T,Córdoba,,
27.0,BETA geoid 1027,GEOGRAPHY*TYPE*T,San Millán de la Cogolla,https://database.factgrid.de/wiki/Item:Q353977,
28.0,BETA geoid 1028,GEOGRAPHY*TYPE*T,Valladolid,http://es.wikipedia.org/wiki/Pintia,
30.0,BETA geoid 1030,GEOGRAPHY*TYPE*T,Burgos,,
31.0,BETA geoid 1031,GEOGRAPHY*TYPE*T,Arévalo,https://www.wikidata.org/wiki/Q476793,
32.0,BETA geoid 1032,GEOGRAPHY*TYPE*T,Málaga,,
35.0,BETA geoid 1035,GEOGRAPHY*TYPE*CA,Cataluña (comunidad autónoma),https://www.wikidata.org/wiki/Q5705,
36.0,BETA geoid 1035,,,https://database.factgrid.de/wiki/Item:Q636081,
38.0,BETA geoid 1037,GEOGRAPHY*TYPE*R,"France, Sud de (región)",,
41.0,BETA geoid 1040,GEOGRAPHY*TYPE*T,Alcalá de Henares,,
42.0,BETA geoid 1041,GEOGRAPHY*TYPE*T,Alcalá la Real,,
43.0,BETA geoid 1042,GEOGRAPHY*TYPE*T,Almodóvar del Campo,https://www.wikidata.org/wiki/Q1631896,
44.0,BETA geoid 1042,,,https://es.wikipedia.org/wiki/Almod%C3%B3var_del_Campo,
45.0,BETA geoid 1043,GEOGRAPHY*TYPE*T,Andújar,https://es.wikipedia.org/wiki/And%C3%BAjar,
46.0,BETA geoid 1044,GEOGRAPHY*TYPE*T,Sant Cugat del Vallès,,
49.0,BETA geoid 1047,GEOGRAPHY*TYPE*T,Ávila,,
50.0,BETA geoid 1048,GEOGRAPHY*TYPE*T,Barcelona,https://www.wikidata.org/wiki/Q1492,
51.0,BETA geoid 1048,,,https://es.wikipedia.org/wiki/Barcelona,
52.0,BETA geoid 1048,,,https://ca.wikipedia.org/wiki/Comtat_de_Barcelona,
53.0,BETA geoid 1049,GEOGRAPHY*TYPE*R,Franche Comté (región),,
54.0,BETA geoid 1050,,,https://www.wikidata.org/wiki/Q55480,
56.0,BETA geoid 1050,GEOGRAPHY*TYPE*T,Colmenar,https://ca.wikipedia.org/wiki/Colmenar,
55.0,BETA geoid 1050,,,https://ca.wikipedia.org/wiki/Colmenar,
58.0,BETA geoid 1052,GEOGRAPHY*TYPE*T,Cuenca,,
59.0,BETA geoid 1053,GEOGRAPHY*TYPE*T,San Lorenzo de El Escorial,,
60.0,BETA geoid 1054,GEOGRAPHY*TYPE*P,Granada (provincia),,
61.0,BETA geoid 1055,GEOGRAPHY*TYPE*T,Guadalupe,,
62.0,BETA geoid 1056,GEOGRAPHY*TYPE*T,Guadalajara,,
63.0,BETA geoid 1057,GEOGRAPHY*TYPE*T,Huesca,,
64.0,BETA geoid 1058,GEOGRAPHY*TYPE*T,Huete,https://www.wikidata.org/wiki/Q5814601,
65.0,BETA geoid 1059,GEOGRAPHY*TYPE*T,Illueca,,
