alias,item,itemLabel
BETA geoid 1012,https://database.factgrid.de/entity/Q354654,Santibáñez del Val
BETA geoid 1017,https://database.factgrid.de/entity/Q878875,Reino de Aragón
BETA geoid 1019,https://database.factgrid.de/entity/Q80844,Ciudad de México
BETA geoid 1026,https://database.factgrid.de/entity/Q878932,Real Monasterio de San Juan de la Peña
BETA geoid 1033,https://database.factgrid.de/entity/Q990209,Castilla
BETA geoid 1036,https://database.factgrid.de/entity/Q540339,Aragón
BETA geoid 1069,https://database.factgrid.de/entity/Q350848,Monterrey
BETA geoid 1112,https://database.factgrid.de/entity/Q217683,Bute
BETA geoid 1114,https://database.factgrid.de/entity/Q990145,Condado de Cervellón
BETA geoid 1129,https://database.factgrid.de/entity/Q990159,Condado de Mansilla
BETA geoid 1133,https://database.factgrid.de/entity/Q88877,Moos
BETA geoid 1140,https://database.factgrid.de/entity/Q919037,Marquesado de Pidal
BETA geoid 1143,https://database.factgrid.de/entity/Q990156,Condado de Puñonrostro
BETA geoid 1184,https://database.factgrid.de/entity/Q23226,Bayona
BETA geoid 1187,https://database.factgrid.de/entity/Q355818,Tuy
BETA geoid 1192,https://database.factgrid.de/entity/Q947453,Arabia Saudí
BETA geoid 1196,https://database.factgrid.de/entity/Q10459,Roma
BETA geoid 1199,https://database.factgrid.de/entity/Q344387,Bayona
BETA geoid 1200,https://database.factgrid.de/entity/Q990152,Condado de Altamira
BETA geoid 1205,https://database.factgrid.de/entity/Q540178,Antioquia
BETA geoid 1206,https://database.factgrid.de/entity/Q80762,Florencia
BETA geoid 1208,https://database.factgrid.de/entity/Q919028,Condado de Campomanes
BETA geoid 1212,https://database.factgrid.de/entity/Q84889,Fez
BETA geoid 1213,https://database.factgrid.de/entity/Q140531,Inglaterra
BETA geoid 1217,https://database.factgrid.de/entity/Q538432,Cerdeña
BETA geoid 1218,https://database.factgrid.de/entity/Q103458,Ajaccio
BETA geoid 1221,https://database.factgrid.de/entity/Q266526,Albania
BETA geoid 1222,https://database.factgrid.de/entity/Q23518,Lisboa
BETA geoid 1227,https://database.factgrid.de/entity/Q346948,Cubas de la Sagra
BETA geoid 1232,https://database.factgrid.de/entity/Q357092,Villas de la Ventosa
BETA geoid 1238,https://database.factgrid.de/entity/Q346495,Chinchilla de Montearagón
BETA geoid 1239,https://database.factgrid.de/entity/Q80808,Jerusalén
BETA geoid 1240,https://database.factgrid.de/entity/Q165485,Pavía
BETA geoid 1247,https://database.factgrid.de/entity/Q556104,Pötting
BETA geoid 1248,https://database.factgrid.de/entity/Q94419,República federal de Alemania
BETA geoid 1252,https://database.factgrid.de/entity/Q351766,Orozco
BETA geoid 1256,https://database.factgrid.de/entity/Q22566,Constancia
BETA geoid 1259,https://database.factgrid.de/entity/Q990157,Condado de Torrepalma
BETA geoid 1264,https://database.factgrid.de/entity/Q990142,Condado de Castro
BETA geoid 1269,https://database.factgrid.de/entity/Q348951,Jarandilla de la Vera
BETA geoid 1279,https://database.factgrid.de/entity/Q877969,Reino de León
BETA geoid 1283,https://database.factgrid.de/entity/Q901307,Maine
BETA geoid 1287,https://database.factgrid.de/entity/Q90219,Pisa
BETA geoid 1296,https://database.factgrid.de/entity/Q116896,Hautefort
BETA geoid 1298,https://database.factgrid.de/entity/Q347098,Denia
BETA geoid 1303,https://database.factgrid.de/entity/Q990139,Condado de Cork
BETA geoid 1304,https://database.factgrid.de/entity/Q140542,Irlanda
BETA geoid 1305,https://database.factgrid.de/entity/Q346178,Castrillo del Val
BETA geoid 1317,https://database.factgrid.de/entity/Q891098,Reino de Murcia
BETA geoid 1328,https://database.factgrid.de/entity/Q355261,Támara de Campos
BETA geoid 1334,https://database.factgrid.de/entity/Q352802,Puente La Reina – Gares
BETA geoid 1335,https://database.factgrid.de/entity/Q139069,Vienne
BETA geoid 1340,https://database.factgrid.de/entity/Q780508,Marquesado del Cenete
BETA geoid 1345,https://database.factgrid.de/entity/Q353350,"Roa, Burgos"
BETA geoid 1349,https://database.factgrid.de/entity/Q344068,Argecilla
BETA geoid 1350,https://database.factgrid.de/entity/Q355258,Tamajón
