PNUMBER,LABEL,LANG,TYPE
P1,,,
P2,Instance of,en,wikibase-item
P3,Subclass of,en,wikibase-item
P4,,en,string
P5,Title page transcript,en,string
P6,Continuation of,en,wikibase-item
P7,Continued by,en,wikibase-item
P8,Part of,en,wikibase-item
P9,Includes,en,wikibase-item
P10,Inventory position,en,string
P11,Title,en,string
P12,Secondary literature,en,wikibase-item
P13,Subunit of,en,wikibase-item
P14,In leading position,en,wikibase-item
P15,Media type,en,wikibase-item
P16,Copy of,en,wikibase-item
P17,Dataset complaint,en,wikibase-item
P18,Language,en,wikibase-item
P19,Reported event,en,wikibase-item
P20,Author as strangely stated,en,wikibase-item
P21,Author,en,wikibase-item
P22,Editing and design,en,wikibase-item
P23,,,
P24,Translator,en,wikibase-item
P25,Handwritten by,en,wikibase-item
P26,Aristocratic title,en,wikibase-item
P27,Actually addressed to,en,wikibase-item
P28,Recipient,en,wikibase-item
P29,Recipient's place,en,wikibase-item
P30,Old inventory position,en,string
P31,,,
P32,<Eye witnesses>,en,wikibase-item
P33,Persons mentioned,en,wikibase-item
P34,Naming,en,monolingualtext
P35,Literal statement,en,string
P36,,,
P37,Date of baptism,en,time
P38,Date of death,en,time
P39,Beginning of composition,en,time
P40,Date of burial,en,time
P41,Terminus post quem,en,time
P42,,,
P43,Terminus ante quem,en,time
P44,Date of receipt,en,time
P45,Start time of reported events,en,time
P46,End of events reported,en,time
P47,Localisation,en,wikibase-item
P48,Coordinate location,en,globe-coordinate
P49,Begin date,en,time
P50,End date,en,time
P51,Primary source,en,wikibase-item
P52,Indication the object existed,en,wikibase-item
P53,<Wikimedia language code>,en,string
P54,Page(s),en,string
P55,Image number,en,string
P56,Nickname/ name used,en,string
P57,<naming>,en,string
P58,Number of inhabitants,en,quantity
P59,Height (measure of vertical distance) / human height,en,quantity
P60,Width,en,quantity
P61,"Depth, thickness",en,quantity
P62,,,
P63,Translation of,en,wikibase-item
P64,Published in,en,wikibase-item
P65,Answer on,en,wikibase-item
P66,Organization signing responsible  / organiser,en,wikibase-item
P67,Financed by,en,wikibase-item
P68,Transcribed by,en,wikibase-item
P69,Online transcript,en,url
P70,Incipit,en,string
P71,Translation,en,wikibase-item
P72,<Digest in German>,en,string
P73,Note,en,string
P74,<Suffix to family name>,en,string
P75,<Digest in English>,en,string
P76,GND ID,en,external-id
P77,Date of birth,en,time
P78,,,
P79,Grave,en,wikibase-item
P80,,,
P81,,,
P82,Place of birth,en,wikibase-item
P83,Place of address,en,wikibase-item
P84,Married to,en,wikibase-item
P85,See also property,en,wikibase-property
P86,Inverse property,en,wikibase-property
P87,,,
P88,<given name (string)>,en,string
P89,,,
P90,Number,en,string
P91,Member of,en,wikibase-item
P92,FactGrid properties under which this property can serve as a qualifier,en,wikibase-property
P93,Format,en,wikibase-item
P94,Proceedings of the event,en,wikibase-item
P95,Place of origin,en,wikibase-item
P96,Date as stated,en,time
P97,FactGrid research area,en,wikibase-item
P98,Article,en,wikibase-item
P99,Thesis,en,string
P100,Folio(s),en,string
P101,Sort string,en,string
P102,Footnote,en,string
P103,Section,en,string
P104,Annex,en,string
P105,Volume,en,string
P106,Date,en,time
P107,Number of pages/ leaves/ sheets/ columns/ lines,en,quantity
P108,<number of sheets>,en,quantity
P109,,,
P110,Can mean,en,wikibase-item
P111,Address (in words),en,string
P112,Date [string],en,string
