pbid,item,itemLabel
BETA geoid 2681,https://database.factgrid.de/entity/Q104357,Arrigas
BETA geoid 1554,https://database.factgrid.de/entity/Q351233,Navarra
BETA geoid 1702,https://database.factgrid.de/entity/Q354403,Santa Cruz de Mudela
BETA geoid 2497,https://database.factgrid.de/entity/Q354403,Santa Cruz de Mudela
BETA geoid 2680,https://database.factgrid.de/entity/Q104357,Arrigas
BETA geoid 2247,https://database.factgrid.de/entity/Q356772,Villagarcía de la Torre
BETA geoid 2134,https://database.factgrid.de/entity/Q390354,Chimay
BETA geoid 1023,https://database.factgrid.de/entity/Q10497,Viena
BETA geoid 1080,https://database.factgrid.de/entity/Q10431,Napoli
BETA geoid 1022,https://database.factgrid.de/entity/Q22926,Toulouse
BETA geoid 1029,https://database.factgrid.de/entity/Q21597,Italia
BETA geoid 1135,https://database.factgrid.de/entity/Q22109,Nueva York
BETA geoid 1116,https://database.factgrid.de/entity/Q10286,Dresden
BETA geoid 1106,https://database.factgrid.de/entity/Q10293,Aquisgrán
BETA geoid 1158,https://database.factgrid.de/entity/Q10505,Zúrich
BETA geoid 1139,https://database.factgrid.de/entity/Q10442,Passau
BETA geoid 1127,https://database.factgrid.de/entity/Q23112,Lyon
BETA geoid 1165,https://database.factgrid.de/entity/Q10440,Palermo
BETA geoid 1169,https://database.factgrid.de/entity/Q23450,Génova
BETA geoid 1051,https://database.factgrid.de/entity/Q83882,"Coria, Cáceres"
BETA geoid 1073,https://database.factgrid.de/entity/Q90005,Ourense
BETA geoid 1098,https://database.factgrid.de/entity/Q92865,Valencia
BETA geoid 1019,https://database.factgrid.de/entity/Q80844,Ciudad de México
BETA geoid 1002,https://database.factgrid.de/entity/Q77184,Francia
BETA geoid 1039,https://database.factgrid.de/entity/Q343397,Alcalá de Guadaira
BETA geoid 1045,https://database.factgrid.de/entity/Q344272,"Astudillo, Palencia"
BETA geoid 1046,https://database.factgrid.de/entity/Q82490,Avignon
BETA geoid 1089,https://database.factgrid.de/entity/Q347224,Durango
BETA geoid 1076,https://database.factgrid.de/entity/Q348615,"Haro, La Rioja"
BETA geoid 1072,https://database.factgrid.de/entity/Q351678,Ólvega
BETA geoid 1088,https://database.factgrid.de/entity/Q354696,Santo Domingo de Silos
BETA geoid 1064,https://database.factgrid.de/entity/Q359041,Leiria
BETA geoid 1024,https://database.factgrid.de/entity/Q140532,Austria
BETA geoid 1020,https://database.factgrid.de/entity/Q389288,México
BETA geoid 1157,https://database.factgrid.de/entity/Q92941,Villena
BETA geoid 1142,https://database.factgrid.de/entity/Q140551,Portugal
BETA geoid 1115,https://database.factgrid.de/entity/Q358436,Coimbra
BETA geoid 1138,https://database.factgrid.de/entity/Q347283,El Burgo de Osma-Ciudad de Osma
BETA geoid 1101,https://database.factgrid.de/entity/Q425252,Sicilia
BETA geoid 1128,https://database.factgrid.de/entity/Q350228,Malpica de Tajo
BETA geoid 1132,https://database.factgrid.de/entity/Q350815,Montealegre de Campos
BETA geoid 1149,https://database.factgrid.de/entity/Q354659,Santillana del Mar
BETA geoid 1108,https://database.factgrid.de/entity/Q703787,Ribagorza
BETA geoid 1172,https://database.factgrid.de/entity/Q357969,Barcelos
BETA geoid 1105,https://database.factgrid.de/entity/Q878876,Corona de Aragón
BETA geoid 1180,https://database.factgrid.de/entity/Q201823,Crawford
BETA geoid 1167,https://database.factgrid.de/entity/Q358085,Braganza
