BIOID,NAME_CLASS,NAME_FIRST,NAME_LAST,NAME_NUMBER,NAME_HONORIFIC,NAME_EPITHET,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,TITLE,TITLE_NUMBER,TITLE_CONNECTOR,TITLE_GEOID,TITLE_Q,TITLE_BD,TITLE_BDQ,TITLE_ED,TITLE_EDQ,TITLE_BASIS,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_Q,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,AFFILIATION_CLASS,AFFILIATION_TYPE,AFFILIATION_Q,AFFILIATION_GEOID,AFFILIATION_GEOIDQ,AFFILIATION_BD,AFFILIATION_BDQ,AFFILIATION_ED,AFFILIATION_EDQ,AFFILIATION_BASIS,SEX,RELATED_BIOCLASS,RELATED_BIODETAIL,RELATED_BIOID,RELATED_BIOIDQ,RELATED_BIOBD,RELATED_BIOBDQ,RELATED_BIOED,RELATED_BIOEDQ,RELATED_BIOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BETA bioid 1526,BIOGRAPHY*NAME_CLASS*NATV,Íñigo,Fernández de Velasco y Mendoza,BIOGRAPHY*NAME_NUMBER*I,,,,,,,,Wikipedia,BIOGRAPHY*TITLE*DUQUE,BIOGRAPHY*TITLE_NUMBER*2,BIOGRAPHY*TITLE_CONNECTOR*DE,BETA geoid 1119,,1512-02-09,,1528-09-17,?,Wikipedia,BIOGRAPHY*MILESTONE_CLASS*BOR,,,,,1462,,,,Wikipedia,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*POET,,,,,,,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*FATHER,,BETA bioid 4635,,,,,,BL Egerton 292:3r,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 8605,,,Q425473,,,,,,,,,,,,,,,,1987-12-27,FAULHABER,2024-07-27,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://database.factgrid.de/wiki/Item:Q425473,FactGrid,2023-04-18,"Íñigo Fernández de Velasco y Mendoza I, 2. duque de Frías [1512-02-09 - 1528-09-17?]"
BETA bioid 1526,BIOGRAPHY*NAME_CLASS*OTHR,Íñigo,,,BIOGRAPHY*NAME_HONORIFIC*DON,,,,,,,{I}Cronología{/I},BIOGRAPHY*TITLE*CONDESTABLE,BIOGRAPHY*TITLE_NUMBER*8,BIOGRAPHY*TITLE_CONNECTOR*DE,BETA geoid 1162,,1512-02-09,,1528-09-17,?,Wikipedia,BIOGRAPHY*MILESTONE_CLASS*DIE,,,,,1528-09-17,,,,Wikipedia,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*NOBLE,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*SON,,BETA bioid 1252,,,,,,Egerton 292:3r,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 8309,,,16717/inigo-fernandez-de-velasco,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,http://dbe.rah.es/biografias/16717/inigo-fernandez-de-velasco,RAH DB~e,2021-05-31,
BETA bioid 1526,,,,,,,,,,,,,BIOGRAPHY*TITLE*CONDE,BIOGRAPHY*TITLE_NUMBER*4,BIOGRAPHY*TITLE_CONNECTOR*DE,BETA geoid 1076,,1512-02-09,,1528-09-17,?,Wikipedia,BIOGRAPHY*MILESTONE_CLASS*DIE,,,,,1528-10,,,,DB~e,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*SON,,BETA bioid 2868,,,,,,Wikipedia,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 8603,,,Q8078605,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q8078605,Wikidata,2021-05-31,
BETA bioid 1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*BROTHER,,BETA bioid 3934,,,,,,Wikipedia,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*OBR,BETA bibid 3354,,367,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,http://es.wikipedia.org/wiki/%C3%8D%C3%B1igo_Fern%C3%A1ndez_de_Velasco_y_Mendoza,Wikipedia,2009-11-25,
BETA bioid 1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*FATHER,,BETA bioid 7294,,,,,,Wikipedia,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VIDOB,BETA bibid 4450,,90-92,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,https://en.wikipedia.org/wiki/Duke_of_FꝛC3%ADas,Wikipedia,2015-12-21,
BETA bioid 1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*RELATIVE,,BETA bioid 4317,,,,,,,,,,,,,,,,,BETA bibid 2749,,216,994,,,,,,,,,,,,,,,,,,,,,,,,
BETA bioid 1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*HUSBAND,,BETA bioid 4636,,1482,,,,Egerton 292:3r,,,,,,,,,,,BETA bibid 1002,II,160,,,,,,,,,,,,,,,,,,,,,,,,,
BETA bioid 1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*PATRO-CLI,,BETA bioid 8852,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 4572,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA bioid 1604,BIOGRAPHY*NAME_CLASS*NATV,Pedro de,Estúñiga,,,,,,,,,,BIOGRAPHY*TITLE*CONDE,BIOGRAPHY*TITLE_NUMBER*1,BIOGRAPHY*TITLE_CONNECTOR*DE,BETA geoid 1249,,1429,,1453-07,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,,,1384,,,,,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*NOBLE,,,,,,,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*FATHER,,BETA bioid 3771,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 9036,,70,,,,,,,,,,,,,,,,,1987-12-28,FAULHABER,2024-08-13,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://dbe.rah.es/biografias/43529/alvaro-de-zuniga-y-guzman,RAH DB~e,2022-08-09,"Pedro de Estúñiga, 1. conde de Ledesma [1429 - 1453-07]"
BETA bioid 1604,BIOGRAPHY*NAME_CLASS*OTHR,Pedro de,Zúñiga y Leiva,,,,,,,,,Wikipedia,BIOGRAPHY*TITLE*CONDE,BIOGRAPHY*TITLE_NUMBER*1,BIOGRAPHY*TITLE_CONNECTOR*DE,BETA geoid 1141,,1442,,1453-07,,WIkipedia,,intercambio de cartas de batalla con Juan Hurtado de Mendoza,,BETA geoid 1001,?,1408,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*FATHER,,BETA bioid 6428,,,,,,Wikipedia,,,,,,,,,,,BETA bibid 4777,,,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,http://es.wikipedia.org/wiki/Condado_de_Plasencia,Wikipedia,2011-03-26,
