LIBID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,ADDRESS,CITY,STATE,COUNTRY,PCODE,PHONE,PHONE_LOC,TELEX,CONTACT_FNAME,CONTACT_LNAME,CONTACT_TITLE,CONTACT_SALUTATION,CONTACT_POSITION,CONTACT_PHONE,CONTACT_EMAIL,CONTACT_TYPE,LIBRARY_HOURS,LIBRARY_CLOSED,LIBRARY_DOCUMENTS,LIBRARY_FACILITIES,CALL_TYPE,CALL_DATE,CALL_PERSON,CALL_NOTE,LIBCODE_CLASS,LIBCODE,CLASS,TYPE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BETA libid 102,LIBRARY*NAME_CLASS*SHORT,Hertzberger,,,,,,,,Amsterdam,,Nederland,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PRIV,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2921,,,,,,,,,,,,,,,,,,,,,,BETA geoid 1820,,BETA subid 1297,,,,,,,,2009-10-21,FAULHABER,2024-09-16,FAULHABER,,,,,Amsterdam: Hertzberger
BETA libid 102,LIBRARY*NAME_CLASS*CURRENT,Hertzberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA libid 103,LIBRARY*NAME_CLASS*SHORT,University of Michigan (Clements),,,,,,,909 S University Ave,Ann Arbor,Michigan,U.S.,48109,+1 (734) 764-2347,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2922,,,,,,,,,,,,,,,,,BETA bibid 4653,,,,,,,,,,,,,,,2009-10-21,FAULHABER,2024-09-16,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://en.wikipedia.org/wiki/William_L._Clements_Library,Wikipedia,2024-08-03,Ann Arbor: University of Michigan (Clements)
BETA libid 103,LIBRARY*NAME_CLASS*CURRENT,William L. Clements Library. University of Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA libid 108,LIBRARY*NAME_CLASS*SHORT,Johns Hopkins University,,,,,,,"Brody Learning Commons, M-Level",Baltimore,Maryland,U.S.,21218,410-516-8348,LIBRARY*PHONE_LOC*MSSRB,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PRIV,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-10-21,FAULHABER,2024-09-16,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.library.jhu.edu/library-hours/special-collections-reading-room/,Johns Hopkins,2024-08-13,Baltimore: Johns Hopkins University
BETA libid 108,LIBRARY*NAME_CLASS*CURRENT,Milton S.Eisenhower Library. Johns Hopkins University. Special Collections Reading Room,,,,,,,3400 N. Charles St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*EMA,specialcollections@lists.jhu.edu,Johns Hopkins,2024-08-13,
BETA libid 109,LIBRARY*NAME_CLASS*SHORT,Walters Art Museum,,,,,,,600 North Charles Street,Baltimore,MD,U.S.,21201,410-547-9000,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PRIV,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-10-21,FAULHABER,2024-09-16,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://thewalters.org/,Walters Art Museum,2024-08-13,Baltimore: Walters Art Museum
BETA libid 109,LIBRARY*NAME_CLASS*CURRENT,Walters Art Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA libid 109,LIBRARY*NAME_CLASS*OTHR,Walters Art Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA libid 123,LIBRARY*NAME_CLASS*SHORT,National Library of Medicine,,,,,,,"Building 38, Room 1E-21",Bethesda,MD,U.S.,20894,(301) 402-8878,LIBRARY*PHONE_LOC*MSSRB,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2949,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BETA bibid 7114,,,,,,,,,,,,,,,1989-06-15,FAULHABER,2024-09-19,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.nlm.nih.gov/,NLM,2016-11-08,Bethesda: National Library of Medicine
