MANID,TITLE,TITLE_LOC,TITLE_NICKNAME,MATERIAL,MATERIAL_BASIS,FORMAT,FORMAT_BASIS,STATE,STATE_BASIS,BINDING,BINDING_BASIS,CONDITION,CONDITION_BASIS,LEAF_CLASS,LEAF_COUNT,LEAF_BASIS,COLLATION,COLLATION_BASIS,SIZE_CLASS,SIZE_HEIGHT,SIZE_WIDTH,SIZE_LOC,SIZE_BASIS,PAGE_CLASS,PAGE_DETAIL,PAGE_LOC,PAGE_Q,PAGE_BASIS,HAND_CLASS,HAND_DETAIL,HAND_LOC,HAND_Q,HAND_BASIS,FONT_CLASS,FONT_DETAIL,FONT_LOC,FONT_Q,FONT_BASIS,WATERMARK_CLASS,WATERMARK_DETAIL,WATERMARK_LOC,WATERMARK_Q,WATERMARK_BASIS,GRAPHIC_CLASS,GRAPHIC_DETAIL,GRAPHIC_LOC,GRAPHIC_Q,GRAPHIC_BASIS,MUSIC_CLASS,MUSIC_DETAIL,MUSIC_LOC,MUSIC_Q,MUSIC_BASIS,FEATURE_CLASS,FEATURE_DETAIL,FEATURE_LOC,FEATURE_Q,FEATURE_BASIS,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_MAKER_IDP,MILESTONE_MAKER_ID,MILESTONE_MAKER_IDQ,MILESTONE_MAKERBASIS,MILESTONE_FUNDER_IDP,MILESTONE_FUNDER_ID,MILESTONE_FUNDER_IDQ,MILESTONE_FUNDERBASIS,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_GEOBASIS,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,OWNER_IDP,OWNER_ID,OWNER_IDQ,OWNER_CALLNO,OWNER_ARMS,OWNER_PRICE,OWNER_CURRENCY,OWNER_GEOID,OWNER_GEOIDQ,OWNER_BD,OWNER_BDQ,OWNER_ED,OWNER_EDQ,OWNER_BASIS,CLASS,FIRST_ANAID,FIRST_TEXSEQ,FIRST_TEXID,RELATED_BIOCLASS,RELATED_BIODETAIL,RELATED_BIOID,RELATED_BIOIDQ,RELATED_BIOBD,RELATED_BIOBDQ,RELATED_BIOED,RELATED_BIOEDQ,RELATED_BIOBASIS,RELATED_LIBID,RELATED_LIBIDQ,RELATED_LIBCOLLECTION,RELATED_LIBCALLNOCLASS,RELATED_LIBCALLNO,RELATED_LIBSEQUENCE,RELATED_LIBBASIS,RELATED_LIBEVENTCLASS,RELATED_LIBEVENTDETAIL,RELATED_LIBEVENTPRICE,RELATED_LIBEVENTCURRENCY,RELATED_LIBEVENTGEOID,RELATED_LIBEVENTGEOIDQ,RELATED_LIBEVENTBD,RELATED_LIBEVENTBDQ,RELATED_LIBEVENTED,RELATED_LIBEVENTEDQ,RELATED_LIBEVENTBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,RELATED_UNICLASS,RELATED_UNIDETAIL,RELATED_UNIID,RELATED_UNILANGUAGE,RELATED_UNIBASIS,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,STATUS,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BETA manid 1002,,,,MS_ED*MATERIAL*PAPER,Zarco,,,,,piel labrada,Zarco,,,MS_ED*LEAF_CLASS*FF,viii + 151,Zarco,,,MS_ED*SIZE_CLASS*LEAF,220,148,,Zarco,,,,,,,aragonesa,,,Zarco,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*MILESTONE_CLASS*W,,Group 1,,,,Group 1,,,,BETA geoid 1036,,,1442-06-14,a quo,1500,ca.,,Group 1,BETA bioid 2172,,14. 39,,,,,,,,,,Zarco,,BETA cnum 2,10.0,BETA texid 3015,,,,,,,,,,BETA libid 172,,,MS_ED*RELATED_LIBCALLNOCLASS*C,J.III.21,MA118000,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 1003,II,123-24,J.III.21,,,,,,MS_ED*RELATED_UNICLASS*CON,también textos en,,MS_ED*RELATED_UNILANGUAGE+1*LATIN,Zarco,,BETA geoid 1494,,,,,,,,Varios de los docs. tienen que ver con la ciudad de Daroca,,MS_ED*STATUS*2I,1985-07-10,FAULHABER,2023-04-17,FAULHABER,,,,,"MS: San Lorenzo de El Escorial: Escorial: Monasterio, J.III.21. Aragón:, 1442-06-14 a quo - 1500 ca. Desconocido, Catación sacada del fuero que se hizo en Zaragoza de cómo se han a regir los notarios en los salarios de los instrumentos si quiere contratos, escrito 1442."
BETA manid 1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_UNICLASS*CON,también docs. en,,MS_ED*RELATED_UNILANGUAGE+1*CASTELLANO,Zarco,,,,,,,,,,,,,,,,,,,,,
BETA manid 1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_UNICLASS*CON,también docs. en,,MS_ED*RELATED_UNILANGUAGE+1*ARAGONES,Zarco,,,,,,,,,,,,,,,,,,,,,
BETA manid 1003,FUERO | DE | ALARCON,tejuelo,,MS_ED*MATERIAL*PARCH,{I}IGM{/I},,,,,holandesa s. XIX,,,,MS_ED*LEAF_CLASS*FF,2 (guardas de papel) + 1 + 1-89 + 2 (guardas de papel),Faulhaber,"1{SS}8(-1){ES} 2-6{SS}8{ES} 7{SS}10(-2,3){ES} 8{SS}10(-3.8){ES} 9-11{SS}8{ES}",Faulhaber,MS_ED*SIZE_CLASS*LEAF,210,143,f. 3,Faulhaber,MS_ED*PAGE_CLASS*LIN,25,3r,,Faulhaber,MS_ED*HAND_CLASS*GM,rústica,,,Faulhaber,,,,,,,,,,,,,,,,,,,,,MS_ED*FEATURE_CLASS*CWS,horizontales a la derecha en cuadros rojos.,,,Faulhaber,MS_ED*MILESTONE_CLASS*W,,Group 1,BETA bioid 2443,,,Group 1,,,,,,,1291,ca.,1300,ca.,Roudil,Group 1,BETA insid 1029,,,,,,,,,,,,{I}IGM{/I},,BETA cnum 3,20.0,BETA texid 1003,,anotación f. 87 de,BETA bioid 2443,,,,,,{I}IGM{/I},BETA libid 225,,,MS_ED*RELATED_LIBCALLNOCLASS*C,MSS/282,MA117000,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*VIS,BETA bibid 3828,,,,,,,,,MS_ED*RELATED_UNICLASS*CON,"también en las guardas restos de otro cód. del s. XIII, con fragm. de un tratado de moral en",,MS_ED*RELATED_UNILANGUAGE+1*LATIN,Faulhaber,,,,BETA subid 1265,,,,,,Faulhaber: Facs. del f. 3v en Roudil entre pp. 96 & 97. Muchas {I}probationes pennae{/I} en los ff. *1r y 87r-v. Restos de fol. antigua s. XV,,MS_ED*STATUS*1C,1985-07-10,FAULHABER,2023-04-19,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,http://bdh-rd.bne.es/viewer.vm?pid=d-3161475,Bibl. Digital Hispánica,2013-08-21,"MS: Madrid: Nacional (BNE), MSS/282. Juan Vázquez, 1291 ca. - 1300 ca. Alfonso VIII, rey de Castilla, Fuero de Alarcón (tr. Desconocido), traducido 1275 - 1300."
BETA manid 1003,,,,,,,,,,,,,,MS_ED*LEAF_CLASS*FF,87,{I}IGM{/I},,,MS_ED*SIZE_CLASS*LEAF,205,145,,{I}IGM{/I},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,282,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 1004,I,207,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1003,,,,,,,,,,,,,,,,,,,MS_ED*SIZE_CLASS*TXTPG,156,115,3r,Faulhaber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,D-211,,,,,,,,,,,,,,,BETA bibid 1842,,13-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1003,,,,,,,,,,,,,,,,,,,MS_ED*SIZE_CLASS*BIND,219,162,,Faulhaber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 5020,,,MSS/282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*FAD,BETA bibid 5461,,,MSS/282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1036,Fuero Real de Castilla. M{SS}s{ES},lomo,Codex N{SI}3{EI} (Martínez Díez),MS_ED*MATERIAL*PARCH,{I}IGM{/I},,,,,perg. con correíllas,Faulhaber,,,MS_ED*LEAF_CLASS*FF,1 (h. de respeto) + 1 (guarda de papel) + 1-65 (mod.) + 2 (hh. de respeto),Faulhaber,,,MS_ED*SIZE_CLASS*LEAF,214,155,,Martínez Díez et al.,MS_ED*PAGE_CLASS*COL,2,,,{I}IGM{/I},MS_ED*HAND_CLASS*GM,,,,Faulhaber,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*INI,E de 3 ll. azul con vetas blancas con rasgueo rojo interior ({I}Fuero real{/I} libro I),1va,,Faulhaber {I}passim{/I},,,,,,,,,,,MS_ED*MILESTONE_CLASS*W,,Group 1,,,,Group 1,,,,,,,1301,,1350,,Martínez Díez et al.,Group 1,BETA bioid 1886,,,,,,,,,,,,{I}IGM{/I}: etiqueta “Del S.{SS}or{ES}. Conde de Miranda”,,BETA cnum 38,10.0,BETA texid 1006,,,,,,,,,,BETA libid 225,,,MS_ED*RELATED_LIBCALLNOCLASS*C,MSS/6655,MA255000,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*DES,BETA bibid 5651,,31-32,Codex N{SI}3{EI},MS_ED*RELATED_MANCLASS*CMP,BETA manid 3398,,,,MS_ED*RELATED_UNICLASS*CON,"también f. 59ra-vb pasajes de los evangelios de San Juan (1:1-14, 15:26-16:4, 14:23-31, 19:25-27) y de San Lucas (2:15-20) en",,MS_ED*RELATED_UNILANGUAGE+1*LATIN,,,,,BETA subid 1265,,,,,,"Numerosas glosas marginales posteriores. Simón Díaz y Craddock dan la sign. antigua como S-480; {I}IGM{/I} y Ureña y Bonilla, como S-180. Las dos son correctas. La sign. S-180 se encuentra MS en la etiqueta del conde de Miranda; la sign. S-480 está impresa en una etiqueta de la BNE.<br /><br />En el f. 59ra-vb hay varios pasajes bíblicos en latín, que corresponden a los evangelios de San Juan (1:1-14, 15:26-16:4, 14:23-31, 19:25-27) y San Lucas (2:15-20)",,MS_ED*STATUS*1F,1985-07-10,FAULHABER,2023-09-28,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,http://catalogo.bne.es/uhtbin/cgisirsi/x/0/0/57/5/3?searchdata1=5115057{CKEY}&searchfield1=GENERAL^SUBJECT^GENERAL^^&user_id=WEBSERVER,BNE Cat.,55 a.d.C.,"MS: Madrid: Nacional (BNE), MSS/6655. 1301 - 1350. Alfonso X, rey de Castilla y León, Corona de, Fuero real, promulgado 1255-07-18."
BETA manid 1036,,,,,,,,,,,,,,MS_ED*LEAF_CLASS*FF,65 [sin foliar],{I}IGM{/I},,,MS_ED*SIZE_CLASS*LEAF,221,160,,{I}IGM{/I},,,,,,,,,,,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*INI,N de 3 ll. roja con rasgueo sencillo azul interior ({I}Fuero real{/I} libro II),10va,,,,,,,,,,,,,MS_ED*MILESTONE_CLASS*W,,Group 2,BETA bioid 8344,,Faulhaber: f. 59ra,Group 2,,,,,,,1301,,1400,,Craddock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,6655,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 5020,,,MSS/6655,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,http://bdh-rd.bne.es/viewer.vm?id=0000128394&page=1,Bibl. Digital Hispánica,2020-01-10,
